GEOID,Longitude,Latitude
160819601034,-111.1433825817278,43.74425554882957
160739501013,-116.9401183251615,43.62254366660215
160619400021,-116.23987337724924,46.27872685653746
160599703002,-113.84928707266548,45.057055508918666
160139602012,-114.3048053335896,43.52495212162008
160859703011,-116.15542668837406,44.84294018586878
160099501002,-116.57000569045034,47.31569938446421
160419701002,-111.85104035961784,42.13172567585601
160779602004,-112.8632828229764,42.77409036904285
160479601013,-114.71684949889934,42.932581594900114
160830004002,-114.7600213186588,42.58840695357246
160179507011,-116.86967064097048,48.13457677679713
160139603012,-114.36858429899324,43.68092629671752
160159502021,-116.02093670762268,44.11496612757039
160439703011,-111.6876856499398,43.9668972700509
160499602022,-116.1174956720154,45.92812022697658
160219701002,-116.34254535105998,48.73499499017814
160239701002,-113.52284895076885,43.62913012308312
160399605003,-115.8505151538813,43.050146966802494
160519604012,-111.92991750922997,43.63526991663556
160079502002,-111.46375214274816,42.49762853713551
160010005013,-116.22789882268418,43.63890912410426
160359400021,-116.24726991047376,46.48148509589037
160550003031,-116.88091941929612,47.8093382703542
160050007002,-112.43757579929944,42.86651181909288
160830005004,-114.60856397713404,42.5726035707283
160179503003,-116.56248006110516,48.27357569719959
160550015003,-116.77063314834996,47.6762889567813
160799604002,-116.00629982895582,47.48612007650176
160819601061,-111.13118688535428,43.59608130258521
160699609003,-116.96035616841392,46.37361658597362
160739502003,-116.35743943633872,42.37869437121579
160050019003,-112.02593285036454,42.60673937809405
160559400001,-116.89245410459884,47.4054021672837
160570056002,-116.5913982237313,46.78707332293388
160679704002,-113.66743654566736,42.62812823721819
160079501002,-111.30595303020432,42.31613232071668
160179501003,-116.2692233583616,48.24948512646285
160379602002,-114.28720884554032,44.23532853590759
160270205011,-116.53891326703445,43.55056706683713
160830013012,-114.36352533259809,42.52638834594947
160539703002,-114.51064289839452,42.72975974042864
160010105052,-116.14318472566342,43.56205732310653
160479602013,-114.69905691898948,42.77369138203964
160499601001,-114.98826066938292,46.26424677963224
160519601002,-112.3314058657022,43.94677366696537
160719601003,-112.24888228609365,42.1934629657265
160759601004,-116.9298370572867,44.0753464874436
160550002032,-116.72149509853872,47.94230319758644
160010102271,-116.4837607154582,43.69543265787228
160010016001,-116.21101724862534,43.58270385566263
160270219011,-116.60246228612452,43.71245836478262
160010103561,-116.3839831603363,43.651976470616255
160010022282,-116.28220836293148,43.55737768647991
160239701001,-113.10444710515982,43.73150074748589
160359701001,-115.33975271578043,46.698183063541165
160599701001,-114.3886955692511,45.148356015093576
160050016022,-112.46596627192876,42.8594212946124
160619503001,-116.61545243457124,46.086188939623774
160119503003,-112.75475872559656,43.022482628591824
160270219041,-116.70647475743222,43.70983789203184
160050011042,-112.4210096845896,42.90507870140487
160499604001,-116.11586797010314,45.36982672525631
160739502001,-116.705648726229,42.99172575706584
160039502003,-116.44105279581116,44.74356456118044
160739502004,-115.47196662585476,42.454723275379706
160550004023,-116.95350698306882,47.73781565925434
160399603002,-115.69415180509776,43.136824806846604
160119507003,-112.58284708083326,43.102318322116034
160659503035,-111.79789121940104,43.814199469216845
160499400001,-116.03491596975024,46.25801183458539
160699400001,-116.557801192694,46.5116173532526
160050003012,-112.4715632818765,42.93136592584109
160699400004,-116.81601321008154,46.4872136923824
160319501002,-113.62081188406218,42.29828414986602
160270221003,-116.93982555547026,43.80357383417132
160639501003,-114.50513998908872,42.925462596179095
160639501004,-114.1039613593567,42.84876988839185
160010102352,-116.32099063214888,43.7032681319764
160159502032,-115.80184441744092,43.86176556160678
160379602001,-114.81330695216076,44.34505272527101
160179506003,-116.9730388393743,48.5255022155742
160830002003,-114.43331418928425,42.56662257279954
160010103641,-116.40283147624608,43.62756591934661
160570055002,-116.94849878403372,47.01007583960079
160599703001,-113.3551326546252,44.59874215087535
160679703001,-113.56670779061416,42.97875257160163
160119501023,-112.16766381728644,43.35703968080435
160139602021,-114.25736714676424,43.46510111352156
160550007033,-116.81896335622366,47.726039461705575
160050017001,-112.40763237325656,42.82528581474479
160199704041,-111.9621890924181,43.50475126025276
160010024171,-116.32972234023288,43.65314847306922
160299601002,-111.6096176523718,42.60594414817899
160499601002,-115.29424733645614,45.66304174588033
160439702002,-111.44693459928529,44.05161512854728
160010103411,-116.36488095966295,43.57189060872726
160010104051,-116.4187777921734,43.51018619552815
160199707001,-112.03120304609088,43.50805761331984
160010001021,-116.20711020243547,43.6224639201767
