,GEOID,Longitude,Latitude
1249,240178513011,-76.84726296637221,38.43993029898977
2178,240317014083,-76.98634812673235,39.11166432263011
3303,240450001005,-75.58880193823423,38.37115808729567
942,240054925002,-76.7206409034766,39.26485532924913
1008,240119556002,-75.78183297422827,38.70102271501136
4001,245102801022,-76.69252951333372,39.33682209231994
1486,240217754004,-77.62244200913753,39.31973055092977
146,240037080041,-76.68739700801399,38.77893189072832
2652,240338010061,-76.82749342296755,38.76217279348194
3165,240399306003,-75.8442464955841,37.97745702050344
3520,245100907004,-76.59874246694221,39.32012026692578
35,240010018003,-78.93266301995669,39.65146915236319
3779,245102504012,-76.6061626402419,39.23447534473213
1001,240119553022,-75.82391400512145,38.881778820560605
751,240054309002,-76.695574732307,39.26413380390104
560,240054044043,-76.83326347716388,39.46937557735062
849,240054523002,-76.5106433516691,39.29995937366412
1265,240199701003,-75.76262495464496,38.65017559242469
1778,240276054043,-76.86625291369263,39.21609642101374
1460,240217668002,-77.32104128540578,39.69518617085096
2257,240317021012,-76.99288731537123,39.00318812186466
2994,240338067063,-76.88780384665209,38.97699068220755
3251,240430107004,-78.20597469345029,39.69700794614764
1437,240217526031,-77.50267433344364,39.43690387111147
2847,240338035091,-76.87621513780772,38.9320072694275
3840,245102606054,-76.53344249711976,39.26243970849372
3588,245101308031,-76.64475630718557,39.33974142507005
3726,245102007021,-76.67559986727144,39.2847466586669
3858,245102701022,-76.55591865679374,39.33879218414391
3092,240378751002,-76.78516327890938,38.46679759655464
1559,240253016023,-76.26633164060236,39.4381753264263
3223,240430009003,-77.75132839166913,39.63391248562801
3234,240430102004,-77.6181953674707,39.70369857771916
2212,240317015032,-76.98660900739702,39.066733448238686
3622,245101506003,-76.6700185609322,39.3100753958495
2731,240338017071,-76.99075213528951,38.82044286500968
1836,240276069011,-76.79256218926756,39.14677765369108
302,240037403053,-76.70619784773385,39.106708822067816
3374,240479500004,-75.08557187980718,38.33784902352224
1845,240276069053,-76.83438465921857,39.14408285842781
3253,240430108022,-77.819529588949,39.59488389515048
1989,240317007234,-77.20110956341993,39.14549071902932
3150,240399301012,-75.68300932285284,38.19905107445759
2000,240317007292,-77.16970696654678,39.1541779170668
2768,240338020012,-76.92522012401083,38.84087003479394
3666,245101604002,-76.6475164056617,39.29540927357992
3414,240479515001,-75.59431981921914,38.03219849633335
3934,245102710022,-76.60645619976995,39.35116685115258
2925,240338043002,-76.9314327860913,38.9241060701588
3454,245100601001,-76.57415958525974,39.29589515138642
2688,240338013091,-77.04289031774476,38.71172917564689
1409,240217522051,-77.33405386001267,39.34412296719706
3075,240358107003,-76.18662703297329,38.96005938227123
134,240037066003,-76.5283759823129,38.98420463784333
10,240010007001,-78.74953449072487,39.63201133993772
2955,240338056021,-76.97849353568819,38.98778059497729
2062,240317009012,-77.15688132349457,39.09126842440202
143,240037070023,-76.52236289471722,38.801115631347336
400,240054004005,-76.72953868674728,39.24272604403123
2964,240338058022,-76.97438601600949,38.96987726215826
2968,240338059062,-76.97601928431428,39.00870223308344
2335,240317032142,-77.0690157592796,39.08977455530285
162,240037302063,-76.59472831927104,39.14419019760458
1279,240199705002,-76.0951726822111,38.57347284878336
548,240054042022,-76.78637656105785,39.42739187433358
2725,240338017021,-76.9528324217284,38.81228842554396
3362,240450107032,-75.5655217830234,38.45144993322453
2087,240317010071,-77.18813086654383,39.09981926957639
1835,240276068083,-76.8634864084188,39.14044820362221
1580,240253028022,-76.17689480487202,39.51132459280431
45,240010021003,-78.9580734706902,39.55594712295833
2224,240317015073,-77.01762575533613,39.07281807981683
2865,240338035202,-76.81848649460153,38.94061029675055
1074,240135078011,-76.99087430012088,39.563309479801696
4018,245102804012,-76.69670255372958,39.29527924792182
1213,240178507133,-76.97871871773086,38.636313255192064
3394,240479508003,-75.28387195651192,38.33225441643567
3528,245101002001,-76.59990377824563,39.29937440334152
3656,245101513004,-76.66235855264627,39.33774406776368
3146,240378762002,-76.3682438373012,38.17589201177783
3023,240338070004,-76.92902650065426,39.00152494262586
1744,240276029003,-76.79089757984497,39.28569829544567
468,240054024042,-76.72854801121588,39.32809417485453
726,240054212002,-76.50058471054999,39.24535933421722
215,240037310042,-76.46107400946933,39.04052756259583
3548,245101202022,-76.61503990289452,39.32959972007373
3807,245102602025,-76.55204778536473,39.32225991906491
2913,240338040012,-76.9134915497579,38.94905304655699
1123,240150304004,-75.83173355371744,39.607673019588695
614,240054085074,-76.6184017539597,39.46985114150391
1255,240178514012,-76.78212747860191,38.571246580491376
490,240054025111,-76.80509469103174,39.39620917803847
3693,245101702002,-76.62838152266836,39.30215736325911
3711,245102003002,-76.64798235713954,39.28198258743141
2545,240338002123,-76.87417260018118,39.08206353644401
1010,240119556004,-75.73719676594503,38.71632257667133
1783,240276055032,-76.88046121434137,39.225600095845735
2041,240317008292,-77.21701130888006,39.131674249759406
382,240037515002,-76.8266530813417,39.083279370073605
511,240054034021,-76.72093864623486,39.3784966699237
