,GEOID,Longitude,Latitude
897,150070402052,-159.35943322755972,22.04847314524519
674,150030089422,-158.0162726075712,21.459038681607726
1006,150090311063,-156.48133338850528,20.892756125704903
611,150030087073,-157.99347692541903,21.39537022833741
745,150030097071,-158.19268084839126,21.45313101287245
53,150010210151,-154.94777547416655,19.58808704388541
109,150010217052,-155.66503096050323,20.033311773728308
143,150030001153,-157.7093696310752,21.295548657250137
928,150070409002,-159.662876073118,21.96142950259005
512,150030078171,-157.94378523384017,21.393021727610662
758,150030099022,-158.1126835814385,21.57688963021578
556,150030084152,-158.01593594220955,21.33561627504027
957,150090304043,-156.32541192361063,20.84870088821655
798,150030105032,-157.8050657280276,21.411561858935404
70,150010212033,-155.7569665491149,19.10008535345957
704,150030092031,-158.0161103394894,21.50152058470682
732,150030096101,-158.17599405779006,21.426690713759776
399,150030056022,-157.86596830547185,21.32887496589056
891,150070401061,-159.47534020933597,22.227214136806307
776,150030102021,-157.92939059604365,21.643601121908
898,150070402053,-159.34458506250198,22.06727158993448
103,150010216073,-155.96706841716986,19.60680223459019
1028,150090317002,-156.8986924586945,21.121960734662164
709,150030094011,-158.04181174490523,21.49455493753593
1005,150090311062,-156.48643675826844,20.880150719243822
124,150010219022,-155.4709339221029,20.076812298601624
51,150010210142,-154.9936370918628,19.573850686737767
119,150010218001,-155.83016504310072,20.23996963505572
628,150030089133,-158.0219662435195,21.38726401786693
920,150070407021,-159.51776744407607,21.914585303955047
292,150030034041,-157.8375314213906,21.30804503279049
110,150010217053,-155.696440306487,20.012813019328703
668,150030089392,-158.01804816096995,21.46847822558887
939,150090302031,-156.3064856278335,20.890292101657863
947,150090303052,-156.3202348091648,20.75713297455444
912,150070405003,-159.36755171703783,21.967231154193342
479,150030075084,-157.92160795737755,21.36692547119388
62,150010211012,-154.919002938596,19.47078343188386
1026,150090316012,-156.9198940217224,20.82484241834381
465,150030073022,-157.960023429024,21.33777279559121
76,150010213002,-155.89451954649732,19.46911710016401
197,150030011021,-157.79387802777947,21.304117584166068
113,150010217071,-155.78615789428625,19.93814264836398
59,150010210172,-155.13249464402682,19.47900191326417
597,150030086342,-158.0814555935071,21.359585707646023
793,150030103092,-157.8344130183606,21.438044640061893
145,150030001171,-157.70477265367614,21.30039346433288
21,150010207012,-155.07221779490132,19.678987021826256
772,150030101021,-158.0205279080645,21.662830866848136
717,150030095092,-158.06451038625067,21.49563293129269
973,150090307102,-156.44289683365108,20.71204061850499
880,150039818011,-157.7436231867954,21.44706318194608
529,150030080121,-157.96289508060752,21.40620952445681
365,150030045004,-157.8405461090949,21.3266767656716
577,150030086261,-158.03657179058254,21.343654307066945
412,150030062021,-157.87613411341923,21.33976908584276
648,150030089295,-157.99761390546118,21.473603427653604
900,150070403011,-159.3210492342458,22.09102426571651
128,150010221021,-155.36832868803586,19.740076239942063
330,150030037032,-157.8422753557121,21.292492825964388
553,150030084132,-158.01367979761108,21.32065163654121
768,150030100002,-158.06988887122813,21.54341214205718
931,150070409005,-159.71327737105335,21.96718491949322
1017,150090315011,-156.6658164345368,20.98747806031602
454,150030068192,-157.90845255578904,21.345663188272
95,150010215133,-155.9835671270295,19.72426529415766
171,150030004022,-157.76306183374496,21.285911523126867
756,150030098043,-158.21004370619858,21.471088504288524
832,150030109044,-157.747014534865,21.406068847695764
983,150090309012,-156.50698590884264,20.8875943037368
623,150030089093,-158.015329443268,21.4400551796254
3,150010201004,-155.09639496826367,19.79218061203752
925,150070408002,-159.58792881671792,21.919586992515825
849,150030111064,-157.7291634170027,21.37295086835456
1015,150090314053,-156.67610358541518,20.881429704140064
135,150030001101,-157.6725335363884,21.30192923137346
208,150030014002,-157.80738134196588,21.278116277657627
30,150010208022,-155.11695137499464,19.70120460870047
946,150090303051,-156.22105332307737,20.72433105924957
761,150030099051,-158.1265904785208,21.56683064218356
684,150030089481,-157.9985355885728,21.41303241875822
476,150030075081,-157.90997301046494,21.366786864423005
730,150030096092,-158.16910937405248,21.40738841189324
419,150030063021,-157.86315453348593,21.35059264498248
586,150030086291,-158.06049681681716,21.33600770392461
868,150030116001,-157.81960322574645,21.322922449118373
42,150010210034,-155.00308656758955,19.528699120228737
1030,150090317004,-157.0107993432316,21.10429817050978
822,150030107022,-157.7901939965541,21.40123181139944
702,150030092021,-158.00681345067616,21.50902408442469
551,150030084113,-158.0269281249483,21.33664258434771
770,150030101011,-158.06209104963455,21.649963584327026
496,150030078082,-157.9473642047336,21.38649352151404
154,150030001212,-157.7054642008305,21.28077240370953
86,150010215101,-155.9658708692816,19.59556374184942
265,150030024042,-157.8272241774991,21.291987907746737
78,150010213004,-155.78109892338404,19.30389663907768
25,150010207023,-155.0846418419969,19.6769049016352
693,150030089523,-158.01413577518645,21.39704883512477
459,150030070012,-157.93534545821345,21.34464240690149
