,STATE,geometry
169,AK,POINT (-149.926736402 61.1755236180001)
170,AK,POINT (-149.893768595 61.1470488890001)
171,AK,POINT (-149.827310405 61.1091796060001)
172,AK,POINT (-149.839480481 61.1736557230001)
173,AK,POINT (-149.810708407 61.2181911640001)
174,AK,POINT (-158.491440394 59.043252362)
175,AK,POINT (-147.716670788 64.8505096330001)
176,AK,POINT (-147.821811099 64.8740961820001)
177,AK,POINT (-147.760627768 64.8208385170001)
178,AK,POINT (-147.290821709 64.7388524190001)
179,AK,POINT (-147.673473331 64.8634595550001)
180,AK,POINT (-134.490584266 58.3462476110001)
181,AK,POINT (-134.39224876 58.2753216930001)
182,AK,POINT (-151.161802663 60.5089330930001)
183,AK,POINT (-131.686672308 55.3543181650001)
184,AK,POINT (-131.802874488 55.4654489660001)
185,AK,POINT (-131.687693176 55.3605222460001)
186,AK,POINT (-152.362884464 57.810356293)
187,AK,POINT (-152.368784343 57.806788984)
188,AK,POINT (-149.143186122 61.5730287270001)
189,AK,POINT (-149.613872753 61.544183758)
190,AK,POINT (-162.583824404 66.902337059)
191,AK,POINT (-145.547102483 63.981995408)
192,AZ,POINT (-109.071829062 35.661753515)
193,AZ,POINT (-109.627070863 36.717160719)
194,AZ,POINT (-109.543856808 31.348579586)
195,AZ,POINT (-110.303967188 31.561366902)
196,AZ,POINT (-110.29310623 31.539251978)
197,AZ,POINT (-111.649505161 35.201414818)
198,AZ,POINT (-111.613058424 35.223002668)
199,AZ,POINT (-110.452945879 33.3565570980001)
200,AZ,POINT (-110.576277625 33.3684372290001)
201,AZ,POINT (-111.328617293 34.2377413400001)
202,AZ,POINT (-112.116123435 33.530617439)
203,AZ,POINT (-111.914321504 33.4629709280001)
204,AZ,POINT (-112.141648647 33.6032728340001)
205,AZ,POINT (-112.151364469 33.5366394820001)
206,AZ,POINT (-112.180530208 33.546573224)
207,AZ,POINT (-112.09670172 33.4944048470001)
208,AZ,POINT (-111.997567087 33.4950152280001)
209,AZ,POINT (-111.998265043 33.516320039)
210,AZ,POINT (-112.116350077 33.5335759920001)
211,AZ,POINT (-112.179911991 33.5410822900001)
212,AZ,POINT (-112.000356632 33.5822711600001)
213,AZ,POINT (-112.006776729 33.583096933)
214,AZ,POINT (-111.950699939 33.6352357120001)
215,AZ,POINT (-111.870737434 33.6374051330001)
216,AZ,POINT (-112.59211469 33.3874980300001)
217,AZ,POINT (-111.889423686 33.4106004670001)
218,AZ,POINT (-112.054918412 33.554467979)
219,AZ,POINT (-111.761106573 33.4660029290001)
220,AZ,POINT (-111.941125511 33.626122584)
221,AZ,POINT (-112.229656215 33.6471569720001)
222,AZ,POINT (-112.215300354 33.6140175)
223,AZ,POINT (-111.97075226 33.47595211)
224,AZ,POINT (-112.007402519 33.30477978)
225,AZ,POINT (-111.868367376 33.350211647)
226,AZ,POINT (-111.915929439 33.6733835520001)
227,AZ,POINT (-112.151113885 33.5212836010001)
228,AZ,POINT (-112.091163111 33.401160706)
229,AZ,POINT (-111.875709086 33.5831897050001)
230,AZ,POINT (-112.12624165 33.539592987)
231,AZ,POINT (-111.959810244 33.750860679)
232,AZ,POINT (-111.975262705 33.3347860220001)
233,AZ,POINT (-111.882683523 33.569818975)
234,AZ,POINT (-111.691761969 33.467208708)
235,AZ,POINT (-111.98572782 33.3020736600001)
236,AZ,POINT (-112.358562979 33.487504404)
237,AZ,POINT (-111.992622455 33.375780621)
238,AZ,POINT (-111.926520868 33.5990712660001)
239,AZ,POINT (-112.042483519 33.458963827)
240,AZ,POINT (-111.995591536 33.6292914040001)
241,AZ,POINT (-111.96597382 33.747070249)
242,AZ,POINT (-111.997991911 33.634056672)
243,AZ,POINT (-112.237028507 33.6198625150001)
244,AZ,POINT (-111.941178413 33.5811210960001)
245,AZ,POINT (-112.010039506 33.5042057540001)
246,AZ,POINT (-112.088239498 33.465564747)
247,AZ,POINT (-112.280626819 33.7240221870001)
248,AZ,POINT (-112.13305474 33.5798722870001)
249,AZ,POINT (-112.080346454 33.5239772680001)
250,AZ,POINT (-111.943175113 33.609980647)
251,AZ,POINT (-111.943322673 33.5888481850001)
252,AZ,POINT (-112.175859675 33.540192387)
253,AZ,POINT (-112.145758327 33.668681731)
254,AZ,POINT (-112.350312518 33.443434316)
255,AZ,POINT (-112.349118863 33.48839007)
256,AZ,POINT (-112.153137275 33.5305152760001)
257,AZ,POINT (-112.098524328 33.5628754260001)
258,AZ,POINT (-112.07427277 33.552208648)
259,AZ,POINT (-112.072788931 33.528418366)
260,AZ,POINT (-111.996940275 33.5175133760001)
261,AZ,POINT (-112.10406916 33.4517111230001)
262,AZ,POINT (-112.126913821 33.505154487)
263,AZ,POINT (-112.169721243 33.4856225780001)
264,AZ,POINT (-112.069002179 33.4753385920001)
265,AZ,POINT (-112.066599134 33.505186549)
266,AZ,POINT (-112.071368011 33.5060001150001)
267,AZ,POINT (-112.071298534 33.5050707190001)
268,AZ,POINT (-112.025581345 33.4753648880001)
269,AZ,POINT (-112.117295144 33.3909475300001)
270,AZ,POINT (-111.996216939 33.386216743)
271,AZ,POINT (-112.072602968 33.388135816)
272,AZ,POINT (-112.039772253 33.3787623320001)
273,AZ,POINT (-112.056284924 33.3069004480001)
274,AZ,POINT (-111.948620219 33.3931691060001)
275,AZ,POINT (-111.961492971 33.3132562530001)
276,AZ,POINT (-111.916188039 33.3485822750001)
277,AZ,POINT (-111.920650457 33.3934142160001)
278,AZ,POINT (-111.924712446 33.363367548)
279,AZ,POINT (-111.848027038 33.4016325640001)
280,AZ,POINT (-111.877665912 33.3238089590001)
281,AZ,POINT (-111.846546521 33.314084103)
282,AZ,POINT (-111.737936472 33.357812273)
283,AZ,POINT (-111.925821918 33.4054171810001)
284,AZ,POINT (-111.973109599 33.4790335600001)
285,AZ,POINT (-111.916887018 33.4920631740001)
286,AZ,POINT (-111.899278469 33.5282038990001)
287,AZ,POINT (-111.833697012 33.417485264)
288,AZ,POINT (-111.788330498 33.437890784)
289,AZ,POINT (-111.797226697 33.4119126320001)
290,AZ,POINT (-111.761023822 33.422173312)
291,AZ,POINT (-111.687663916 33.422428833)
292,AZ,POINT (-112.737218832 33.9657627720001)
293,AZ,POINT (-112.735981604 33.96797128)
294,AZ,POINT (-112.26203192 33.603264504)
295,AZ,POINT (-112.133436857 33.585080685)
296,AZ,POINT (-112.150215213 33.6364890300001)
297,AZ,POINT (-112.02946184 33.5956742330001)
298,AZ,POINT (-111.890445764 33.3210565910001)
299,AZ,POINT (-111.804717068 33.4281350300001)
300,AZ,POINT (-111.84941966 33.308553267)
301,AZ,POINT (-111.727134279 33.436686235)
302,AZ,POINT (-112.031027129 33.502951264)
303,AZ,POINT (-114.03981291 35.263144783)
304,AZ,POINT (-110.194354836 34.886225772)
305,AZ,POINT (-109.932636539 33.797481659)
306,AZ,POINT (-109.971185586 34.1442764540001)
307,AZ,POINT (-110.008735352 34.1960162250001)
308,AZ,POINT (-109.93377098 34.122439673)
309,AZ,POINT (-110.061131006 34.9715598180001)
310,AZ,POINT (-110.943441467 32.2398937950001)
311,AZ,POINT (-110.978746963 32.1782014250001)
312,AZ,POINT (-111.128925107 32.3659424690001)
313,AZ,POINT (-110.845551212 32.191221093)
314,AZ,POINT (-110.875067771 32.2658411290001)
