STATE,NAME,geometry
CA,walgreens,POINT (-121.7862309 37.9898963)
CA,walgreens,POINT (-122.4115574 37.6205828)
CA,walgreens,POINT (-122.3236123 37.5649953)
CA,cvs,POINT (-122.2746216 37.5576922)
CA,cvs,POINT (-122.3331952 37.5807481)
CA,cvs,POINT (-121.2745499 38.1295194)
CA,"walmart, wal-mart",POINT (-121.3032382 38.1129918)
CA,cvs,POINT (-122.7440418 38.4330541)
CA,walgreens,POINT (-122.1382271 37.6858368)
CA,walgreens,POINT (-122.3967461 37.7941802)
CA,walgreens,POINT (-122.4984521 37.741797)
CA,walgreens,POINT (-122.411782 37.7870832)
CA,"walmart, wal-mart",POINT (-122.7900879 38.5287018)
CA,walgreens,POINT (-122.4336537 37.7868153)
CA,walgreens,POINT (-122.4301724 37.7719995)
CA,walgreens,POINT (-121.5503199 39.020111)
CA,cvs,POINT (-121.3219529 38.0175456)
CA,cvs,POINT (-121.4331235 37.7609699)
CA,cvs,POINT (-122.219321 38.1344927)
CA,cvs,POINT (-121.7319011 38.5609033)
CA,cvs,POINT (-122.637798 38.2385894)
CA,cvs,POINT (-122.4155612 40.5735518)
CA,cvs,POINT (-122.182417 37.7983317)
CA,cvs,POINT (-121.6430886 36.675231)
CA,walgreens,POINT (-122.4673902 37.7825047)
CA,cvs,POINT (-121.2834444 38.5815777)
CA,cvs,POINT (-121.5062845 38.6702061)
CA,cvs,POINT (-122.4235097 37.7942548)
CA,cvs,POINT (-121.2731845 38.6757051)
CA,cvs,POINT (-121.6461481 39.1465598)
CA,"walmart, wal-mart",POINT (-121.6538633 39.1447809)
CA,walgreens,POINT (-121.6287592 39.1428304)
CA,"walmart, wal-mart",POINT (-121.2918361 38.5961271)
CA,walgreens,POINT (-121.4485844 38.4241846)
CA,cvs,POINT (-121.6601766 36.6598979)
CA,walgreens,POINT (-121.2724645 38.7067395)
CA,walgreens,POINT (-121.3097057 38.677583)
CA,walgreens,POINT (-121.5430006 38.509309)
CA,walgreens,POINT (-121.3629164 38.7046338)
CA,walgreens,POINT (-121.4821201 38.4963415)
CA,walgreens,POINT (-121.4958702 38.5252887)
CA,walgreens,POINT (-121.4550417 38.5479376)
CA,"walmart, wal-mart",POINT (-121.4335665 38.4994657)
CA,walgreens,POINT (-121.8300066 37.2501714)
CA,walgreens,POINT (-121.9812711 37.2301713)
CA,walgreens,POINT (-121.8906791 37.3357953)
CA,"walmart, wal-mart",POINT (-121.9211738 37.4314605)
CA,cvs,POINT (-121.9945058 37.2938017)
CA,cvs,POINT (-122.1605567 37.4464685)
CA,cvs,POINT (-122.1145999 37.4025187)
CA,cvs,POINT (-121.8283325 37.3815986)
CA,cvs,POINT (-121.8989977 37.3049819)
CA,walgreens,POINT (-121.8100864 37.310257)
CA,walgreens,POINT (-121.8406496 37.340867)
CA,"walmart, wal-mart",POINT (-121.5511881 37.0086236)
OR,walgreens,POINT (-122.982455 44.9274924)
CA,walgreens,POINT (-122.0501296 37.3515668)
CA,walgreens,POINT (-121.8833483 37.2829554)
CA,walgreens,POINT (-122.032071 37.3684569)
CA,walgreens,POINT (-121.9133941 37.3238667)
CA,cvs,POINT (-122.042537 37.3383858)
CA,cvs,POINT (-121.9665427 37.3285986)
CA,walgreens,POINT (-121.7976526 37.2541509)
CA,walgreens,POINT (-121.7739662 37.3145489)
CA,"walmart, wal-mart",POINT (-121.7991929 37.2564108)
CA,"walmart, wal-mart",POINT (-121.5500573 38.587351)
CA,"walmart, wal-mart",POINT (-121.767945 37.6992416)
CA,walgreens,POINT (-122.3963885 40.5857051)
CA,walgreens,POINT (-122.2501807 38.1231422)
CA,walgreens,POINT (-122.2072123 38.105385)
CA,walgreens,POINT (-122.0642523 38.2484426)
CA,cvs,POINT (-122.2875368 38.3238141)
CA,cvs,POINT (-121.8156699 39.7615904)
CA,cvs,POINT (-124.0852409 40.8656955)
CA,cvs,POINT (-124.1472183 40.8002566)
CA,cvs,POINT (-122.0333872 38.291429)
CA,cvs,POINT (-121.2797054 38.7894883)
OR,"walmart, wal-mart",POINT (-121.317489 44.0236526)
OR,walgreens,POINT (-123.0498926 43.7976847)
OR,walgreens,POINT (-123.0260147 44.997361)
OR,walgreens,POINT (-123.0339042 44.8907209)
OR,"walmart, wal-mart",POINT (-123.0934595 44.0907274)
OR,walgreens,POINT (-123.0273414 44.082865)
OR,"walmart, wal-mart",POINT (-122.995784 44.914017)
OR,walgreens,POINT (-123.0178075 44.9573074)
OR,walgreens,POINT (-123.0599654 44.8887816)
CA,cvs,POINT (-121.4512237 37.7408924)
CA,walgreens,POINT (-122.4205965 37.7467313)
CA,walgreens,POINT (-122.4172889 37.789368)
CA,cvs,POINT (-121.4131932 38.573306)
CA,walgreens,POINT (-122.4586618 37.763629)
CA,walgreens,POINT (-122.4915163 37.649042)
CA,walgreens,POINT (-122.4684552 37.7389226)
CA,cvs,POINT (-122.0322784 37.8518692)
CA,cvs,POINT (-122.0276556 37.9760812)
CA,cvs,POINT (-121.7000404 37.9366074)
CA,walgreens,POINT (-121.7977159 36.6859438)
CA,walgreens,POINT (-122.5642699 37.9796906)
CA,"walmart, wal-mart",POINT (-121.6688804 36.70586)
