Name,Store Number,City,State,Zip Code,Latitude,Longitude,County,ID
Walmart,1873,Cranston,RI,2921,41.78818373073545,-71.49832069873811,Providence,17789
Walmart,1796,Amherst,NH,3031,42.80956550078334,-71.57933682203294,Hillsborough,17790
Walmart,1753,Derry,NH,3038,42.902097469583865,-71.32599765434863,Rockingham,17791
Walmart,3535,Epping,NH,3042,43.02738039298101,-71.06805560264094,Rockingham,17792
Walmart,1785,Hudson,NH,3051,42.72778700009345,-71.42252566292883,Hillsborough,17793
Walmart,2142,Salem,NH,3079,42.80197864267282,-71.23858882114293,Rockingham,17794
Walmart,2399,Manchester,NH,3103,42.95576137767869,-71.44451810047032,Hillsborough,17795
Walmart,1698,Hooksett,NH,3106,43.04110184745536,-71.47464618086816,Merrimack,17796
Walmart,2639,Gilford,NH,3249,43.5667163,-71.4387957,Belknap,17797
Walmart,2758,Plymouth,NH,3264,43.768969662881965,-71.7422520183027,Grafton,17798
Walmart,2369,Tilton,NH,3276,43.45438923833815,-71.57683244169857,Belknap,17799
Walmart,2055,Concord,NH,3301,43.22749056504264,-71.47994035854937,Merrimack,17800
Walmart,3549,Keene,NH,3431,42.92426697533508,-72.28649703785779,Cheshire,17801
Walmart,1907,Hinsdale,NH,3451,42.81363828576268,-72.53089858219028,Cheshire,17802
Walmart,2057,Rindge,NH,3461,42.74279,-72.039945,Cheshire,17803
Walmart,2681,Littleton,NH,3561,44.304709787411845,-71.79848853836803,Grafton,17804
Walmart,2634,Gorham,NH,3581,44.42671557648566,-71.19409248232843,Coos,17805
Walmart,1975,Claremont,NH,3743,43.37791834418905,-72.32895405963065,Sullivan,17806
Walmart,2138,West Lebanon,NH,3784,43.624462290884566,-72.32255833223464,,17807
Walmart,4389,Woodsville,NH,3785,44.14065058787345,-72.0264401100576,Grafton,17808
Walmart,2398,Newington,NH,3801,43.10188814747754,-70.80964475870134,Rockingham,17809
Walmart,2130,Portsmouth,NH,3801,43.03399137055808,-70.7886823072648,Rockingham,17810
Walmart,2140,North Conway,NH,3860,44.016782,-71.106524,Carroll,17811
Walmart,1930,Plaistow,NH,3865,42.825510525644106,-71.11111868172885,Rockingham,17812
Walmart,2330,Rochester,NH,3867,43.33407937377085,-71.01335573385181,Strafford,17813
Walmart,1762,Seabrook,NH,3874,42.89490176019811,-70.86657928465576,Rockingham,17814
Walmart,1749,Somersworth,NH,3878,43.23440056592763,-70.87914417177566,Strafford,17815
Walmart,2153,Biddeford,ME,4005,43.47438101056269,-70.4995394870639,York,17816
Walmart,1939,Brunswick,ME,4011,43.90699295469334,-69.90759607404472,Cumberland,17817
Walmart,2202,Windham,ME,4062,43.83723603516122,-70.44482544064523,Cumberland,17818
Walmart,1954,Sanford,ME,4073,43.401109843187164,-70.69956924766302,York,17819
Walmart,1788,Scarborough,ME,4074,43.62228985468288,-70.34355511888863,Cumberland,17820
Walmart,2659,Falmouth,ME,4105,43.720286281525745,-70.23523031310788,Cumberland,17821
Walmart,1868,Auburn,ME,4210,44.117823228135435,-70.23836139589548,Androscoggin,17822
Walmart,3269,Mexico,ME,4257,44.538527757946106,-70.51687913015485,Oxford,17823
Walmart,2183,Oxford,ME,4270,44.17253284475664,-70.51324976608159,Oxford,17824
Walmart,2046,Augusta,ME,4330,44.343088299890795,-69.78997215628624,Kennebec,17825
Walmart,1856,Bangor,ME,4401,44.83998706180343,-68.74941654503345,Penobscot,17826
Walmart,5076,Brewer,ME,4412,44.774448759578945,-68.73219755563242,Penobscot,17827
Walmart,1919,Lincoln,ME,4457,45.35593921837136,-68.52450443431736,Penobscot,17828
Walmart,1932,Ellsworth,ME,4605,44.524714823191005,-68.3929712816405,Hancock,17829
Walmart,2178,Calais,ME,4619,45.17496731002636,-67.27912193164231,Washington,17830
Walmart,1974,Houlton,ME,4730,46.14322176985791,-67.84257005900146,Aroostook,17831
Walmart,1924,Presque Isle,ME,4769,46.697539,-68.014515,Aroostook,17832
Walmart,1797,Thomaston,ME,4861,44.09145188753772,-69.1379814594984,Knox,17833
