,GEOID,Longitude,Latitude
1154,490379420001,-109.20588313285816,37.298851801836896
133,490070003001,-110.798507271884,39.60792067155673
742,490351124052,-111.90740097336696,40.62007357264706
1161,490379782001,-109.98965937511171,37.60715062434961
16,490039603012,-112.16598967019452,41.699926759905104
1447,490490018014,-111.65754187711792,40.24432970992893
424,490279741002,-112.55266848752628,39.34527203234227
1194,490419753004,-112.09519204477968,38.755525494792494
979,490351133142,-111.95032724855116,40.69323488570524
1880,490572013023,-111.96366887930049,41.21219190971735
33,490039606014,-112.01099810633411,41.509405368603005
1156,490379421001,-110.04036535329868,37.12055947186525
1157,490379421002,-110.68115716139616,37.10281233489495
390,490211105021,-113.065490113735,37.68873441269546
1545,490490034034,-111.75134856678928,40.02899172157707
458,490351005004,-111.93287633006742,40.78686798986911
1775,490532708021,-113.51459918720532,37.13059440533781
1746,490532701024,-112.97859184235836,37.01709280094072
981,490351134062,-111.99142069295748,40.700244971351424
1718,490499805001,-111.63188025748688,40.20223407725256
1239,490451306002,-113.33475133654576,40.54080752986734
1278,490479402013,-109.9110049911922,40.36266024673304
1276,490479402011,-109.52655395628324,39.845106065440085
1021,490351135122,-111.91672166373748,40.68083011551166
1086,490351138013,-112.01152971298308,40.65484725939
0,490011001001,-112.58184888100683,38.34319082376774
1155,490379420002,-109.41448198529108,37.12270601433861
523,490351028011,-111.91324846047956,40.74530510310596
140,490070006001,-110.29064065317236,39.63745720592272
1164,490379782004,-109.47938847194196,37.625506190877815
1175,490399723002,-111.77971906298494,39.150150092075535
674,490351114005,-111.88542275697988,40.71550313978884
420,490251302002,-112.5326871558791,37.05353611316198
1065,490351135392,-112.01073736205748,40.670938309242985
1716,490499803002,-111.67123671523476,40.22382493835174
1851,490572004001,-111.98107257999064,41.240806590140586
958,490351133072,-111.96278209240695,40.70753541950991
322,490111270024,-111.92775294661,40.84214505562626
451,490351003072,-111.94447593437977,40.80162336852399
456,490351005002,-111.92034294393846,40.784349449009575
1867,490572008002,-111.95366715337794,41.22462273625988
1894,490572018001,-111.97937949317982,41.20293160816124
743,490351124061,-111.90712872925442,40.60242124909947
746,490351125011,-111.87435093775966,40.62413466575499
371,490211101001,-112.8533757889349,37.99872247780838
1526,490490032031,-111.64761457998532,40.09923969560614
1017,490351135103,-111.9438343590804,40.67186390973332
507,490351021002,-111.88250127060898,40.762828582335935
124,490050014023,-111.8537735824682,41.63228353214402
1918,490572103042,-112.0213844880925,41.318905333783285
1922,490572103053,-112.00117204727532,41.29891519398312
1028,490351135144,-111.91043708069311,40.67140630591546
645,490351111053,-111.858322202358,40.66198442579785
1418,490490014033,-111.66457961050996,40.25374568757906
524,490351028012,-111.9245594905894,40.74507555937432
397,490211106023,-113.06170574702624,37.66787049314042
526,490351028021,-111.9142475113959,40.73276775943775
529,490351029001,-111.8969290511635,40.7459044707634
1297,490479684041,-109.52339813061016,40.441315953924935
1812,490532714001,-113.58015379867008,37.103940477228136
1430,490490015043,-111.64511085330652,40.26685204480168
1047,490351135271,-112.02134186774882,40.63472589727506
1700,490490105054,-111.79379111458258,39.98024435388265
681,490351116023,-111.90676453894145,40.69359995570059
1835,490559791002,-110.82401403258976,38.31271069888015
1453,490490018032,-111.64750000968807,40.23560464197252
688,490351117024,-111.87984871635632,40.70240795943516
1715,490499803001,-111.6519285341571,40.20910118220836
1791,490532709041,-113.33468658224498,37.185010132479135
1843,490572002033,-111.96427395771344,41.26934839077966
1078,490351136004,-111.99807768869344,40.65604142235038
441,490319601002,-112.09734485504288,38.35538908571432
1721,490519601002,-111.4187367187548,40.49872245547922
447,490351003061,-111.94148265089451,40.77672135636331
960,490351133074,-111.96537876425582,40.71900188318108
962,490351133082,-111.96277198520266,40.70027589844037
196,490111255021,-112.02954308956292,41.12022632953692
972,490351133121,-111.94893702340612,40.709206117021246
1486,490490022132,-111.714415626301,40.22732335798492
1874,490572012001,-111.97836662982668,41.212186903748574
470,490351008003,-111.89659730709992,40.77298024953956
1879,490572013022,-111.95306855122888,41.20823474376632
1498,490490027023,-111.62020524671328,40.20394640558936
222,490111258072,-111.96655476376168,41.100227987745455
96,490050009002,-111.82276358810044,41.72870268811796
1121,490351143011,-111.9830882977619,40.62240384937565
1380,490490008041,-111.71004206377911,40.30082743279825
1000,490351134141,-112.03242718501988,40.7012856237553
1512,490490030021,-111.58144920584569,40.17514971900198
1130,490351143042,-112.02726463868426,40.60215406836593
1259,490451308004,-112.47113671487904,40.61041133315166
1896,490572019001,-112.00773421841669,41.20807300693667
1006,490351134153,-112.04456567299276,40.71770340610336
240,490111260011,-111.97487937085457,41.066633489191695
1394,490490010022,-111.68802840674743,40.28648949235914
1013,490351135093,-111.92568469834708,40.69137874724822
374,490211101004,-112.702800839308,37.83770655888476
380,490211103001,-113.63426991495412,37.69577615823424
1277,490479402012,-109.84106094306776,40.29222690894062
1023,490351135132,-111.94471185729049,40.64935954464735
