State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
23,1,10100,23001010100,1578,83.71,4.94,0.32,1.14,0.0,2.47,36.94,7.92,48.23,34.47,white_alone
23,1,10200,23001010200,4591,90.96,0.39,0.0,1.59,0.0,0.7,9.64,3.99,71.31,24.48,white_alone
23,1,10300,23001010300,2684,90.83,0.52,0.0,0.0,0.0,0.3,19.89,7.71,64.83,27.35,white_alone
23,1,10400,23001010400,2416,85.97,0.0,0.0,7.91,0.0,4.1,9.34,5.96,68.87,17.55,white_alone
23,1,10500,23001010500,2025,84.89,1.28,0.99,0.0,0.0,4.1,15.43,11.56,71.51,16.94,white_alone
23,1,10600,23001010600,3049,94.16,0.0,0.0,0.0,0.0,0.0,9.26,6.56,74.84,18.43,white_alone
23,1,10700,23001010700,2925,93.09,0.85,0.27,1.3,0.0,0.79,4.79,6.91,79.86,13.13,white_alone
23,1,10800,23001010800,3999,88.92,2.63,0.3,0.23,0.0,4.6,8.13,10.73,65.49,23.78,white_alone
23,1,20100,23001020100,1242,75.04,18.52,0.48,1.45,0.0,0.24,41.65,8.37,52.58,38.41,white_alone
23,1,20200,23001020200,1376,85.9,4.29,0.36,0.0,0.0,0.0,26.16,6.98,70.42,22.6,white_alone
23,1,20301,23001020301,2241,83.53,3.7,0.31,5.35,0.0,2.95,23.23,4.69,69.34,14.68,white_alone
23,1,20302,23001020302,2314,84.49,1.12,0.0,0.04,0.0,3.37,8.63,18.02,53.46,28.18,white_alone
23,1,20303,23001020303,1999,67.28,13.06,0.0,0.25,0.0,1.75,54.63,23.96,56.28,19.76,white_alone
23,1,20401,23001020401,1671,32.08,40.99,0.0,0.0,0.0,0.0,45.66,4.79,73.01,22.2,other
23,1,20402,23001020402,1281,76.27,4.53,3.12,0.0,0.0,1.33,31.23,2.5,63.39,34.11,white_alone
23,1,20500,23001020500,3470,88.44,1.18,0.0,2.13,0.0,2.74,14.24,10.95,68.99,20.06,white_alone
23,1,20600,23001020600,2687,95.65,0.0,0.0,0.3,0.0,1.3,4.54,3.83,78.01,18.16,white_alone
23,1,20700,23001020700,5439,92.92,0.31,0.44,0.48,0.0,4.08,6.27,10.17,66.87,20.83,white_alone
23,1,20801,23001020801,3471,91.41,0.0,0.0,0.2,0.0,4.03,6.48,4.24,72.72,19.04,white_alone
23,1,20802,23001020802,4718,89.66,3.14,0.0,3.26,0.0,1.97,9.76,9.6,68.63,20.98,white_alone
23,1,20900,23001020900,4249,83.45,9.18,0.0,1.74,0.0,1.91,12.93,7.37,73.64,17.53,white_alone
23,1,30100,23001030100,4495,95.15,0.18,0.0,0.0,0.0,0.96,7.03,7.3,76.31,15.6,white_alone
23,1,30200,23001030200,4448,92.96,0.02,0.0,0.22,0.0,3.08,10.1,7.73,74.03,17.94,white_alone
23,1,40000,23001040000,3983,98.29,0.0,0.0,0.0,0.0,0.73,2.44,10.8,74.79,14.41,white_alone
23,1,41000,23001041000,5624,98.26,0.0,0.0,0.0,0.0,0.09,3.46,8.66,72.32,19.03,white_alone
23,1,41500,23001041500,5564,94.37,0.66,0.27,0.72,0.0,0.27,4.42,9.87,76.51,12.9,white_alone
23,1,42000,23001042000,5821,91.77,0.02,0.0,1.63,0.0,3.3,4.14,6.46,70.11,23.35,white_alone
23,1,43000,23001043000,2048,94.29,0.29,0.0,0.0,0.0,0.24,8.97,3.22,78.42,18.36,white_alone
23,1,44000,23001044000,3176,94.71,0.13,0.0,0.0,0.0,1.98,22.94,6.49,73.9,18.36,white_alone
23,1,45000,23001045000,2332,96.05,0.17,0.13,0.17,0.0,1.76,19.17,5.4,78.22,16.17,white_alone
23,1,46000,23001046000,4340,95.16,0.07,0.0,0.25,0.0,2.88,3.88,4.98,77.4,17.47,white_alone
23,1,46500,23001046500,6702,93.42,0.57,0.13,0.12,0.0,0.81,6.84,4.3,79.41,16.29,white_alone
23,3,950100,23003950100,2143,91.79,0.0,2.75,0.0,0.0,1.91,15.99,8.31,67.24,24.45,white_alone
23,3,950200,23003950200,2199,95.36,2.82,0.0,0.82,0.0,0.55,28.01,8.59,55.89,30.01,white_alone
23,3,950300,23003950300,3750,99.84,0.0,0.0,0.16,0.0,0.0,11.94,4.13,66.08,28.32,white_alone
23,3,950400,23003950400,1689,97.39,0.0,0.0,0.24,0.0,2.13,12.28,8.23,68.98,22.44,white_alone
23,3,950600,23003950600,3852,88.11,3.48,0.7,0.26,0.0,2.83,12.03,8.15,70.28,18.22,white_alone
23,3,950700,23003950700,2516,89.03,0.68,1.75,0.08,0.24,3.3,12.2,6.2,62.68,28.93,white_alone
23,3,950900,23003950900,1914,97.6,0.16,0.78,0.0,0.63,0.42,16.98,9.35,59.87,30.77,white_alone
23,3,951000,23003951000,3308,96.13,0.3,0.76,0.06,0.0,1.21,11.29,6.77,71.61,21.61,white_alone
23,3,951100,23003951100,2655,95.03,0.49,1.32,0.23,0.0,0.6,8.36,5.91,71.34,22.75,white_alone
23,3,951200,23003951200,2314,99.61,0.0,0.0,0.0,0.0,0.0,13.61,4.75,65.47,29.78,white_alone
23,3,951300,23003951300,3099,95.26,0.52,1.16,0.35,0.0,2.29,8.87,4.84,65.63,25.17,white_alone
23,3,951400,23003951400,2246,94.3,0.0,1.2,0.0,0.0,1.2,21.02,7.79,62.15,30.05,white_alone
23,3,951600,23003951600,2009,89.65,0.8,3.48,1.24,0.0,3.33,16.56,3.33,60.03,23.99,white_alone
23,3,951700,23003951700,4686,96.69,0.36,1.86,0.17,0.0,0.0,6.82,6.68,61.91,31.41,white_alone
23,3,951800,23003951800,3269,96.88,0.0,0.43,0.0,0.0,0.0,20.49,10.71,66.08,23.22,white_alone
23,3,951900,23003951900,3032,91.72,0.0,1.06,2.57,0.07,3.27,8.76,7.42,65.96,23.75,white_alone
23,3,952000,23003952000,2771,87.51,0.76,6.93,1.48,0.0,1.19,18.21,6.78,68.93,23.75,white_alone
23,3,952100,23003952100,2810,96.23,0.85,1.89,0.04,0.0,0.0,14.19,11.14,64.38,21.07,white_alone
23,3,952300,23003952300,2292,93.94,2.88,0.87,0.48,0.0,0.74,12.56,9.29,66.06,24.65,white_alone
23,3,952400,23003952400,3781,84.05,4.95,8.15,0.21,0.0,0.79,19.67,5.24,68.13,20.68,white_alone
23,3,952500,23003952500,2033,94.39,0.0,0.0,0.2,0.0,3.64,20.26,9.84,63.55,22.04,white_alone
23,3,952600,23003952600,3249,91.54,0.4,4.4,0.25,0.0,1.85,12.57,19.45,60.42,20.13,white_alone
23,3,952700,23003952700,2677,93.54,0.26,2.95,0.04,0.19,1.2,16.48,12.48,55.55,31.64,white_alone
23,3,952900,23003952900,3137,96.4,0.86,0.61,0.22,0.0,0.41,16.45,13.26,61.62,25.12,white_alone
