,GEOID,Longitude,Latitude
739,530199400001,-118.59787706457436,48.18592681758407
4486,530630102013,-117.25564392999088,48.01894890667918
298,530099400002,-124.64168322150012,48.33517259931935
2935,530479402002,-119.53525091709638,48.18238523818811
794,530210206084,-119.18566731669075,46.38074990263588
130,530050113001,-119.12014631636428,46.21672385561308
482,530110411112,-122.61020325820488,45.64461757611674
111,530050110013,-119.1757445024804,46.21421912695122
796,530210208011,-119.09672883288644,46.59234815919096
190,530079604003,-120.15269313103656,47.877642081790334
768,530210204042,-119.1200226093475,46.23584785666868
833,530250109032,-119.30823270590632,47.14877322727313
5218,530770019023,-119.92735050357446,46.25205722214557
6,530019503011,-119.01094712804576,46.827813934691264
870,530270002023,-124.20247030999006,47.223956551854094
4743,530670103004,-122.85851676670836,47.04467066900438
2281,530330312025,-122.1020392575734,47.24029816852049
714,530179501023,-119.68164590903116,48.01261253539354
3563,530530733013,-122.24206935693394,47.235722520964686
748,530210201012,-119.0547900483871,46.21314209231471
5194,530770015034,-120.48144287082305,46.59073374362236
5136,530770003012,-120.5304600925946,46.6160911874492
759,530210203002,-119.1126877382477,46.25147411342538
2941,530479703022,-119.33070277966868,48.85165831113247
3359,530530720001,-122.53966566238722,47.12411112056181
4871,530670123322,-122.74675051263377,47.04468866474732
3851,530610418101,-122.25231739153932,47.88847354419171
3342,530530718061,-122.50539657723554,47.146017160847286
1937,530330261021,-122.25464899543456,47.4988872976378
531,530110413205,-122.5071922764741,45.61884050758142
2585,530350808001,-122.6906744961946,47.58531728287595
798,530210208013,-119.09747953514776,46.686763933588985
295,530090024002,-124.52370877109811,47.94468435316707
2863,530419720004,-121.69783061229596,46.604064988182365
189,530079604002,-120.16639557072318,47.93498700893871
1986,530330276001,-122.36021708253674,47.4820029277157
3906,530610501022,-122.2957138942974,47.852153034959095
708,530179501011,-120.18445125844914,47.74497080223394
836,530250109042,-119.28680013816916,47.13604172563073
5189,530770014002,-120.47640956071936,46.55030825798418
2003,530330279023,-122.33927970053485,47.46198805110188
3924,530610504041,-122.3402218555218,47.8154504517897
4694,530630145003,-117.35704631516175,47.66509038086982
5209,530770018011,-119.9188764477392,46.38197846264662
2789,530399501033,-120.8328558323242,45.82046365670364
2278,530330312022,-122.15362971435805,47.27572747114739
749,530210201021,-119.0663377999506,46.26211046048957
4980,530730003021,-122.49861587780292,48.78691335886202
764,530210204022,-119.12340811836484,46.24555617352409
3326,530530717041,-122.4685664408629,47.1679000546752
4,530019502002,-118.76789797801143,46.94372458336803
132,530050113003,-119.11208438090138,46.20182050351132
2053,530330290033,-122.30802366679768,47.37295818635368
3717,530579523012,-122.2971856868005,48.43188948263846
8,530019503031,-119.20392631279203,46.79478809914677
5138,530770003021,-120.5502100388994,46.61044562133753
2068,530330292061,-122.24314717629925,47.41457533184761
5279,530779400013,-120.5279933282044,46.39830461678474
1441,530330099002,-122.37105676273087,47.55972521817744
3362,530530721051,-122.5645437992024,47.18938613568628
3109,530530628021,-122.49750145681344,47.20259509424083
169,530050119003,-119.50149429656582,46.27576659499211
5038,530730101021,-122.14859291429168,48.95031545598103
2045,530330289023,-122.29416600741946,47.39967320664491
306,530110402011,-122.67763496778812,45.917549184039615
3382,530530721121,-122.57780202661256,47.16952537463457
4922,530719200004,-118.5030910653263,46.37919370294161
828,530250108001,-119.31181069138415,47.20426842013725
188,530079604001,-120.10084792595993,47.93821327996852
3132,530530633023,-122.41747987107944,47.19530979996797
5180,530770012012,-120.52512433050468,46.57622728600276
5184,530770012023,-120.50496848225416,46.57457852940558
2243,530330305033,-122.21554265613987,47.33750319668977
5190,530770015021,-120.48586549620586,46.58157019228719
4169,530610525054,-122.1322696468244,47.98046291700422
4942,530719206003,-118.3413194036548,46.05843302132268
2256,530330308012,-122.21818019238805,47.27980090116415
4050,530610519332,-122.21493608984242,47.82836902059225
857,530250114033,-119.85762260533852,46.77501479066645
858,530250114041,-119.8555907045682,46.91610241685221
1016,530319507021,-123.96648228420158,47.709774674330816
860,530250114061,-119.92732654497024,46.6773807075075
2141,530330298032,-122.25898653687156,47.378637262561575
3552,530530731323,-122.31169180458436,47.074898953570106
3963,530610514013,-122.31414506044403,47.81306837919356
743,530199701003,-118.63316202259452,48.84052867702368
105,530050109015,-119.18899961369084,46.21570878826243
5228,530770020062,-120.02609695888088,46.31596012509073
751,530210201023,-119.06516972895896,46.23854379025901
4720,530659509002,-118.12299671224385,48.14328681246479
5232,530770021031,-120.09778247161589,46.29164304594688
3314,530530716011,-122.41843044023038,47.18529211541226
628,530150006011,-122.96608068276696,46.1465643899579
2166,530330300061,-122.30382203196405,47.32653437398504
760,530210203003,-119.09824241382,46.24514319720432
762,530210204011,-119.11739737094162,46.22608412197825
1403,530330090001,-122.31307723264298,47.59873825711566
4860,530670122261,-122.75954792353237,47.07764740762842
765,530210204031,-119.11236299949644,46.23777861771202
127,530050112014,-119.13313964249086,46.20418459997913
