GEOID,Longitude,Latitude
100050501032,-75.39558789029559,38.89539138184672
100030125004,-75.59296598929195,39.725768208359966
100010422061,-75.52848892328211,39.04324316762006
100050508082,-75.21234359939218,38.74832177894182
100050507101,-75.14401143428792,38.63625242054628
100050515011,-75.21967620148862,38.52388178463857
100010411012,-75.49076198677795,39.11502707435447
100030164011,-75.67754323990357,39.5757269559531
100030148112,-75.74873138579706,39.55176930170196
100030168084,-75.64285112476595,39.424176753486925
100010418043,-75.58896919864917,39.16173731815879
100030135013,-75.65401337115739,39.76042175113205
100050506013,-75.35757463270603,38.58581537334672
100030141002,-75.71217060868024,39.675630135031454
100030025003,-75.5740847195293,39.744344231117054
100050510122,-75.1683429274318,38.66639095728587
100050511022,-75.08699550349621,38.71119919844831
100050505051,-75.37415584748545,38.67279746886536
100030002003,-75.52822620106059,39.76582014143681
100050504052,-75.6277705372518,38.64043108338963
100030139032,-75.68898639348797,39.64365882436863
100030127002,-75.6183324493244,39.71255388952802
100010419003,-75.69445726947838,39.1551421015759
100010402012,-75.61119196600201,39.30021142593152
100050501053,-75.36016323930131,38.86624883060311
100050503043,-75.60467956271286,38.74728546592451
100050504071,-75.57942033763948,38.68657495330942
100050504073,-75.56679797453201,38.652474607626864
100050512011,-75.07305491739916,38.58539938501633
100030155021,-75.54186846779673,39.710838839413306
100050501011,-75.46729171136103,38.85351350156163
100010405012,-75.54042104420996,39.19585494440096
100050504083,-75.57874837059025,38.63288080851367
100030107032,-75.5083953864385,39.76250278810437
100010420002,-75.67164640614048,39.0419350241696
100030143022,-75.76805809182073,39.69208917040664
100030136113,-75.70650984410953,39.71578954406856
100030112052,-75.51980967643007,39.82486333966666
100050512052,-75.05738464350934,38.45864188508804
100030136122,-75.68518260610645,39.75659568834431
100030131002,-75.64492058277843,39.725074797508384
100030148031,-75.7674894873231,39.64654941064172
100030104004,-75.47781591308924,39.796778275941016
100050507081,-75.17288244096429,38.6082674623813
100030109002,-75.51456687716764,39.788481092883
100030164043,-75.5974000032097,39.56853876989491
100030166093,-75.76116477468403,39.51963849879716
100030149072,-75.66236528550678,39.64753445230394
100030147062,-75.72501101722574,39.64248552015835
100010402042,-75.62860954200814,39.27236565966362
100050510083,-75.1364277216586,38.74574033778031
100030139013,-75.6852930263771,39.66911495042137
100050507013,-75.26745599838272,38.66496086638465
100010421002,-75.58555942478695,39.08567071819928
100030168081,-75.63529037027781,39.40936248541312
100030026002,-75.56433141875706,39.73973281422263
100050517011,-75.43045529020759,38.55651431847623
100050501013,-75.45635794851096,38.89934929456064
100010432022,-75.40445700023008,39.01161943193056
100030135063,-75.7325995454987,39.76372477427254
100050512021,-75.0712513570424,38.54825443820546
100010431002,-75.6539577103765,38.86239554518299
100010422042,-75.52193244582607,39.07931896818282
100050511011,-75.08159318233382,38.73115183808676
100030136103,-75.73942185026996,39.698916221979765
100050508071,-75.22790287685275,38.75434003613804
100030137002,-75.71300150697616,39.693127615317394
100010422062,-75.52842276150568,39.02833158953769
100050511023,-75.08084716249707,38.70357764471097
100050501043,-75.41601119078953,38.91317770616713
100050508083,-75.19062411617767,38.74591627053767
100030115001,-75.53806425605639,39.80162760280756
100030003002,-75.53981285416286,39.75804185334849
100050506043,-75.27481123564985,38.5829529546002
100050513081,-75.13202144590775,38.58007077639171
100019800001,-75.46633054634141,39.12103297759848
100030024002,-75.58402464874656,39.7538248490572
100030163014,-75.66825963930934,39.61723972960215
100050505033,-75.37568997603745,38.7044672599822
100050510162,-75.10583654372017,38.69521589555471
100030162003,-75.58960904715991,39.65786707475651
100050514003,-75.22127522300276,38.48230696805207
100030166104,-75.72755123738466,39.46366817480175
100010418041,-75.56456332596512,39.16355785793735
100050507102,-75.16858344582646,38.63448269567151
100030166112,-75.71413147816413,39.53217406638259
100030156001,-75.56750968718005,39.70072927907865
100010412002,-75.51287741283434,39.13426669689585
100030135011,-75.68919308032311,39.8015921129013
100030135012,-75.64008381694723,39.75114035090503
100050509031,-75.15727390078817,38.767496079304976
100010401004,-75.68436588293413,39.25821382476424
100030102001,-75.4658733950474,39.80859410506935
100030150001,-75.61040537716556,39.685314779533485
100030166131,-75.70529666984667,39.46382235560738
100030148084,-75.70302800793799,39.61992552964295
100030163061,-75.64163195725033,39.64093011068416
100030123001,-75.59727058685456,39.74121878376801
100030148092,-75.70244553936243,39.583730940881146
100030006013,-75.53209914050662,39.74933883609186
