STATE,NAME,geometry
CA,walgreens,POINT (-122.1799462 37.7561615)
CA,walgreens,POINT (-122.2654917 37.8227236)
CA,walgreens,POINT (-122.2491453 37.7572238)
CA,walgreens,POINT (-122.5244488 37.8803628)
CA,walgreens,POINT (-122.3730073 40.6097087)
CA,walgreens,POINT (-121.9612771 37.3500496)
CA,walgreens,POINT (-121.2721525 38.6778907)
CA,walgreens,POINT (-121.3485788 38.6603259)
CA,walgreens,POINT (-122.0236449 37.3105539)
CA,walgreens,POINT (-121.6385404 37.1301488)
CA,walgreens,POINT (-121.8616961 37.3580652)
CA,walgreens,POINT (-121.8895883 37.2456558)
CA,walgreens,POINT (-121.8748392 37.343306)
CA,walgreens,POINT (-121.5842816 37.0130828)
CA,walgreens,POINT (-121.9115828 37.4264406)
CA,walgreens,POINT (-122.072848 37.3791459)
CA,walgreens,POINT (-122.1609016 37.4462571)
CA,walgreens,POINT (-121.8747475 37.4137488)
CA,walgreens,POINT (-121.9920838 37.3518786)
CA,walgreens,POINT (-122.1761383 37.436021)
CA,walgreens,POINT (-121.860531 39.7320167)
CA,walgreens,POINT (-121.9692795 38.3348827)
OR,walgreens,POINT (-122.9261079 44.0451391)
CA,walgreens,POINT (-121.992644 37.8241009)
CA,walgreens,POINT (-122.4841574 37.7008151)
CA,walgreens,POINT (-124.1967424 41.757276)
CA,walgreens,POINT (-121.5254217 38.5804322)
CA,walgreens,POINT (-122.2906198 37.531096)
CA,walgreens,POINT (-122.4049225 37.7301169)
CA,walgreens,POINT (-121.8506353 36.5997826)
CA,walgreens,POINT (-121.8949 36.5994547)
CA,walgreens,POINT (-121.6520479 36.7119482)
CA,walgreens,POINT (-122.6728053 38.4585839)
CA,walgreens,POINT (-122.4826766 37.754244)
CA,walgreens,POINT (-122.3975733 37.7900488)
CA,walgreens,POINT (-122.0909922 37.6834808)
CA,walgreens,POINT (-122.1100569 37.6540977)
CA,walgreens,POINT (-122.0764851 37.6302397)
CA,walgreens,POINT (-121.8750322 37.6758872)
CA,walgreens,POINT (-122.2675507 37.8696525)
CA,walgreens,POINT (-121.695411 37.9249132)
CA,walgreens,POINT (-122.3176741 37.9636922)
CA,walgreens,POINT (-122.3400579 37.9580227)
CA,walgreens,POINT (-122.3315483 37.9912588)
CA,walgreens,POINT (-121.944246 37.7249059)
CA,walgreens,POINT (-121.9698613 37.5234631)
CA,walgreens,POINT (-122.435729 37.7607037)
CA,walgreens,POINT (-121.9821264 37.5554004)
CA,walgreens,POINT (-122.0818649 37.9485894)
CA,walgreens,POINT (-122.4527346 37.7444716)
CA,walgreens,POINT (-122.4278321 37.6452433)
CA,walgreens,POINT (-122.2490462 37.4967889)
CA,walgreens,POINT (-122.3953671 37.6033696)
CA,walgreens,POINT (-122.4522922 37.7644024)
CA,walgreens,POINT (-122.2964733 37.8796212)
CA,walgreens,POINT (-122.0309698 37.5713195)
CA,walgreens,POINT (-122.3953369 37.7771099)
CA,walgreens,POINT (-122.7519524 38.4661155)
CA,walgreens,POINT (-121.2892619 38.1357456)
CA,walgreens,POINT (-122.7095121 38.330968)
CA,walgreens,POINT (-122.4162729 37.776936)
CA,walgreens,POINT (-121.3729909 38.4522195)
CA,walgreens,POINT (-121.4476679 38.610835)
CA,walgreens,POINT (-121.5417573 38.656296)
CA,walgreens,POINT (-121.4186737 38.4242624)
CA,walgreens,POINT (-121.4513382 38.474936)
CA,walgreens,POINT (-121.4945566 38.562483)
CA,walgreens,POINT (-121.9142368 37.2938495)
CA,walgreens,POINT (-122.115577 37.3773402)
CA,walgreens,POINT (-122.0978707 37.4042996)
CA,walgreens,POINT (-121.8944227 37.3108186)
CA,walgreens,POINT (-121.9811808 37.2995936)
CA,walgreens,POINT (-121.8430003 37.3727682)
CA,walgreens,POINT (-122.0185257 37.3555482)
CA,walgreens,POINT (-121.5447698 39.5068247)
CA,walgreens,POINT (-124.1391337 40.7809361)
CA,walgreens,POINT (-121.6117458 39.7698983)
CA,walgreens,POINT (-121.5932048 39.1450049)
CA,walgreens,POINT (-121.8450858 39.7615492)
CA,walgreens,POINT (-122.1611781 37.4459468)
OR,walgreens,POINT (-122.8615252 42.3153708)
OR,walgreens,POINT (-123.3335358 42.4219015)
OR,walgreens,POINT (-123.0670194 44.0810314)
OR,walgreens,POINT (-123.0841666 44.6336321)
OR,walgreens,POINT (-123.0517021 44.948302)
OR,walgreens,POINT (-122.8962526 44.516481)
CA,walgreens,POINT (-122.4520754 37.6452014)
CA,walgreens,POINT (-122.4321732 37.7905308)
CA,walgreens,POINT (-121.8617772 39.7535085)
CA,walgreens,POINT (-121.7717781 36.9350089)
CA,walgreens,POINT (-122.3874508 37.7420457)
CA,walgreens,POINT (-122.4385428 37.8003697)
CA,walgreens,POINT (-121.4504888 37.7382436)
CA,walgreens,POINT (-122.4226252 37.7762204)
CA,walgreens,POINT (-122.4005626 37.7871481)
CA,walgreens,POINT (-122.1961821 37.7859678)
CA,walgreens,POINT (-121.2958838 37.9675435)
CA,walgreens,POINT (-121.7372933 37.9261106)
CA,walgreens,POINT (-122.0612485 37.9269629)
CA,walgreens,POINT (-122.3188512 37.9246557)
CA,walgreens,POINT (-122.2594962 37.8684434)
CA,walgreens,POINT (-122.1410078 37.7154922)
CA,walgreens,POINT (-122.4791053 37.7426559)
CA,walgreens,POINT (-122.4350776 37.7239179)
CA,walgreens,POINT (-122.2524244 37.7990971)
CA,walgreens,POINT (-122.0385047 37.9775702)
CA,walgreens,POINT (-122.4582285 37.7074914)
CA,walgreens,POINT (-122.408424 37.7982677)
CA,walgreens,POINT (-122.4429732 37.7991905)
CA,walgreens,POINT (-122.2772373 37.520361)
CA,walgreens,POINT (-122.4671857 37.7105991)
CA,walgreens,POINT (-121.9550029 37.9521196)
CA,walgreens,POINT (-122.1836321 37.4522974)
CA,walgreens,POINT (-121.9281072 37.4894851)
CA,walgreens,POINT (-122.2864289 37.8525021)
CA,walgreens,POINT (-122.4040784 37.7894512)
CA,walgreens,POINT (-122.1208356 37.7003351)
CA,walgreens,POINT (-122.2672703 37.8581076)
CA,walgreens,POINT (-121.305257 37.9976731)
CA,walgreens,POINT (-122.4353187 37.7610793)
CA,walgreens,POINT (-121.3234781 38.0218978)
CA,walgreens,POINT (-122.2485809 37.5056791)
CA,walgreens,POINT (-122.4396748 37.7159891)
CA,walgreens,POINT (-121.6478477 39.1424231)
CA,walgreens,POINT (-121.3723315 38.4228983)
CA,walgreens,POINT (-121.3292112 38.6160166)
CA,walgreens,POINT (-121.3836142 38.6910493)
CA,walgreens,POINT (-121.3654336 38.5948328)
CA,walgreens,POINT (-121.414644 38.5966337)
CA,walgreens,POINT (-122.124979 37.4111192)
CA,walgreens,POINT (-122.1300569 37.4343587)
CA,walgreens,POINT (-121.977508 37.2851735)
CA,walgreens,POINT (-121.9116926 37.4564583)
CA,walgreens,POINT (-121.9140981 37.2351639)
CA,walgreens,POINT (-121.9323617 37.2734196)
CA,walgreens,POINT (-121.9492098 37.2930409)
CA,walgreens,POINT (-121.7979398 37.3255812)
CA,walgreens,POINT (-121.9507459 37.329131)
CA,walgreens,POINT (-121.3085885 38.7512756)
CA,walgreens,POINT (-121.4170203 38.4569522)
CA,walgreens,POINT (-124.145992 40.5794304)
CA,walgreens,POINT (-124.17812 40.7937799)
CA,walgreens,POINT (-122.3537229 40.571778)
CA,walgreens,POINT (-122.3313706 37.9558895)
OR,walgreens,POINT (-123.0269245 44.0625684)
OR,walgreens,POINT (-123.0029328 44.056628)
OR,walgreens,POINT (-122.9828684 44.9534675)
OR,walgreens,POINT (-123.1322295 44.1045037)
OR,walgreens,POINT (-124.0049522 44.9945574)
CA,walgreens,POINT (-122.4576329 37.7861523)
CA,walgreens,POINT (-122.0157843 37.9257257)
CA,walgreens,POINT (-121.2715208 37.9631733)
CA,walgreens,POINT (-122.4354383 37.7686691)
CA,walgreens,POINT (-122.4391896 37.7435826)
CA,walgreens,POINT (-122.4183821 37.7483965)
OR,walgreens,POINT (-123.3483435 43.2263507)
CA,walgreens,POINT (-121.8612016 39.7560645)
CA,walgreens,POINT (-122.2003398 39.7489248)
UT,walgreens,POINT (-112.0252798 41.1628189)
CA,walgreens,POINT (-120.8344638 37.0575091)
CA,walgreens,POINT (-119.8796395 36.7930348)
CA,walgreens,POINT (-119.5739337 36.7060623)
CA,walgreens,POINT (-119.6266228 36.5757913)
CA,walgreens,POINT (-119.6826664 36.807987)
CA,walgreens,POINT (-121.1416273 37.7401183)
AZ,walgreens,POINT (-114.0371836 35.2245395)
CA,walgreens,POINT (-119.3504541 36.3249548)
CA,walgreens,POINT (-119.3476507 36.2069246)
CA,walgreens,POINT (-120.9943167 37.6591619)
ID,walgreens,POINT (-113.7827215 42.5388009)
CA,walgreens,POINT (-119.7738967 36.8525818)
CA,walgreens,POINT (-120.9564847 37.6097929)
CA,walgreens,POINT (-118.9413546 35.3754968)
CA,walgreens,POINT (-118.967861 35.3912217)
CA,walgreens,POINT (-119.048596 35.3181091)
ID,walgreens,POINT (-116.5734932 43.5476745)
ID,walgreens,POINT (-111.9996236 43.4971971)
ID,walgreens,POINT (-112.3569625 43.1926065)
ID,walgreens,POINT (-112.4523339 42.8916908)
ID,walgreens,POINT (-116.375231 43.6201848)
ID,walgreens,POINT (-116.2835262 43.6199668)
ID,walgreens,POINT (-116.242963 43.5902696)
ID,walgreens,POINT (-116.1739404 43.5827148)
NV,walgreens,POINT (-114.9822589 36.0385346)
NV,walgreens,POINT (-115.2086278 36.1003098)
NV,walgreens,POINT (-115.2617181 36.1141047)
NV,walgreens,POINT (-115.2430557 36.2636962)
NV,walgreens,POINT (-115.0635488 36.1967408)
NV,walgreens,POINT (-115.2979457 36.1005881)
NV,walgreens,POINT (-115.14704 36.1583477)
NV,walgreens,POINT (-115.2416956 36.0993145)
NV,walgreens,POINT (-115.3017573 36.206872)
NV,walgreens,POINT (-115.2353358 36.1585704)
NV,walgreens,POINT (-115.2798413 36.1015967)
NV,walgreens,POINT (-115.206994 36.2382035)
NV,walgreens,POINT (-115.099039 36.2132201)
NV,walgreens,POINT (-115.1341465 36.2756947)
NV,walgreens,POINT (-115.0849583 36.035272)
NV,walgreens,POINT (-115.0659045 36.115425)
NV,walgreens,POINT (-115.1387608 36.1150275)
NV,walgreens,POINT (-115.1636721 36.1327107)
NV,walgreens,POINT (-115.2053283 36.1674461)
UT,walgreens,POINT (-112.0637468 41.1403801)
NV,walgreens,POINT (-119.7515805 39.1712589)
NV,walgreens,POINT (-119.7399886 39.5843024)
UT,walgreens,POINT (-111.9752001 41.1973401)
ID,walgreens,POINT (-116.4129539 43.6489153)
UT,walgreens,POINT (-111.7525896 40.3657205)
UT,walgreens,POINT (-111.6889588 40.2817677)
