,STATE,geometry
139,MT,POINT (-113.9818924 46.8677204)
140,OR,POINT (-122.7645601 45.3043971)
141,MT,POINT (-114.1581646 46.2460083)
142,WA,POINT (-122.2295463 47.3829167)
143,NV,POINT (-115.7762125 40.8279747)
144,AZ,POINT (-112.3798525 33.6560934)
145,WA,POINT (-122.1518956 47.7511114)
146,HI,POINT (-155.9863677 19.6458662)
147,NV,POINT (-119.8030909 39.4761732)
148,AZ,POINT (-112.2369322 33.6121733)
149,CA,POINT (-116.8876143 34.2436412)
150,CA,POINT (-117.6114853 34.0915794)
151,CA,POINT (-117.9104758 33.7144411)
152,HI,POINT (-157.8305033 21.2804019)
153,CA,POINT (-117.1967046 34.1263309)
154,ID,POINT (-116.1939893 43.5897152)
155,OR,POINT (-122.8069455 45.4990658)
156,CA,POINT (-117.250115 33.367816)
157,CA,POINT (-116.3879786 34.1324849)
158,CA,POINT (-118.0349854 34.0733637)
159,ID,POINT (-112.4382165 42.8510304)
160,CA,POINT (-119.1966479 34.197994)
161,AK,POINT (-149.8403634 61.1830121)
162,ID,POINT (-116.5425625 48.3053697)
163,OR,POINT (-122.833936 45.5543619)
164,WA,POINT (-122.2820239 47.1543422)
165,ID,POINT (-111.9998349 43.490917)
166,CA,POINT (-116.3567025 33.7589801)
167,CA,POINT (-119.1486819 34.2181756)
168,NV,POINT (-115.0454695 36.0705913)
169,UT,POINT (-113.287637 37.176018)
170,OR,POINT (-123.0401667 44.9014162)
171,NV,POINT (-115.1949734 36.1013481)
172,NV,POINT (-115.159264 36.239888)
173,CA,POINT (-118.5876002 34.246686)
174,NV,POINT (-119.8029404 39.5174785)
175,OR,POINT (-118.3972004 45.9410081)
176,CA,POINT (-118.3592775 33.8379823)
177,CA,POINT (-117.212404 32.7510067)
178,WA,POINT (-119.4336947 48.9406366)
179,ID,POINT (-116.2393915 43.6374454)
180,ID,POINT (-116.3549299 43.6914404)
181,ID,POINT (-116.3792237 43.6198634)
182,ID,POINT (-116.3550784 43.6163382)
183,CA,POINT (-117.2842557 33.1868249)
184,CA,POINT (-118.1084438 33.8096639)
185,NV,POINT (-115.2996247 36.145012)
186,CA,POINT (-118.0569293 34.5793008)
187,CA,POINT (-116.9874917 33.746783)
188,AZ,POINT (-112.2373316 33.4946315)
189,CA,POINT (-117.8972712 34.0784666)
190,CA,POINT (-117.7490007 34.0762085)
191,NV,POINT (-114.9993595 36.0340432)
192,CA,POINT (-118.3926776 34.0908941)
193,CA,POINT (-121.876976 37.6899537)
194,CA,POINT (-119.1543692 34.2206758)
195,CA,POINT (-119.1807988 34.1740124)
196,UT,POINT (-112.2968481 40.5560195)
197,CA,POINT (-117.8277795 33.7886119)
198,UT,POINT (-113.5652434 37.0958294)
199,UT,POINT (-112.0605051 41.1403043)
200,CA,POINT (-118.4515198 34.2006452)
201,CA,POINT (-118.2663844 34.0471873)
202,AK,POINT (-152.4063829 57.7881385)
203,CA,POINT (-118.8221586 34.1487636)
204,CA,POINT (-118.1507593 34.1388729)
205,CA,POINT (-122.0208421 36.977216)
206,CA,POINT (-118.3277923 33.8227112)
207,CA,POINT (-118.4416439 33.9827692)
208,OR,POINT (-122.9498602 45.3033202)
209,OR,POINT (-122.8200691 45.8638125)
210,OR,POINT (-119.3266301 45.9172199)
211,CA,POINT (-118.1507152 33.8048926)
212,OR,POINT (-122.7205485 42.2059445)
213,OR,POINT (-122.773411 45.4533716)
214,UT,POINT (-112.0272089 41.1593659)
215,CA,POINT (-118.3187507 34.1708341)
216,CA,POINT (-118.2404229 34.1366806)
217,OR,POINT (-123.3248228 42.4551846)
218,OR,POINT (-122.7832267 45.4856427)
219,OR,POINT (-123.0842124 44.6257454)
220,OR,POINT (-123.3700994 43.2388918)
221,OR,POINT (-119.2883607 45.8385068)
222,CA,POINT (-121.777439 36.9171578)
223,CA,POINT (-116.4086555 33.7359381)
224,CA,POINT (-118.1104185 34.5798249)
225,WA,POINT (-117.2115635 47.6568418)
226,HI,POINT (-156.4482906 20.7525282)
227,WA,POINT (-117.4835708 47.7369483)
228,CA,POINT (-117.2723767 33.1366528)
229,CA,POINT (-119.0421103 34.2226634)
230,HI,POINT (-157.7311168 21.3969405)
231,CA,POINT (-121.1820065 38.6535948)
232,ID,POINT (-112.4274486 42.9100786)
233,AZ,POINT (-112.0690141 33.3768946)
234,CA,POINT (-120.5953511 35.1188332)
235,HI,POINT (-157.8260611 21.2776792)
236,ID,POINT (-116.2750603 43.6320086)
237,ID,POINT (-112.4517825 42.8839852)
238,ID,POINT (-112.1261304 43.379428)
239,AZ,POINT (-114.5895349 35.0537026)
240,CA,POINT (-122.516755 37.9245468)
241,CA,POINT (-119.0759334 34.345517)
242,CA,POINT (-117.783001 33.7076675)
243,OR,POINT (-121.267191 44.0649999)
244,CA,POINT (-118.12373 34.0324487)
245,NV,POINT (-115.0837891 36.0258726)
246,CA,POINT (-120.8346252 37.5031239)
247,ID,POINT (-114.9383441 44.2171736)
248,CA,POINT (-118.3521628 33.7818212)
249,WA,POINT (-122.3237075 48.417158)
250,UT,POINT (-111.997805 41.0901272)
251,NV,POINT (-115.1205456 36.107807)
252,NV,POINT (-114.6683457 41.987046)
253,NV,POINT (-119.8826408 39.6235873)
254,CA,POINT (-117.9044925 33.9935813)
255,ID,POINT (-116.6945504 43.6536797)
256,ID,POINT (-116.5494258 43.5869936)
257,WA,POINT (-121.6083129 48.2531556)
258,MT,POINT (-114.0202185 46.877828)
259,AZ,POINT (-112.1853975 33.6084643)
260,NV,POINT (-115.2666986 36.2815866)
261,NV,POINT (-115.1983985 36.1296303)
262,NV,POINT (-119.5838207 39.2609008)
263,NV,POINT (-119.7654515 39.1567463)
264,ID,POINT (-116.697718 43.653594)
265,ID,POINT (-117.009799 46.7340723)
266,NV,POINT (-115.2960815 36.1008378)
267,CA,POINT (-117.8800943 34.0864782)
268,CA,POINT (-118.1134696 33.9650453)
269,CA,POINT (-117.8929945 33.8405693)
270,CA,POINT (-121.8919034 36.601085)
271,NV,POINT (-119.8290812 39.5263768)
272,AK,POINT (-149.121863 61.5991462)
273,NV,POINT (-119.7950247 39.4746878)
274,CA,POINT (-115.4912247 32.6787137)
275,CA,POINT (-121.6145535 39.1315439)
276,CA,POINT (-118.1594139 33.8038229)
277,ID,POINT (-116.7930567 47.6936981)
278,CA,POINT (-117.2340157 33.2094008)
279,WA,POINT (-119.2657846 47.1217818)
280,AZ,POINT (-112.0813174 33.436054)
281,MT,POINT (-114.0322311 46.883876)
282,NV,POINT (-115.1850433 36.0839998)
283,CA,POINT (-118.4402612 33.9822379)
284,CA,POINT (-117.0234159 32.7756015)
285,CA,POINT (-116.919796 32.8094615)
286,CA,POINT (-116.3032103 33.7503201)
287,CA,POINT (-117.0757233 33.1232985)
288,NV,POINT (-119.7032118 39.5423228)
289,CA,POINT (-116.5115405 33.8255951)
290,CA,POINT (-119.7767125 36.842448)
291,AZ,POINT (-114.0336695 35.2055871)
292,CA,POINT (-117.5668109 33.8769733)
293,CA,POINT (-117.0765411 32.6337857)
294,CA,POINT (-116.2591714 33.7067658)
295,CA,POINT (-117.8480746 33.7264052)
296,CA,POINT (-119.7878106 36.7422467)
297,CA,POINT (-117.5663015 34.1035725)
298,CA,POINT (-118.3960903 34.2163525)
299,CA,POINT (-117.5917435 33.4583541)
300,CA,POINT (-117.6288041 33.5578995)
301,CA,POINT (-117.2918719 34.5346628)
302,CA,POINT (-117.8254856 34.1282998)
303,CA,POINT (-121.4174807 38.4294328)
304,CA,POINT (-122.3851861 40.5830845)
305,CA,POINT (-122.398187 37.7660742)
306,CA,POINT (-119.65994 37.3279261)
307,WA,POINT (-122.3234454 47.6035455)
308,CA,POINT (-117.8123986 33.7472102)
309,HI,POINT (-157.8359578 21.2852806)
310,HI,POINT (-157.7427623 21.3946102)
311,HI,POINT (-157.916358 21.3354614)
312,HI,POINT (-157.7871587 21.2789982)
313,ID,POINT (-116.5481364 48.2705847)
314,AZ,POINT (-112.1279772 36.0472678)
315,CA,POINT (-118.1461362 34.5917682)
316,CA,POINT (-118.5351559 34.1942806)
317,CA,POINT (-118.2192738 34.6527249)
318,CA,POINT (-123.3797822 41.7922111)
319,CA,POINT (-122.238744 38.131497)
320,CA,POINT (-120.4752893 37.3186703)
321,CA,POINT (-117.97072 33.6719016)
322,CA,POINT (-121.2652723 38.7983091)
323,CA,POINT (-118.5609173 34.240579)
324,CA,POINT (-118.2425592 34.154437)
325,CA,POINT (-117.9892897 33.6934063)
326,CA,POINT (-121.3976017 36.850743)
327,CA,POINT (-118.0266814 34.1082091)
328,CA,POINT (-118.6902688 34.0342464)
329,CA,POINT (-118.2588444 34.0769614)
330,CA,POINT (-122.6378871 41.7260607)
331,CA,POINT (-121.949246 38.3613564)
332,AZ,POINT (-112.1924172 35.2470562)
333,CA,POINT (-121.615001 39.7668126)
334,AZ,POINT (-112.3262277 34.5872848)
335,CA,POINT (-121.734742 37.9243068)
336,CA,POINT (-120.4584977 36.8602129)
337,AK,POINT (-149.9527801 61.1379709)
338,CA,POINT (-118.5603921 34.4124266)
339,CA,POINT (-119.053481 35.3664695)
340,CA,POINT (-118.3263714 34.0973561)
341,CA,POINT (-118.1493693 34.6316767)
342,CA,POINT (-118.346139 33.836069)
343,CA,POINT (-118.5791674 34.4347493)
344,CA,POINT (-120.6067777 37.35203)
345,AK,POINT (-149.8579238 61.1091746)
346,NV,POINT (-115.2440149 36.1561397)
347,NV,POINT (-115.280117 36.2108404)
348,NV,POINT (-115.0627421 36.1787515)
349,AZ,POINT (-112.4244094 33.6405146)
350,AK,POINT (-149.8402689 61.1957811)
351,AK,POINT (-149.7618238 61.210489)
352,CA,POINT (-121.6082998 39.7562506)
353,CA,POINT (-121.2918251 38.6562596)
354,CA,POINT (-118.2363026 33.8684283)
355,CA,POINT (-121.3835196 38.6788919)
356,CA,POINT (-118.5365598 34.2222363)
357,CA,POINT (-120.6260068 40.4376124)
358,AZ,POINT (-112.391457 33.6382176)
359,CA,POINT (-122.1469692 39.1551259)
360,CA,POINT (-122.035124 37.9822086)
361,CA,POINT (-122.0338384 37.9849647)
362,CA,POINT (-118.3957405 33.8862478)
363,CA,POINT (-118.3099823 33.8388605)
364,AZ,POINT (-112.225326 33.6805386)
365,CA,POINT (-121.9778015 37.773936)
366,CA,POINT (-121.5938524 39.1386083)
367,CA,POINT (-122.041511 37.9101954)
368,CA,POINT (-121.309141 38.6639436)
369,CA,POINT (-119.6580729 36.3277579)
370,AZ,POINT (-112.2403401 33.6113638)
371,CA,POINT (-118.6986029 34.1470638)
372,CA,POINT (-121.7936252 39.7500446)
373,CA,POINT (-118.3798878 33.8533868)
374,AZ,POINT (-112.0624836 33.4654058)
375,CA,POINT (-119.6876052 36.8089999)
376,CA,POINT (-118.3935479 34.0023314)
377,CA,POINT (-117.6708722 35.641609)
378,CA,POINT (-122.3212654 41.3181103)
379,CA,POINT (-122.6337517 41.7372156)
380,CA,POINT (-117.2919532 34.4676645)
381,CA,POINT (-117.0347443 32.7431135)
382,CA,POINT (-118.1580383 34.6787963)
383,CA,POINT (-121.4054195 38.4209808)
384,CA,POINT (-121.4575758 38.6456912)
385,CA,POINT (-122.2675589 37.5679722)
386,OR,POINT (-124.102806 44.3106974)
387,CA,POINT (-117.285308 33.185822)
388,WA,POINT (-122.2803947 47.8665839)
389,NV,POINT (-115.1008973 36.0352495)
390,CA,POINT (-118.2789897 34.0515922)
391,CA,POINT (-117.2916539 34.4794093)
392,CA,POINT (-118.3958112 33.9550882)
393,NV,POINT (-115.1849785 36.1586073)
394,WA,POINT (-122.5589317 45.7801027)
395,AZ,POINT (-112.3684932 33.6243907)
396,CA,POINT (-122.7720426 38.4503919)
397,CA,POINT (-122.3552575 40.5808821)
398,HI,POINT (-155.0819476 19.7135956)
399,OR,POINT (-122.7766417 45.4423923)
400,AK,POINT (-134.5728211 58.3619599)
401,AZ,POINT (-112.1748155 33.4374302)
402,NV,POINT (-115.1923663 36.216994)
403,OR,POINT (-123.0247597 45.006754)
404,ID,POINT (-116.3167967 43.6334551)
405,AZ,POINT (-114.3414279 34.477596)
406,AZ,POINT (-114.4360875 32.6694015)
407,OR,POINT (-121.744857 42.214087)
408,CA,POINT (-121.147936 38.6698133)
409,CA,POINT (-118.0889828 33.9481516)
410,WA,POINT (-119.5023794 48.4229633)
411,WA,POINT (-122.5508464 45.6687795)
412,CA,POINT (-118.259028 34.0257372)
413,CA,POINT (-117.7009883 33.4652198)
414,CA,POINT (-117.8354125 33.7745395)
415,CA,POINT (-117.8667711 33.6577789)
416,CA,POINT (-118.8573083 34.2957222)
417,CA,POINT (-121.2350575 40.3066753)
418,OR,POINT (-121.1673972 45.5928054)
419,CA,POINT (-117.6640966 33.6743409)
420,AZ,POINT (-112.3594158 33.4787042)
421,UT,POINT (-113.0685268 37.6989973)
422,WA,POINT (-122.157071 47.4897377)
423,AZ,POINT (-112.271803 33.4642239)
424,CA,POINT (-119.7262714 34.44012)
425,HI,POINT (-157.8573981 21.3107533)
426,CA,POINT (-118.1395017 34.0169444)
427,CA,POINT (-118.4490847 34.1891266)
428,CA,POINT (-118.2591265 34.0569478)
429,CA,POINT (-117.0765384 32.9892872)
430,CA,POINT (-121.4774214 38.6541936)
431,CA,POINT (-117.0802747 32.6099049)
432,CA,POINT (-117.9421356 33.8521114)
433,CA,POINT (-117.8672674 33.7493344)
434,CA,POINT (-117.2878688 33.1852415)
435,CA,POINT (-116.3850848 33.7208534)
436,CA,POINT (-121.4661204 38.5686421)
437,CA,POINT (-120.6774874 35.2628595)
438,NV,POINT (-115.1828215 36.1439236)
439,CA,POINT (-117.8017165 34.0649279)
440,CA,POINT (-121.9265605 37.491568)
441,CA,POINT (-117.0791303 33.0907282)
442,WA,POINT (-122.0382065 47.5426401)
443,OR,POINT (-122.5619898 45.4337659)
444,CA,POINT (-117.8697809 34.1211968)
445,CA,POINT (-117.1619793 32.7489474)
446,CA,POINT (-117.1032494 32.6612738)
447,OR,POINT (-124.0130924 44.9594744)
448,OR,POINT (-121.1919247 44.2407266)
449,WA,POINT (-120.3226005 47.4338281)
450,WA,POINT (-117.4068059 47.7148715)
451,OR,POINT (-122.4033551 45.4927387)
452,WA,POINT (-122.6846107 47.6580877)
453,CA,POINT (-118.3966961 33.948324)
454,CA,POINT (-117.1525015 32.8845618)
455,OR,POINT (-124.0633228 44.8177477)
456,OR,POINT (-118.0982551 45.3302704)
457,OR,POINT (-122.8606382 45.1492486)
458,OR,POINT (-122.5909714 45.1493167)
459,OR,POINT (-122.7527694 45.3955161)
460,MT,POINT (-114.0287221 46.8451336)
461,UT,POINT (-113.6207065 37.1221112)
462,WA,POINT (-122.5134119 47.2708684)
463,OR,POINT (-123.0794375 45.5199304)
464,OR,POINT (-119.3098172 45.8499073)
465,OR,POINT (-122.6741918 45.2676696)
466,OR,POINT (-124.28835 42.0568572)
467,OR,POINT (-120.2127439 44.9988278)
468,OR,POINT (-123.8839873 45.6860978)
469,WA,POINT (-122.5174517 47.625068)
470,WA,POINT (-122.5375993 47.2179368)
471,CA,POINT (-120.9975038 38.6551309)
472,CA,POINT (-122.2921112 37.8535798)
473,NV,POINT (-115.113085 36.003293)
474,CA,POINT (-117.6089291 33.4218361)
475,CA,POINT (-119.4514666 35.1402416)
476,CA,POINT (-118.3758903 33.9601902)
477,AZ,POINT (-112.1370365 33.8667157)
478,AZ,POINT (-112.2635983 33.5519091)
479,CA,POINT (-118.572868 34.2086517)
480,WA,POINT (-119.1797154 46.1845619)
481,NV,POINT (-115.173666 36.1600692)
482,NV,POINT (-115.2492607 36.2089513)
483,CA,POINT (-117.6781741 33.6145267)
484,CA,POINT (-117.1982701 33.145013)
485,CA,POINT (-118.995576 35.3703455)
486,CA,POINT (-118.2785734 34.0569509)
487,CA,POINT (-118.1402613 33.9913063)
488,WA,POINT (-122.5787814 47.3009336)
489,NV,POINT (-115.0557882 36.0640601)
490,CA,POINT (-117.8351291 33.7478442)
491,CA,POINT (-118.8585837 34.1791856)
492,CA,POINT (-120.6684455 35.4893307)
493,NV,POINT (-119.8582689 39.520785)
494,NV,POINT (-115.0626952 36.1607032)
495,WA,POINT (-122.4528769 47.2605157)
496,WA,POINT (-122.2274062 47.3039412)
497,CA,POINT (-116.9842777 32.8309118)
498,OR,POINT (-122.805027 45.4428834)
499,WA,POINT (-117.2831413 47.6820612)
500,WA,POINT (-122.5054023 45.5976257)
501,CA,POINT (-118.6188547 34.1670558)
502,WA,POINT (-122.1044438 47.3588598)
503,WA,POINT (-122.1914664 47.9778962)
504,OR,POINT (-123.0259466 44.0829514)
505,WA,POINT (-122.2189585 47.9286152)
506,CA,POINT (-117.3974008 33.938776)
507,ID,POINT (-114.4748177 42.5776402)
508,NV,POINT (-115.1546248 36.1188555)
509,CA,POINT (-122.2535065 38.1689113)
510,CA,POINT (-122.4253555 40.5831135)
511,CA,POINT (-121.9568932 37.3559424)
512,CA,POINT (-117.9508886 33.6719852)
513,CA,POINT (-118.0818493 33.8649664)
514,CA,POINT (-121.8289615 36.582529)
515,UT,POINT (-112.0243998 41.1656056)
516,OR,POINT (-121.3333027 44.0388667)
517,OR,POINT (-124.0146205 44.97191)
518,CA,POINT (-119.772264 36.7091188)
519,HI,POINT (-156.4549353 20.7479475)
520,CA,POINT (-122.4098752 37.7882985)
521,CA,POINT (-118.2255442 33.9824215)
522,CA,POINT (-119.689637 34.4297632)
523,AZ,POINT (-112.2722078 33.5864261)
524,CA,POINT (-117.6603282 33.5831851)
525,AZ,POINT (-114.6468715 32.6844196)
526,CA,POINT (-119.178263 34.2000394)
527,AZ,POINT (-114.6223024 32.670489)
528,CA,POINT (-117.7959865 33.8605062)
529,CA,POINT (-118.8661935 34.1991335)
530,HI,POINT (-157.8370013 21.2836467)
531,ID,POINT (-111.9935688 43.4829482)
532,CA,POINT (-117.9159338 33.7776367)
533,WA,POINT (-122.2925726 47.1332638)
534,WA,POINT (-122.6693813 45.6461127)
535,WA,POINT (-122.6130389 48.509934)
536,CA,POINT (-119.2137869 34.2610349)
537,CA,POINT (-121.2466187 36.3296801)
538,CA,POINT (-121.6426168 36.6624646)
539,CA,POINT (-117.771789 33.6628722)
540,ID,POINT (-112.0506926 43.4900443)
541,WA,POINT (-122.126173 47.6771259)
542,CA,POINT (-121.0145962 37.6282068)
543,NV,POINT (-115.2306037 36.2361768)
544,CA,POINT (-119.0303094 36.069986)
545,CA,POINT (-119.3178901 36.2981508)
546,AZ,POINT (-112.2448742 33.6518531)
547,AZ,POINT (-112.0604795 33.4660534)
548,AZ,POINT (-112.0320594 33.6390256)
549,NV,POINT (-119.5747913 39.2689453)
550,CA,POINT (-122.1909142 38.0796364)
551,WA,POINT (-117.4793397 47.9476916)
552,WA,POINT (-122.2951704 47.1753081)
553,WA,POINT (-122.2814371 47.0969486)
554,CA,POINT (-121.7715217 38.5625312)
555,ID,POINT (-116.5497494 48.2786266)
556,CA,POINT (-118.8391882 34.1653301)
557,AZ,POINT (-112.1010933 33.6117186)
558,CA,POINT (-120.4603474 34.6612779)
559,CA,POINT (-120.8356192 37.0650453)
560,WA,POINT (-119.2191613 46.2163379)
561,CA,POINT (-117.9368258 34.0698004)
562,CA,POINT (-118.9220016 34.3951825)
563,NV,POINT (-118.762046 39.4643401)
564,CA,POINT (-117.921145 33.6367654)
565,WA,POINT (-122.65697 45.7179304)
