State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
15,3,122,15003000122,3000,7.17,0.0,0.0,52.7,9.83,9.87,0.71,0.0,65.77,33.37,asian_alone
15,3,200,15003000200,5359,16.7,0.07,0.0,48.33,3.53,0.93,3.62,1.53,76.11,21.53,other
15,3,301,15003000301,3540,23.28,1.05,0.0,48.16,3.33,3.56,3.15,2.23,74.38,22.91,other
15,3,302,15003000302,2791,12.79,0.0,0.0,55.89,1.0,4.01,5.35,0.72,73.92,25.37,asian_alone
15,3,401,15003000401,2539,24.14,0.08,0.0,56.95,4.1,2.95,2.44,1.34,69.28,26.82,asian_alone
15,3,402,15003000402,3570,28.88,0.0,0.0,55.35,0.0,0.81,0.92,1.82,68.49,29.69,asian_alone
15,3,500,15003000500,3432,35.29,0.0,0.0,43.5,4.2,1.81,5.65,1.19,68.68,29.11,other
15,3,600,15003000600,1465,28.6,0.48,0.2,39.93,5.26,7.51,6.89,4.64,74.74,20.61,other
15,3,700,15003000700,3419,6.84,0.0,0.0,58.67,5.47,2.6,3.63,1.78,68.94,29.1,asian_alone
15,3,800,15003000800,3716,19.05,0.94,0.24,51.99,4.76,5.92,3.51,0.05,76.45,20.4,asian_alone
15,3,901,15003000901,2449,15.23,0.0,0.0,59.45,0.0,3.59,0.98,0.33,62.23,37.44,asian_alone
15,3,903,15003000903,2839,14.76,0.0,0.0,53.58,4.12,11.38,3.63,0.77,77.95,21.28,asian_alone
15,3,904,15003000904,2492,33.31,0.0,0.0,43.82,5.58,6.18,23.03,3.57,68.78,18.86,other
15,3,905,15003000905,2459,30.74,3.82,0.0,35.1,3.66,5.08,3.79,4.43,69.58,22.61,other
15,3,1000,15003001000,3091,11.87,0.19,0.0,47.04,13.3,7.28,7.98,4.08,71.5,22.91,other
15,3,1101,15003001101,1888,13.45,0.0,0.0,24.95,42.53,12.82,34.8,9.38,76.75,13.88,other
15,3,1102,15003001102,1843,11.94,0.11,0.0,39.56,32.83,4.5,7.88,5.21,77.43,17.36,other
15,3,1201,15003001201,3081,6.04,0.32,0.0,56.64,7.37,6.56,3.28,1.1,72.35,26.55,asian_alone
15,3,1202,15003001202,2977,9.64,0.0,0.0,53.11,2.12,6.75,3.99,1.04,79.85,19.11,asian_alone
15,3,1300,15003001300,4105,20.46,0.32,0.0,50.18,3.19,11.69,10.72,2.85,67.94,28.21,asian_alone
15,3,1400,15003001400,2703,12.5,0.22,0.15,67.15,1.78,4.33,2.7,2.77,68.7,28.38,asian_alone
15,3,1501,15003001501,1728,15.86,0.06,2.03,60.94,2.08,0.52,2.9,1.79,77.78,20.43,asian_alone
15,3,1502,15003001502,2291,11.79,0.0,1.27,48.97,4.63,12.66,5.91,0.7,74.2,25.1,other
15,3,1601,15003001601,1982,20.84,0.2,0.5,57.82,1.36,0.76,7.46,0.5,79.67,17.51,asian_alone
15,3,1602,15003001602,1613,18.47,0.0,0.06,45.57,14.45,4.65,9.83,1.18,80.78,17.67,other
15,3,1700,15003001700,1756,51.77,0.63,0.34,25.11,1.99,5.01,6.66,1.94,76.48,21.07,white_alone
15,3,1801,15003001801,967,35.99,2.07,0.0,41.88,6.1,3.52,26.3,10.75,67.63,20.27,other
15,3,1803,15003001803,2505,39.04,2.32,0.0,30.78,3.07,8.06,10.99,4.11,68.82,23.99,other
15,3,1804,15003001804,1473,42.77,0.0,0.0,40.19,6.92,1.97,18.47,11.61,62.73,25.66,other
15,3,1901,15003001901,251,58.96,0.0,0.0,29.48,0.0,5.18,16.46,1.99,52.59,45.42,white_alone
15,3,1905,15003001905,1553,43.53,0.0,0.0,39.21,6.18,1.74,13.91,3.8,79.65,11.91,other
15,3,1906,15003001906,2882,33.28,4.27,0.0,46.22,2.46,4.68,10.44,2.32,70.96,22.0,other
15,3,1907,15003001907,2136,33.71,18.54,0.0,39.37,0.84,2.48,5.29,2.43,62.64,25.84,other
15,3,2003,15003002003,1542,47.99,0.19,0.0,43.19,2.92,2.14,11.23,2.01,66.93,29.05,other
15,3,2004,15003002004,1054,43.45,2.18,0.0,40.23,2.37,3.32,15.28,8.92,73.72,15.94,other
15,3,2005,15003002005,1911,34.38,2.88,0.0,47.36,0.37,7.06,8.74,4.45,67.19,25.07,other
15,3,2006,15003002006,2024,28.56,5.19,0.0,52.52,3.36,2.82,18.48,6.03,75.3,16.55,asian_alone
15,3,2101,15003002101,2026,24.73,0.0,0.0,46.15,9.08,7.75,12.27,7.35,74.04,18.61,other
15,3,2102,15003002102,1541,6.81,3.24,0.0,51.78,5.58,6.23,9.04,0.97,71.19,26.09,asian_alone
15,3,2203,15003002203,2009,16.82,0.0,0.35,51.47,5.97,5.97,6.93,3.09,75.26,21.65,asian_alone
15,3,2204,15003002204,1344,22.77,3.35,0.0,41.67,2.9,3.13,12.65,2.9,82.37,14.73,other
15,3,2205,15003002205,2118,13.03,1.94,0.0,68.74,2.08,1.42,3.35,4.72,71.67,23.14,asian_alone
15,3,2206,15003002206,2238,8.76,1.39,0.09,31.01,22.88,10.37,11.74,5.59,70.02,24.4,other
15,3,2301,15003002301,3812,6.77,0.13,0.0,54.56,6.61,14.22,13.33,1.92,85.36,12.72,asian_alone
15,3,2302,15003002302,1771,6.83,0.73,0.0,65.33,6.72,5.14,8.81,3.67,80.58,15.08,asian_alone
15,3,2401,15003002401,3360,11.85,0.95,0.92,47.56,9.23,8.93,22.44,1.79,81.79,16.19,other
15,3,2403,15003002403,1660,13.31,0.42,0.0,52.11,5.06,8.98,7.11,8.49,73.55,17.95,asian_alone
15,3,2404,15003002404,1346,10.1,4.61,0.0,56.17,6.76,7.88,11.22,5.87,66.86,26.23,asian_alone
15,3,2500,15003002500,3465,11.57,1.21,0.0,59.86,7.47,9.44,19.18,4.99,71.63,22.77,asian_alone
15,3,2600,15003002600,4103,13.14,0.51,0.0,50.57,8.87,5.63,20.03,4.53,73.0,20.47,asian_alone
15,3,2701,15003002701,5672,22.21,2.45,0.37,39.47,5.71,8.11,10.33,16.36,76.53,7.03,other
15,3,2702,15003002702,4839,14.59,1.24,0.0,44.53,10.68,12.54,9.17,2.5,74.97,22.4,other
15,3,2801,15003002801,1670,21.86,0.0,0.0,56.23,0.66,0.66,3.39,2.34,71.44,25.15,asian_alone
15,3,2802,15003002802,2122,28.75,0.24,0.0,43.17,2.92,8.34,6.22,3.11,76.72,20.17,other
15,3,2900,15003002900,2355,27.01,0.0,0.0,50.96,1.27,2.34,3.53,1.06,82.04,16.39,asian_alone
15,3,3000,15003003000,4818,25.61,0.0,0.0,53.22,0.33,4.13,5.46,0.98,71.56,24.8,asian_alone
15,3,3102,15003003102,3368,13.15,0.0,0.0,70.1,1.72,3.09,2.61,3.06,65.5,31.44,asian_alone
15,3,3103,15003003103,1718,7.51,0.0,0.0,73.86,2.5,2.91,2.63,0.76,58.32,40.57,asian_alone
15,3,3104,15003003104,2624,19.02,0.0,0.0,45.73,1.64,3.73,2.62,0.57,78.81,20.62,other
15,3,3404,15003003404,4999,16.02,0.0,0.3,50.85,7.28,11.24,13.13,4.02,73.49,15.64,asian_alone
15,3,3408,15003003408,1763,23.94,1.93,0.0,51.45,9.59,1.64,0.0,5.79,73.79,20.42,asian_alone
15,3,3409,15003003409,1992,7.53,5.02,0.0,51.0,17.62,2.41,7.88,0.8,80.52,18.67,asian_alone
15,3,3410,15003003410,1796,5.68,1.11,0.0,52.67,32.18,3.84,23.16,13.03,70.38,16.59,asian_alone
15,3,3411,15003003411,1403,14.97,2.71,0.0,34.35,11.48,5.63,24.23,0.0,85.25,13.76,other
15,3,3412,15003003412,1842,28.07,0.0,0.0,47.34,15.26,1.03,12.38,3.91,69.11,26.98,other
15,3,3413,15003003413,2350,18.17,3.36,0.0,59.53,5.53,4.43,11.7,2.0,71.49,26.51,asian_alone
15,3,3414,15003003414,4388,17.16,2.78,0.0,54.9,5.24,7.93,5.66,4.15,71.31,22.11,asian_alone
15,3,3501,15003003501,2314,18.24,0.0,1.17,51.9,10.54,6.48,11.32,1.43,64.82,31.5,asian_alone
