STATE,geometry
MA,POINT (-71.184648 42.619118)
MO,POINT (-94.47027 39.159409)
AR,POINT (-90.228993 35.123268)
IA,POINT (-92.320711 42.491203)
NY,POINT (-78.10563 43.225723)
VA,POINT (-78.07744 38.986237)
UT,POINT (-111.942646 40.733301)
GA,POINT (-83.803634 34.2473)
IL,POINT (-88.182441 41.492505)
MN,POINT (-95.617244 43.636475)
TX,POINT (-98.51548 29.409671)
CA,POINT (-121.554286 36.87385)
WI,POINT (-87.979845 44.508431)
FL,POINT (-81.687916 30.334503)
FL,POINT (-81.687576 30.334618)
FL,POINT (-81.893476 28.819684)
GA,POINT (-85.051308 34.028664)
VA,POINT (-77.380149 37.349801)
VA,POINT (-77.392865 37.352807)
IN,POINT (-86.232475 39.740777)
GA,POINT (-84.607412 33.708178)
GA,POINT (-84.601195 33.707785)
WA,POINT (-119.191504 46.826277)
IL,POINT (-90.600732 42.469903)
SC,POINT (-80.384563 33.868684)
MN,POINT (-92.690615 44.304026)
WI,POINT (-89.78682 44.40411)
PA,POINT (-75.571205 40.61432)
GA,POINT (-84.196107 32.115318)
WI,POINT (-92.438475 44.96249)
PA,POINT (-75.502042 41.261613)
MN,POINT (-95.564487 43.631902)
GA,POINT (-84.141492 33.402344)
TX,POINT (-97.352475 32.830941)
TX,POINT (-97.35361 32.833844)
TX,POINT (-97.352409 32.8309)
NC,POINT (-77.562814 35.872038)
FL,POINT (-81.822246 27.871588)
WI,POINT (-88.438171 44.284027)
GA,POINT (-82.855179 31.5332)
KS,POINT (-100.893572 37.989528)
MS,POINT (-89.469193 32.361887)
WA,POINT (-119.29558 46.311173)
AR,POINT (-93.072832 35.262983)
NE,POINT (-98.352741 40.949398)
NE,POINT (-98.353421 40.949334)
NE,POINT (-98.376297 40.622918)
NM,POINT (-106.659066 35.102557)
CA,POINT (-118.236451 33.992954)
CA,POINT (-120.96121 37.637793)
NJ,POINT (-75.063845 39.519521)
OH,POINT (-83.855694 39.840042)
IL,POINT (-88.267811 41.895284)
AL,POINT (-86.218223 34.294613)
AL,POINT (-86.115437 33.998997)
CA,POINT (-118.234971 33.992903)
PA,POINT (-80.12592 42.097724)
CO,POINT (-104.987514 39.769554)
PA,POINT (-79.547914 40.28133)
FL,POINT (-82.137994 28.011755)
TN,POINT (-86.359926 35.779518)
SC,POINT (-81.687813 35.051692)
OH,POINT (-81.545035 40.778629)
SC,POINT (-82.350506 34.837987)
AL,POINT (-85.928686 33.964997)
GA,POINT (-84.791462 34.235623)
IN,POINT (-86.393977 40.73781)
MI,POINT (-83.247962 42.262487)
MN,POINT (-93.217754 44.63738)
MN,POINT (-93.008245 44.883234)
NJ,POINT (-75.023579 39.521236)
IN,POINT (-87.31433 41.499348)
AL,POINT (-88.082115 30.643247)
TX,POINT (-101.701787 34.248922)
IA,POINT (-91.522892 40.971498)
NE,POINT (-96.977339 40.581755)
MN,POINT (-93.072854 44.940914)
MI,POINT (-86.061258 42.21739)
WA,POINT (-119.02779 46.168278)
IA,POINT (-95.149771 43.159379)
PA,POINT (-77.657062 39.944793)
GA,POINT (-82.51388 31.536495)
PA,POINT (-75.672797 41.398386)
WI,POINT (-88.811782 42.990832)
SD,POINT (-96.698115 43.562116)
WA,POINT (-122.39419 47.244879)
WA,POINT (-122.40077 47.244833)
WA,POINT (-123.000057 46.760082)
ID,POINT (-116.565533 43.587658)
NJ,POINT (-74.275429 40.507126)
NC,POINT (-78.050945 34.757437)
SC,POINT (-80.989858 33.961951)
CA,POINT (-117.379281 34.013884)
CA,POINT (-117.380521 34.013893)
GA,POINT (-83.661162 32.696913)
OH,POINT (-82.934042 39.898104)
OH,POINT (-82.965557 39.920833)
KS,POINT (-94.806877 39.05758)
NY,POINT (-78.839204 42.93821)
AR,POINT (-94.426672 35.393234)
MN,POINT (-94.151619 45.499108)
MN,POINT (-93.623036 45.215618)
KY,POINT (-84.624669 38.922348)
NC,POINT (-78.567051 35.359831)
OH,POINT (-83.10549 40.002353)
AR,POINT (-90.575002 35.815488)
GA,POINT (-83.635065 32.440879)
CT,POINT (-72.625607 41.780574)
ME,POINT (-68.835169 44.792113)
UT,POINT (-111.954803 40.737712)
UT,POINT (-111.942201 40.733712)
MS,POINT (-89.316344 31.297035)
IL,POINT (-87.675739 41.845658)
IL,POINT (-88.062054 41.673187)
IL,POINT (-88.142788 41.514909)
NY,POINT (-78.780059 42.900963)
FL,POINT (-81.997372 28.080537)
OK,POINT (-97.559761 35.452783)
OR,POINT (-123.01013 44.905313)
CA,POINT (-122.235592 37.779682)
CA,POINT (-117.378897 34.055221)
TX,POINT (-97.462548 27.790396)
NY,POINT (-77.926707 43.214603)
PA,POINT (-80.11753 40.708064)
NY,POINT (-76.262368 43.11648)
TN,POINT (-86.382131 35.798109)
TN,POINT (-86.382131 35.798109)
WI,POINT (-91.545751 44.851816)
OH,POINT (-81.660125 41.485962)
MO,POINT (-94.857992 39.741161)
