,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
168,38,079,951900,38079951900,1980,45.96,0.2,40.86,0.0,0.0,7.78,29.06,24.49,56.26,17.53,7
169,38,081,974000,38081974000,1586,85.69,6.75,0.63,0.0,0.0,4.92,2.93,2.46,81.59,15.95,1
170,38,081,974200,38081974200,2313,95.2,0.0,0.09,0.17,0.0,1.99,5.23,3.55,67.49,27.37,1
171,38,083,960200,38083960200,1289,97.98,0.0,2.02,0.0,0.0,0.0,6.24,8.07,66.33,25.6,1
172,38,085,940800,38085940800,1746,22.05,0.23,70.05,0.0,0.0,6.47,33.16,27.49,59.56,12.83,3
173,38,085,940900,38085940900,2593,5.75,0.04,88.55,0.0,0.0,3.86,32.73,36.21,57.31,5.24,3
174,38,087,965000,38087965000,788,95.56,2.41,0.89,0.0,0.0,0.13,4.95,0.51,81.22,18.27,1
175,38,089,963300,38089963300,1795,92.14,0.17,0.39,1.73,0.0,3.45,8.3,8.58,68.91,22.51,1
176,38,089,963400,38089963400,5336,84.56,1.89,5.1,1.5,0.0,5.4,9.0,8.11,81.26,7.85,1
177,38,089,963501,38089963501,2967,93.53,0.0,0.0,0.57,0.0,1.28,5.36,6.4,78.09,15.5,1
178,38,089,963502,38089963502,5010,82.38,9.94,0.04,4.19,0.0,3.39,14.07,6.97,72.5,20.54,1
179,38,089,963600,38089963600,1809,83.14,4.42,0.66,1.16,0.0,10.01,10.89,2.99,85.02,12.0,1
180,38,089,963700,38089963700,3647,84.97,2.22,1.43,0.88,2.22,6.94,11.29,10.15,72.44,13.6,1
181,38,089,963800,38089963800,4381,83.54,0.07,3.38,0.0,0.0,10.25,16.02,23.05,59.64,17.3,1
182,38,089,963900,38089963900,4102,92.27,0.0,0.0,0.29,0.0,5.73,6.76,5.88,80.64,13.48,1
183,38,089,964000,38089964000,2117,94.38,1.98,0.0,0.0,0.0,1.89,10.01,2.6,78.7,18.71,1
184,38,091,968700,38091968700,1817,95.87,0.5,0.0,0.0,0.0,2.64,9.58,4.07,73.36,22.56,1
185,38,093,967000,38093967000,2878,94.96,0.56,1.81,0.31,0.0,0.03,9.24,3.02,77.66,18.87,1
186,38,093,967200,38093967200,2374,97.18,0.38,0.17,0.25,0.0,0.51,7.1,7.79,69.29,22.91,1
187,38,093,967300,38093967300,2740,88.39,1.79,2.59,0.58,0.0,3.25,15.17,3.25,55.66,18.1,1
188,38,093,967401,38093967401,1550,79.1,9.94,0.45,3.55,0.19,3.42,16.3,11.81,74.32,13.87,1
189,38,093,967402,38093967402,3750,94.91,1.79,0.0,0.0,0.0,3.12,15.28,10.43,69.28,17.52,1
190,38,093,967500,38093967500,3295,96.05,0.18,0.18,0.7,0.0,1.58,12.36,3.22,72.26,21.34,1
191,38,093,967800,38093967800,4292,87.53,0.77,3.66,0.0,0.0,5.64,12.11,14.21,65.1,19.34,1
192,38,095,951500,38095951500,2191,87.54,0.46,7.39,0.18,0.0,3.61,9.07,8.08,68.37,22.14,1
193,38,097,970100,38097970100,2348,92.46,0.0,2.39,0.51,0.0,1.49,3.17,1.75,78.19,17.59,1
194,38,097,970200,38097970200,2607,88.95,3.34,1.07,0.0,0.12,3.72,8.39,6.87,73.19,16.34,1
195,38,097,970300,38097970300,1384,100.0,0.0,0.0,0.0,0.0,0.0,0.36,6.36,73.34,18.93,1
196,38,097,970400,38097970400,1660,86.27,0.0,0.0,0.78,0.0,9.52,4.91,7.35,70.0,19.82,1
197,38,099,957800,38099957800,1668,83.69,0.0,2.04,0.0,0.0,12.77,13.34,7.97,65.23,26.8,1
198,38,099,957900,38099957900,1430,72.38,0.56,8.25,2.73,0.0,14.69,4.14,6.36,70.14,14.76,1
199,38,099,958000,38099958000,2632,73.56,0.99,0.95,1.03,0.0,21.62,10.26,5.36,66.83,27.81,1
200,38,099,958100,38099958100,2110,89.72,0.0,1.23,0.0,0.0,7.77,8.33,5.97,74.55,19.48,1
201,38,099,958200,38099958200,1609,95.4,0.06,0.0,0.0,0.0,4.16,10.41,1.8,65.82,28.53,1
202,38,099,958300,38099958300,1193,96.48,0.34,0.0,1.42,0.0,1.09,8.47,2.26,72.34,25.4,1
203,38,101,010100,38101010100,2427,78.16,3.05,2.02,2.27,0.0,14.3,14.98,4.99,66.67,17.43,1
204,38,101,010200,38101010200,5261,82.42,0.42,4.09,0.0,0.0,10.36,11.78,7.32,67.97,15.99,1
205,38,101,010301,38101010301,5276,75.19,9.51,0.63,2.62,0.42,7.07,7.54,11.47,62.74,17.87,1
206,38,101,010302,38101010302,5313,88.84,3.2,0.0,0.17,0.0,4.89,5.95,4.61,75.29,15.77,1
207,38,101,010400,38101010400,6406,79.08,4.31,2.72,0.5,0.0,5.26,7.0,6.42,76.55,14.35,1
208,38,101,010500,38101010500,5314,93.96,2.31,0.87,0.0,0.0,1.28,5.56,2.99,75.95,19.33,1
209,38,101,010601,38101010601,4853,80.71,4.37,4.31,6.49,0.0,2.29,10.74,0.76,61.43,33.92,1
210,38,101,010602,38101010602,5710,73.22,11.59,0.68,3.82,1.16,7.08,7.27,8.88,76.53,12.84,1
211,38,101,010701,38101010701,4406,81.34,3.09,0.86,2.29,1.36,4.4,18.33,2.56,73.49,21.36,1
212,38,101,010702,38101010702,3100,76.19,4.97,7.06,0.58,0.0,7.32,27.99,14.74,75.26,8.1,1
213,38,101,010800,38101010800,4211,83.71,2.83,1.85,0.66,0.0,9.59,10.11,3.68,73.59,16.03,1
214,38,101,010901,38101010901,2379,80.12,6.39,0.46,0.46,0.0,11.1,4.29,1.22,55.86,13.54,1
215,38,101,010902,38101010902,3595,61.08,14.52,2.14,1.14,0.61,19.0,2.13,0.75,47.68,4.31,1
216,38,101,011000,38101011000,1942,93.46,0.0,0.05,0.0,0.0,2.57,8.25,3.5,71.68,22.25,1
217,38,101,011200,38101011200,3469,95.21,0.0,0.75,0.0,0.0,0.98,2.71,4.12,76.91,18.62,1
218,38,101,011300,38101011300,5300,92.06,0.0,0.92,0.3,0.0,2.77,5.33,6.02,74.81,18.06,1
219,38,103,959800,38103959800,1642,95.37,0.0,0.12,0.37,0.0,4.02,11.38,1.22,67.11,26.92,1
220,38,103,960000,38103960000,2247,98.71,0.0,0.0,0.0,0.0,1.16,6.63,4.01,62.31,32.58,1
221,38,105,953400,38105953400,1727,96.93,0.52,0.29,0.0,0.0,0.93,5.88,11.64,67.69,19.17,1
222,38,105,953500,38105953500,2282,81.29,0.74,8.9,0.13,0.0,3.55,4.56,13.15,72.39,14.37,1
223,38,105,953600,38105953600,2824,91.32,0.5,2.83,0.85,0.0,0.11,2.49,6.37,75.92,17.71,1
224,38,105,953701,38105953701,10368,61.56,8.18,3.52,3.39,0.0,18.62,4.09,26.46,70.39,3.02,1
225,38,105,953702,38105953702,6233,78.47,7.77,0.64,0.0,0.0,10.69,7.59,3.88,87.44,8.52,1
226,38,105,953800,38105953800,2765,87.41,2.78,1.05,0.0,0.0,6.26,15.41,5.61,76.42,11.93,1
227,38,105,953900,38105953900,4068,85.87,2.56,1.7,0.39,0.0,2.53,6.09,14.97,67.18,17.67,1
228,38,105,954100,38105954100,5777,83.94,1.35,2.73,0.73,0.81,1.58,4.6,4.73,80.7,12.67,1
