,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,30,001,000100,30001000100,1247,90.38,0.0,0.48,0.0,0.0,6.82,10.67,6.5,59.74,33.76,1
2,30,001,000200,30001000200,3634,87.59,0.0,3.25,0.03,0.52,6.22,10.62,8.78,70.94,20.28,1
3,30,001,000300,30001000300,4573,91.95,0.15,1.64,0.31,0.07,3.41,22.7,3.28,73.47,19.79,1
4,30,003,000100,30003000100,4419,45.94,0.0,39.85,0.7,0.0,10.55,19.56,21.48,57.16,19.55,7
5,30,003,940400,30003940400,1883,10.14,0.0,80.56,0.0,0.0,7.22,27.52,31.07,58.15,9.45,3
6,30,003,940500,30003940500,1505,45.78,0.0,47.38,0.0,0.0,1.99,22.57,17.48,70.7,11.83,7
7,30,003,940600,30003940600,3325,8.24,0.0,86.11,0.0,0.0,4.27,40.65,32.3,61.08,6.08,3
8,30,003,940700,30003940700,2170,17.1,0.0,79.82,0.0,0.0,0.51,27.19,35.94,55.94,8.11,3
9,30,005,000100,30005000100,1359,62.03,0.0,29.43,0.44,0.0,4.78,13.17,9.71,68.73,21.56,1
10,30,005,000200,30005000200,2184,91.3,0.87,4.12,0.0,0.0,2.98,23.0,8.84,72.48,15.43,1
11,30,005,940100,30005940100,1629,3.01,0.0,93.62,0.0,0.0,2.39,41.47,18.85,70.47,8.78,3
12,30,005,940200,30005940200,1526,4.85,0.79,90.3,0.0,0.0,4.06,39.78,24.9,65.47,9.63,3
13,30,007,000100,30007000100,2253,94.05,0.22,1.42,0.0,0.0,3.46,14.73,11.94,65.91,19.93,1
14,30,007,000200,30007000200,3827,95.14,0.0,0.44,0.0,0.0,2.53,3.68,8.49,66.63,24.88,1
15,30,009,000100,30009000100,2806,94.51,0.89,1.43,0.0,0.0,1.5,10.95,5.88,69.39,23.38,1
16,30,009,000200,30009000200,1998,94.74,0.0,1.0,0.0,0.0,1.85,14.5,8.31,69.12,22.37,1
17,30,009,000300,30009000300,2189,87.8,1.05,0.5,2.06,0.0,5.85,12.58,5.34,67.2,25.17,1
18,30,009,000400,30009000400,2305,96.57,0.43,0.0,0.0,0.48,0.78,6.46,4.16,59.22,36.62,1
19,30,009,000500,30009000500,1391,93.31,0.0,1.29,0.0,0.0,3.31,9.35,4.03,64.7,31.27,1
20,30,011,000300,30011000300,1305,96.25,0.0,1.3,0.0,0.0,0.0,14.44,16.17,62.3,19.69,1
