State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools
41,1,950100,1,41,1,950100,1,410019501001,804,98.01,0.0,0.5,0.0,0.25,1.12,18.66,5.97,52.86,41.17,1,-118.1673085532098,44.54275660535632,88.5697628364259,37.956787882360814,37.79886760664815,37.32217149278291,88.59552135446795,36.82560476037675,37.6854319793661,37.19831326183182,36.20945558746328,37.33690231104245,37.33690231104245,37.33690231104245,39.51872526889331
41,1,950100,2,41,1,950100,2,410019501002,627,92.34,0.16,2.23,1.12,0.0,2.55,8.31,9.89,54.86,35.25,1,-118.0436638199242,44.95527759735128,42.2973353690338,23.63895642829868,23.598137889112724,23.60333496231872,42.314615889440034,24.25945429009565,24.35279465390278,25.91078240219758,23.35881657426913,24.35279465390278,24.35279465390278,25.91957620423325,25.50803554260073
41,1,950100,3,41,1,950100,3,410019501003,1339,84.91,1.94,0.0,1.19,1.19,7.39,10.75,10.08,65.05,24.87,1,-118.0589600773446,44.84310841452688,54.754702743485325,17.658745565677417,17.538860176894072,17.540858248766035,54.77391590285357,17.65388295890821,18.1727469233462,19.36906055553756,17.204382658415657,18.1727469233462,18.1727469233462,19.46431951199356,20.108472815483452
41,1,950200,1,41,1,950200,1,410019502001,1046,95.22,0.0,1.82,0.0,0.0,1.34,14.34,3.63,71.99,24.38,1,-117.88210790757078,44.77645960284401,63.68557392281898,3.6222593800581535,3.455864246659515,3.451532926269143,63.68920114200131,2.690704875658654,3.558823102408605,3.977877562825245,2.6093010242326646,3.558823102408605,3.558823102408605,4.127031081841111,5.738064832420926
41,1,950200,2,41,1,950200,2,410019502002,1178,89.56,2.8,0.85,0.0,0.0,6.28,15.29,10.1,63.75,26.15,1,-117.83496692158784,44.77536667741411,64.70794184773489,2.416481483592841,2.400062092001718,0.5080099638311582,64.70758018180307,1.3578883313223873,1.5437058246514928,0.3231014050057491,0.4505467419718107,0.471982237748753,0.471982237748753,0.471982237748753,2.656190361036016
41,1,950200,3,41,1,950200,3,410019502003,1028,95.72,0.0,0.0,0.0,0.0,2.14,29.86,7.78,67.41,24.81,1,-117.86084906236252,44.78687773050863,62.94519551939828,1.5858880153311707,1.4211236540330876,1.416480308680755,62.94667812739948,0.8365152147778223,1.5892902221627552,2.5413169501629502,1.1940138950254289,1.5892902221627552,1.5892902221627552,2.6328603237744765,3.8040410783475265
41,1,950300,1,41,1,950300,1,410019503001,975,94.67,4.51,0.0,0.0,0.82,0.0,12.35,10.05,56.62,33.33,1,-117.86323462122412,44.74969883934597,66.91777388737971,5.324504693357546,5.211667608060171,4.042046996970405,66.92053180785287,4.099612092006039,4.792445368557445,3.936851428410996,3.2149226596367093,4.067536347754666,4.067536347754666,4.067536347754666,6.278949623546109
41,1,950300,2,41,1,950300,2,410019503002,1064,90.41,1.88,2.82,0.0,0.0,0.47,13.95,2.07,68.05,28.95,1,-117.66242621530957,44.67788108880547,79.47059189744073,19.5068901965489,19.56707478976904,16.857682626564277,79.46102763814456,17.82101518654977,16.600125363125798,16.931948661274987,17.58131674086663,16.600125363125798,16.600125363125798,16.600125363125798,17.578393738402045
41,1,950300,3,41,1,950300,3,410019503003,483,94.41,0.0,3.93,0.83,0.0,0.41,13.26,8.07,48.24,43.69,1,-117.44593423048796,44.44101066793481,61.202030674771045,44.45135256689088,43.99291072322694,43.66677529125769,61.71410884903567,42.39953412394494,43.28920756335839,43.61787493645592,44.32359098546275,43.28920756335839,43.28920756335839,47.76352241354107,48.851528169995305
41,1,950400,1,41,1,950400,1,410019504001,1586,93.25,0.44,0.0,0.0,0.0,6.31,8.62,14.56,51.51,32.66,1,-117.81423411241433,44.79220039124085,63.38053772657045,2.4784251939585804,2.615928814380341,0.9756859211407648,63.377829131501,0.4176608022615996,1.16952434747557,1.233985027192879,2.0811869255957074,0.4360457566406392,0.4360457566406392,0.4360457566406392,0.18968454690348469
