,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,20,001,952600,20001952600,1771,97.91,0.11,0.06,0.0,0.0,0.56,7.91,6.27,75.49,16.09,1
2,20,001,952700,20001952700,1880,89.52,0.0,2.98,0.64,0.0,4.47,14.26,14.73,68.67,16.6,1
3,20,001,952800,20001952800,4167,87.74,0.96,0.26,1.51,0.0,3.55,22.83,5.28,73.24,19.03,1
4,20,001,952900,20001952900,1824,89.8,0.77,0.0,0.0,7.18,1.81,11.06,1.54,79.77,16.89,1
5,20,001,953000,20001953000,2861,88.22,0.73,0.0,1.57,0.0,6.68,13.5,4.3,71.97,22.93,1
6,20,003,953600,20003953600,4907,94.25,0.49,0.61,0.0,0.0,1.77,13.05,12.33,64.34,20.97,1
7,20,003,953700,20003953700,2970,93.94,0.74,0.88,0.1,0.0,2.86,16.56,12.69,68.25,19.06,1
8,20,005,081600,20005081600,4426,94.69,0.02,0.59,0.0,0.0,0.63,10.28,8.83,72.98,18.12,1
9,20,005,081701,20005081701,3393,80.43,6.48,0.65,0.29,0.0,9.28,6.09,4.51,72.15,22.07,1
10,20,005,081702,20005081702,2217,84.08,5.41,0.0,0.0,0.0,0.68,42.7,11.19,65.09,19.58,1
11,20,005,081800,20005081800,2802,86.76,2.11,0.0,1.64,0.0,1.68,9.53,2.82,75.55,21.63,1
12,20,005,081900,20005081900,3372,90.48,2.73,0.0,0.39,0.0,2.79,21.11,9.76,72.21,16.96,1
13,20,007,968100,20007968100,2845,90.54,0.28,0.0,0.98,0.0,7.87,25.2,9.49,70.47,19.33,1
14,20,007,968200,20007968200,1648,89.56,0.85,4.13,0.0,0.0,1.76,12.42,9.71,66.32,22.63,1
15,20,009,971100,20009971100,3804,97.11,0.08,0.13,0.0,0.0,1.71,13.04,8.23,70.19,19.43,1
16,20,009,971200,20009971200,1527,96.07,0.0,0.0,0.0,0.0,3.34,8.58,7.47,69.29,23.25,1
17,20,009,971300,20009971300,3207,90.15,2.37,2.12,0.0,0.0,3.37,16.55,16.81,58.84,23.48,1
18,20,009,971400,20009971400,2352,75.51,2.0,3.27,0.0,0.0,13.73,13.86,22.32,62.46,15.22,1
19,20,009,971500,20009971500,3306,88.48,0.03,0.57,0.94,1.88,4.02,7.04,6.68,71.75,19.39,1
20,20,009,971600,20009971600,4223,78.81,2.11,0.19,0.0,0.0,17.78,14.68,10.04,66.87,22.26,1
21,20,009,971700,20009971700,2896,48.41,1.07,0.24,0.07,0.0,48.34,20.78,29.8,57.22,9.15,7
22,20,009,971801,20009971801,4894,76.11,0.04,0.0,0.33,0.0,22.8,14.04,7.27,71.66,19.43,1
23,20,011,955600,20011955600,2548,90.15,0.0,0.12,1.02,0.0,4.87,18.36,15.93,63.3,20.76,1
24,20,011,955700,20011955700,2102,92.58,0.0,0.24,0.0,0.0,2.66,7.52,9.32,71.93,18.51,1
25,20,011,955800,20011955800,3528,92.23,4.2,0.0,0.6,0.0,1.84,10.71,6.24,66.95,21.88,1
26,20,011,955900,20011955900,3603,84.26,5.88,0.28,0.0,0.0,2.64,14.49,9.33,78.66,12.02,1
27,20,011,956000,20011956000,2758,90.61,2.28,0.0,0.0,0.0,2.36,19.52,9.54,67.4,21.72,1
28,20,013,480600,20013480600,2806,68.6,0.57,23.06,0.14,0.04,5.38,16.21,9.8,69.35,20.81,1
29,20,013,480700,20013480700,3274,92.43,0.89,1.34,0.0,0.0,2.35,11.09,8.55,70.71,19.03,1
30,20,013,480800,20013480800,3495,84.23,0.74,3.61,0.46,0.09,7.27,17.41,8.3,72.76,17.8,1
31,20,015,020101,20015020101,2308,92.2,0.09,0.04,0.0,0.0,6.07,10.19,9.79,71.84,18.37,1
32,20,015,020102,20015020102,4144,71.94,19.21,1.57,0.36,0.24,5.72,15.72,3.5,41.02,8.9,1
33,20,015,020204,20015020204,3204,95.94,1.44,0.0,0.0,0.16,1.28,2.04,1.34,76.15,19.79,1
34,20,015,020205,20015020205,3456,90.28,3.91,0.29,0.2,0.0,2.63,13.35,11.72,69.42,13.8,1
35,20,015,020206,20015020206,4528,75.4,0.22,0.93,8.22,0.0,9.12,4.75,1.1,87.08,10.58,1
36,20,015,020207,20015020207,3780,88.54,0.0,0.9,2.8,0.16,6.85,3.43,10.16,76.06,7.72,1
37,20,015,020208,20015020208,2534,81.65,3.31,1.14,4.7,0.0,7.26,6.0,4.26,84.77,10.97,1
38,20,015,020209,20015020209,2001,99.4,0.0,0.15,0.0,0.0,0.0,9.05,13.64,61.42,24.79,1
39,20,015,020210,20015020210,2766,74.69,6.25,0.61,0.0,0.0,12.73,11.53,0.0,87.31,12.69,1
40,20,015,020300,20015020300,3456,93.87,0.26,0.46,0.0,0.0,3.88,12.42,8.91,67.91,21.7,1
41,20,015,020400,20015020400,2802,91.36,0.0,2.28,0.0,0.0,4.71,20.55,3.46,76.02,19.66,1
42,20,015,020500,20015020500,5749,92.22,0.24,0.47,0.24,0.0,1.95,18.97,9.15,68.83,20.39,1
43,20,015,020601,20015020601,4182,96.29,0.0,0.12,1.84,0.0,0.67,7.77,5.57,77.55,16.88,1
44,20,015,020602,20015020602,3514,83.55,3.87,0.4,0.06,0.0,6.6,6.51,10.33,74.67,13.26,1
45,20,015,020700,20015020700,4057,83.9,1.5,2.02,0.0,0.0,8.8,8.58,4.76,69.95,24.53,1
46,20,015,020800,20015020800,2798,89.03,1.5,0.0,0.0,0.0,7.36,15.52,9.19,79.34,11.47,1
47,20,015,020901,20015020901,3986,97.34,0.8,0.23,0.0,0.0,0.8,6.02,4.99,80.93,14.07,1
48,20,015,020902,20015020902,4254,89.7,0.09,1.1,1.32,0.0,7.78,3.11,7.85,74.49,15.68,1
49,20,015,020903,20015020903,3371,90.66,0.62,0.89,0.59,0.0,2.82,8.07,13.26,71.76,14.09,1
50,20,017,960600,20017960600,2604,90.13,1.31,0.77,0.0,0.0,5.15,6.92,9.37,63.63,23.62,1
51,20,019,964600,20019964600,3280,85.24,1.16,4.24,0.34,0.0,4.12,19.65,12.87,62.59,22.93,1
52,20,021,958100,20021958100,2533,94.87,0.87,0.04,0.0,0.0,0.39,11.19,12.79,72.76,14.45,1
53,20,021,958200,20021958200,1975,87.95,1.01,0.35,0.0,0.0,5.37,8.19,12.46,59.65,27.9,1
54,20,021,958300,20021958300,3939,91.72,0.03,2.01,0.2,0.0,0.08,16.81,7.97,65.5,25.29,1
55,20,021,958400,20021958400,3584,85.99,0.45,3.63,0.0,1.09,3.04,6.48,6.53,71.74,19.98,1
56,20,021,958500,20021958500,3420,79.91,0.0,2.22,0.79,0.0,5.96,21.5,6.58,69.85,21.61,1
57,20,021,958600,20021958600,4566,86.93,0.09,1.97,0.0,1.45,2.85,12.6,11.65,72.45,15.9,1
58,20,023,950200,20023950200,2639,92.31,0.0,0.64,0.0,0.0,6.93,12.71,11.22,63.13,24.4,1
59,20,025,967100,20025967100,2006,88.93,0.6,0.3,1.84,0.0,3.64,10.53,6.08,73.88,16.9,1
60,20,027,458100,20027458100,3615,93.0,0.0,2.21,0.41,0.0,2.05,8.19,4.48,60.14,32.67,1
61,20,027,458200,20027458200,4415,94.13,1.83,0.0,0.7,0.0,3.15,6.67,6.12,62.83,28.58,1
62,20,029,977100,20029977100,2165,97.51,0.32,0.88,0.0,0.0,0.37,9.52,10.48,71.78,15.29,1
63,20,029,977200,20029977200,2194,86.19,5.74,0.0,0.0,0.0,2.78,9.41,6.79,72.88,20.33,1
64,20,029,977300,20029977300,3199,91.12,0.09,0.0,0.25,0.0,7.1,14.77,12.13,59.33,23.66,1
65,20,029,977400,20029977400,1273,98.98,0.0,0.79,0.0,0.0,0.16,8.69,4.56,72.74,21.21,1
66,20,031,966100,20031966100,2735,95.28,0.18,0.11,1.39,0.0,1.94,10.86,5.63,71.41,21.83,1
67,20,031,966200,20031966200,2739,94.16,0.55,0.15,0.37,0.0,2.96,7.63,6.86,72.51,20.59,1
68,20,031,966300,20031966300,2744,89.91,2.11,0.29,0.0,0.0,3.79,18.1,11.48,61.19,24.96,1
69,20,033,967600,20033967600,1759,92.61,0.0,0.0,0.0,0.0,4.72,8.74,6.65,63.96,25.3,1
70,20,035,493100,20035493100,3016,90.45,0.17,1.62,0.0,0.07,3.25,13.34,8.55,69.6,21.39,1
71,20,035,493200,20035493200,3286,86.4,0.06,2.59,0.0,0.0,7.4,9.24,9.46,73.28,17.26,1
72,20,035,493300,20035493300,2604,93.78,0.0,0.61,3.11,0.0,1.54,5.52,2.23,77.76,20.01,1
73,20,035,493400,20035493400,2304,87.93,2.65,0.35,3.82,0.0,2.39,18.3,6.42,65.8,27.78,1
74,20,035,493500,20035493500,4916,76.28,5.17,0.22,1.99,0.0,12.18,22.86,6.81,58.85,19.73,1
75,20,035,493600,20035493600,4304,77.56,2.11,0.93,5.04,0.0,9.8,17.21,10.39,64.54,20.93,1
76,20,035,493700,20035493700,3373,66.38,3.53,4.15,0.12,0.0,16.07,14.35,15.18,63.21,16.66,1
77,20,035,493800,20035493800,4093,73.1,2.93,1.25,0.81,0.0,18.32,10.75,5.89,71.41,22.06,1
78,20,035,493900,20035493900,3344,83.76,0.84,1.53,3.77,0.0,7.78,2.48,6.07,73.92,20.01,1
79,20,035,494000,20035494000,2523,67.42,3.17,0.67,0.16,0.0,22.35,25.77,16.73,67.78,15.5,1
80,20,035,494100,20035494100,1327,66.99,5.43,0.98,0.0,0.0,24.94,14.77,18.61,61.42,19.97,1
81,20,037,956600,20037956600,4117,95.6,0.63,0.32,0.0,0.0,1.26,21.81,10.74,67.14,21.06,1
82,20,037,956700,20037956700,3648,95.37,0.05,0.55,0.0,0.0,1.18,12.73,8.25,73.6,18.15,1
83,20,037,956800,20037956800,3573,90.9,0.64,0.06,0.0,0.0,2.74,10.97,11.64,66.81,16.99,1
84,20,037,956900,20037956900,4086,90.16,1.59,0.0,1.59,0.0,2.15,8.08,4.82,76.28,16.45,1
85,20,037,957000,20037957000,3183,86.11,2.61,1.07,5.59,0.0,3.86,10.84,8.23,76.5,14.95,1
86,20,037,957100,20037957100,2448,78.55,2.53,0.08,0.0,0.0,13.6,39.69,17.85,62.75,19.4,1
87,20,037,957200,20037957200,2434,72.84,3.41,0.0,3.33,0.0,17.63,22.56,12.28,65.45,22.27,1
