State,County,Tract,Block_group,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
16,1,101,1,160010001011,273,100.0,0.0,0.0,0.0,0.0,0.0,3.66,18.68,61.17,20.15,white_alone,-116.20182047251636,43.60895262063966,3.681404126791696,2.2301215175181563,0.8547643486505306,0.8791134633439819,1.0142673947929546,1.1087543409020597,0.2811338516568469,0.2999213157783442,1.0588259724183529,0.2811338516568469,0.2811338516568469,0.4087016715256545,0.5131804999368836,True
16,1,101,2,160010001012,1000,96.5,0.0,0.0,0.0,0.0,3.5,45.98,25.0,57.6,17.4,white_alone,-116.2156901968034,43.6153630041626,3.162410511999226,2.154838427453078,1.896716818282328,0.9364650500283964,0.3780138937560229,0.7562968234395833,0.1384394600338693,0.4429025683104329,0.273779915811941,0.1384394600338693,0.1384394600338693,0.2979557780961194,0.8115701351383133,True
16,1,102,1,160010001021,1374,83.11,0.0,0.0,0.87,0.0,11.06,15.85,10.63,79.55,9.83,white_alone,-116.20711020243547,43.6224639201767,3.98031568621376,2.844694308941221,1.3620938828408502,0.2209819464645736,0.8662831329828666,0.628712855009149,0.505875293623287,0.2748845372580727,0.9851280657116812,0.4478247758637481,0.4478247758637481,0.4478247758637481,0.339677687777027,True
16,1,102,2,160010001022,392,74.23,0.0,0.0,0.0,0.0,25.77,10.46,0.0,87.5,12.5,white_alone,-116.2173170098728,43.61988449422704,3.113050314955997,1.9963739791983224,2.1265003095903934,0.675281734440856,0.7279606151491759,0.4328849363677571,0.615385184911783,0.1470913089739816,0.7124018851266191,0.4538053134268622,0.4538053134268622,0.4538053134268622,1.2013728272897786,True
16,1,102,3,160010001023,284,82.04,0.0,0.0,4.58,0.0,0.0,13.38,13.38,66.9,19.72,white_alone,-116.19696072159262,43.61645810921494,4.185022860662901,2.983289706149141,0.4441240936855877,0.5561658634640929,1.1388314168098912,0.4386974522081619,0.0465634572012996,0.187723643910714,1.2695848600387658,0.0465634572012996,0.0465634572012996,0.2819565509525513,0.5856612831968592,True
16,1,102,4,160010001024,687,73.51,0.0,0.0,3.93,0.0,20.82,29.55,21.98,55.9,22.13,white_alone,-116.1994296358869,43.61267944255248,3.91341176496974,2.5908151945621376,0.5621210231034544,0.57649210917168,0.9727325092877028,0.7101587047271846,0.1372212496904497,0.1088949233726533,1.0717514257413858,0.1372212496904497,0.1372212496904497,0.1372212496904497,0.6383970544824532,True
16,1,201,1,160010002011,2145,90.12,0.0,0.37,0.56,0.0,3.92,5.45,1.72,79.07,19.21,white_alone,-116.18488410158318,43.631751166991606,5.523338132088154,4.432108392603724,1.2492160276340676,1.2860417847074712,2.7939427849313767,1.4685500215547604,1.48891453049348,2.070566439656529,2.9354165326206525,1.48891453049348,1.48891453049348,2.1256380605333587,1.3797955045522647,True
16,1,201,2,160010002012,1155,94.37,1.3,0.0,1.65,0.0,1.47,7.47,4.33,60.26,22.34,white_alone,-116.1693834141354,43.63129365164327,5.414175762106106,5.029865623932302,2.020794409148763,2.033291605123707,3.7978878662706856,2.062888876316393,2.659379854890556,2.953261418350521,3.9405684165382295,2.659379854890556,2.659379854890556,2.9944435848939985,2.4503106685478784,False
16,1,202,1,160010002021,2075,94.89,0.0,0.0,0.0,0.0,0.58,4.63,8.29,78.36,13.35,white_alone,-116.21036327521456,43.679116135612375,5.782258775103084,4.472913203078415,6.6378782849134605,4.689752208031334,7.107344475676765,3.2279502452147955,4.609715316936099,4.525304980680287,3.1891634737227865,4.606529006055349,4.606529006055349,4.606529006055349,3.186002899141533,False
16,1,202,2,160010002022,1484,95.08,1.15,0.0,1.75,0.0,0.0,6.81,4.38,83.02,12.6,white_alone,-116.23549580531012,43.67635860651131,3.752695927875247,3.093439028891187,6.646865267868217,3.387612221155771,7.055387836299796,2.482676895184095,3.106798754277996,3.25454336005047,2.0387743920768617,3.090970609885653,3.090970609885653,3.090970609885653,2.036076082893813,False
