State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
10,1,40100,10001040100,7531,79.99,6.04,0.56,1.63,0.0,6.23,15.35,4.69,73.12,22.08,white_alone
10,1,40201,10001040201,4766,60.66,26.98,0.29,2.14,0.0,5.6,10.13,4.78,78.12,17.1,white_alone
10,1,40203,10001040203,5310,51.37,39.89,0.0,0.0,0.0,6.33,17.15,13.26,68.61,17.89,white_alone
10,1,40204,10001040204,6108,62.26,21.94,0.03,0.98,0.0,2.47,5.91,2.91,79.85,13.83,white_alone
10,1,40205,10001040205,3934,52.59,29.23,0.0,0.84,0.0,13.12,8.46,16.32,59.89,19.4,white_alone
10,1,40206,10001040206,6495,53.9,29.36,0.05,1.34,0.0,13.01,2.11,7.79,69.98,18.08,white_alone
10,1,40501,10001040501,4731,49.19,36.59,0.0,1.29,0.0,11.33,14.5,4.86,65.48,29.66,other
10,1,40502,10001040502,2648,52.19,25.87,0.0,2.08,0.0,14.12,16.35,7.78,65.52,25.11,white_alone
10,1,40700,10001040700,5631,50.24,30.46,1.72,2.4,0.0,10.03,24.66,3.91,62.03,32.02,white_alone
10,1,40900,10001040900,2373,58.95,28.57,0.0,1.35,0.0,6.7,24.0,3.29,73.07,18.46,white_alone
10,1,41000,10001041000,6719,39.46,36.09,0.01,1.37,0.0,14.18,16.56,7.58,73.45,17.25,other
10,1,41101,10001041101,3620,55.91,8.67,0.72,0.83,0.0,31.74,10.47,0.91,59.59,15.77,white_alone
10,1,41200,10001041200,4130,44.41,31.69,0.51,8.14,0.0,12.08,17.54,4.94,68.11,26.73,other
10,1,41300,10001041300,2056,46.45,44.36,1.02,0.0,0.0,1.8,25.74,3.99,75.49,20.14,other
10,1,41400,10001041400,3390,30.29,46.96,0.24,1.0,0.0,8.85,20.15,11.21,67.2,15.81,other
10,1,41500,10001041500,4531,53.19,30.77,0.0,2.63,0.0,6.69,23.22,11.7,67.76,19.8,white_alone
10,1,41600,10001041600,2168,63.28,18.31,0.05,4.7,0.0,10.15,20.17,5.21,59.59,33.9,white_alone
10,1,41701,10001041701,5808,55.29,29.87,0.0,4.3,0.0,5.37,6.24,9.33,61.6,24.71,white_alone
10,1,41702,10001041702,4777,64.98,24.87,0.0,2.91,0.0,2.11,9.44,3.5,71.91,23.53,white_alone
10,1,41802,10001041802,6080,60.25,25.54,0.0,4.77,0.0,3.68,5.77,9.84,67.15,22.29,white_alone
10,1,41803,10001041803,4170,51.7,25.73,5.61,2.4,0.0,11.56,22.9,6.81,65.97,26.91,white_alone
10,1,41804,10001041804,6020,62.84,21.74,0.76,3.99,0.0,4.4,14.8,5.13,72.51,21.03,white_alone
10,1,41900,10001041900,5194,84.83,5.37,1.16,0.4,0.0,1.0,10.28,13.48,67.25,18.56,white_alone
10,1,42000,10001042000,3460,82.95,4.28,0.38,0.81,0.0,6.01,9.74,20.55,61.16,17.72,white_alone
10,1,42100,10001042100,4321,66.23,24.37,0.0,0.0,0.0,5.55,14.76,14.26,67.65,18.1,white_alone
10,1,42203,10001042203,5809,61.65,22.67,0.0,1.19,0.0,8.85,3.64,4.73,72.37,20.74,white_alone
10,1,42204,10001042204,4202,68.09,11.35,0.0,10.45,0.0,4.05,4.52,8.07,67.78,23.73,white_alone
10,1,42205,10001042205,2992,43.18,44.72,0.97,3.24,0.0,1.14,26.1,5.18,79.48,13.34,other
10,1,42206,10001042206,2624,73.29,20.31,2.93,0.34,0.0,1.14,10.29,5.72,63.19,25.99,white_alone
10,1,42207,10001042207,2208,69.93,9.47,7.25,1.31,0.0,8.65,9.87,2.26,78.89,18.84,white_alone
10,1,42208,10001042208,4136,67.84,23.48,0.0,0.77,0.0,4.45,3.72,4.81,73.07,22.12,white_alone
10,1,42500,10001042500,4470,42.37,43.47,0.0,1.59,0.0,11.5,18.89,6.71,79.78,12.13,other
10,1,42801,10001042801,1694,80.05,15.94,0.53,0.0,0.0,2.07,9.27,7.26,68.6,21.19,white_alone
10,1,42802,10001042802,5464,77.76,13.2,0.22,0.88,0.0,6.19,14.11,6.95,71.39,21.3,white_alone
10,1,42900,10001042900,5215,84.2,9.51,0.13,0.0,0.0,4.83,10.8,10.03,64.85,24.97,white_alone
10,1,43000,10001043000,5018,64.25,25.67,0.0,1.77,0.0,7.13,17.4,5.76,73.67,20.57,white_alone
10,1,43100,10001043100,2468,93.84,4.38,0.0,0.0,0.0,1.78,5.34,3.93,76.54,19.53,white_alone
10,1,43202,10001043202,4412,88.15,5.03,0.02,0.88,0.0,2.09,14.51,4.35,70.76,24.84,white_alone
10,1,43300,10001043300,6626,28.37,59.52,0.24,4.65,0.08,5.03,29.0,6.1,77.29,12.21,black_alone
10,1,43400,10001043400,5552,68.64,21.15,0.0,0.31,0.27,7.37,10.21,3.94,71.74,21.33,white_alone
10,1,980000,10001980000,263,70.34,12.55,0.0,0.0,1.52,11.41,,0.0,0.0,0.0,white_alone
10,3,200,10003000200,5596,28.63,62.42,0.0,0.0,0.0,7.7,7.52,2.72,82.18,15.1,black_alone
10,3,300,10003000300,3007,9.54,81.78,0.43,0.0,0.0,7.91,41.9,4.12,73.63,22.25,black_alone
10,3,400,10003000400,3241,32.86,54.09,0.34,0.0,0.0,9.5,20.39,6.7,68.13,25.18,black_alone
10,3,500,10003000500,3892,6.06,87.56,0.64,0.0,0.0,3.78,21.3,11.51,71.87,16.62,black_alone
10,3,601,10003000601,3323,2.89,92.78,0.0,0.0,0.0,2.2,34.59,1.99,77.97,15.23,black_alone
