State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools
5,1,480100,1,5,1,480100,1,50014801001,1383,70.86,21.4,0.0,0.0,0.0,6.87,15.24,3.47,69.2,27.33,1,-91.21630703250318,34.34972659143307,33.64841905345153,77.04215347802602,13.632926531849806,13.657803243163633,36.5758158951651,12.633041407885376,34.14412299435403,12.638106335373129,12.564710241158927,33.596814916899774,33.596814916899774,33.596814916899774,33.08416608485178
5,1,480200,1,5,1,480200,1,50014802001,1320,82.65,11.67,0.0,0.0,0.0,4.32,5.43,3.48,81.14,15.38,1,-91.55466985233691,34.38043701325742,10.751556314425908,47.76302075528712,15.245564054264786,10.751556314425908,15.115803760343624,11.398955041565609,11.107110359781052,10.99435479693695,11.176837038406862,11.005913845599398,11.005913845599398,11.005913845599398,11.21088512271755
5,1,480300,1,5,1,480300,1,50014803001,1269,53.35,38.46,0.0,0.0,0.0,5.67,23.88,6.62,76.67,16.71,1,-91.5430377542964,34.49948048367259,2.5583939876585187,54.64679466558776,2.444413409355492,0.9090252527608704,2.443527820857654,1.8294640548789,0.9459088214169966,0.8872337101220686,0.5995650749075242,0.8831397711900733,0.8831397711900733,0.8831397711900733,2.1202787853816067
5,1,480300,2,5,1,480300,2,50014803002,1798,79.87,16.46,1.28,0.0,0.0,0.0,12.03,2.95,76.14,20.91,1,-91.5048906058401,34.5081538648032,5.328075829396028,58.11819628540195,5.002960222564102,4.4773327046099975,5.148057701047069,4.732892548289076,4.014680621613496,4.33924351941927,3.813331861087781,4.014680621613496,4.014680621613496,4.494411366074111,4.462033197733458
5,1,480400,1,5,1,480400,1,50014804001,1469,12.25,77.26,1.7,0.0,0.0,1.7,31.38,3.88,68.69,27.43,2,-91.55682382869858,34.50673346394192,3.3795507152356894,54.0385326162584,1.205990578157299,0.7771780673033053,1.1078187530253207,0.5576462584759843,0.8008463396481548,0.467728202584289,0.7774844446075996,0.8008463396481548,0.8008463396481548,0.9439058657159728,2.80447036106443
5,1,480400,2,5,1,480400,2,50014804002,593,58.68,38.79,0.0,1.69,0.0,0.0,34.57,3.04,43.68,53.29,1,-91.55419428241336,34.534964909596084,6.460423436597688,56.05752621592148,1.976913179596924,3.828784916908077,2.147133602331991,2.590781984920901,2.8926909866968127,2.938086928751448,1.8072863251898728,2.8926909866968127,2.8926909866968127,4.004829593301566,5.950539602194156
5,1,480500,1,5,1,480500,1,50014805001,1806,90.25,8.64,0.0,0.0,0.0,0.0,9.07,0.5,73.42,21.76,1,-91.56443871593406,34.48658618397911,1.764501384172342,52.22171829327284,3.484380312915437,1.4341624746623196,3.326783504902657,0.5803777468621087,1.2449657834912071,0.8244684385621849,0.2844980503061447,1.2449657834912071,1.2449657834912071,1.750073324012456,0.8538270182374579
5,1,480500,2,5,1,480500,2,50014805002,1568,50.89,44.45,0.0,0.0,0.0,2.55,13.19,2.04,79.72,18.24,1,-91.55228058525446,34.49439754177942,1.954642086458355,53.62864285468698,2.628592763856969,0.6861690026521519,2.5412605429994115,1.4659655685393302,0.2353707553625093,0.2076131719073701,0.6108533060174539,0.2353707553625093,0.2353707553625093,0.5097022866120248,1.5082849250884516
5,1,480500,3,5,1,480500,3,50014805003,508,60.24,39.76,0.0,0.0,0.0,0.0,9.65,14.76,64.57,20.67,1,-91.55919951437144,34.472149971865974,1.073919494066042,51.78562020519726,5.0445752143999965,0.950960484136341,4.910122082728994,1.1927152967962489,1.062526601882789,0.9971378870042166,0.9963694797014072,1.062526601882789,1.062526601882789,1.351514144170784,1.0540106248750996
5,1,480600,1,5,1,480600,1,50014806001,1882,87.62,2.02,0.0,0.0,0.0,9.14,7.87,6.54,63.71,22.64,1,-91.38946601068648,34.309237745828945,23.71821762109004,60.64127397946458,5.733313836179151,5.885712148399516,27.846411030744605,5.334545884712014,24.23922700934721,5.0490455175421936,4.60500997642206,23.80675874082177,23.80675874082177,23.80675874082177,23.542400715645027
5,1,480700,1,5,1,480700,1,50014807001,1298,49.15,40.37,0.0,0.0,0.0,7.94,39.36,12.87,71.34,13.87,7,-91.33204601329174,34.29418030415021,28.460232526204344,65.6787548739461,1.697524822937835,1.82065662656168,32.375105164483834,0.3412344788319111,28.98555074111065,0.4851605550639467,0.493020100638641,28.516645843998745,28.516645843998745,28.516645843998745,28.18552112107435
5,1,480700,2,5,1,480700,2,50014807002,1534,86.44,10.23,0.0,0.0,0.0,2.22,6.39,8.8,72.49,18.71,1,-91.29206949594985,34.28807232298666,31.58608501146995,69.27191321381335,4.339859797186205,4.299585462978592,35.3438467741526,3.980754805098991,32.11095950670684,4.218481461149765,3.4186190829528886,31.622202994711017,31.622202994711017,31.622202994711017,31.251990071936437
5,1,480800,1,5,1,480800,1,50014808001,690,96.09,3.91,0.0,0.0,0.0,0.0,17.68,3.62,67.83,28.55,1,-91.33370259125,34.1155250267601,44.80162825701206,66.51726271206168,18.27074615095124,18.115359172647047,49.18001140754324,17.715528104864624,45.29746168899975,4.242549818132704,4.165858571225409,28.22448256959648,28.22448256959648,28.22448256959648,44.80426981004454
5,1,480800,2,5,1,480800,2,50014808002,643,81.49,9.49,8.4,0.0,0.0,0.0,8.24,7.62,70.3,22.08,1,-91.3801681614407,34.11927925818961,42.69786195077902,62.243604551649945,18.260500571258778,18.12697960640483,47.14129917037246,17.46374085085769,43.17711449078661,0.2102933506293309,0.1376139949514953,26.722212954135365,26.722212954135365,26.722212954135365,42.77805731517021
5,3,960100,1,5,3,960100,1,50039601001,1010,32.87,63.76,0.0,0.0,0.0,2.18,29.5,10.99,74.16,14.85,2,-91.51299108950523,33.23647921650341,41.45090570208781,100.95662193255365,22.114915507794663,0.4544169527296615,23.48229414725332,22.32122636932249,26.312921688974484,0.2282078142040637,0.8756560673553081,23.85860342340857,23.85860342340857,23.85860342340857,46.2224054707573
5,3,960100,2,5,3,960100,2,50039601002,729,82.44,8.23,0.0,0.0,0.0,9.33,20.85,3.29,79.84,16.87,1,-91.65993701012974,33.27663162819124,30.53592459348632,97.63811503965395,30.15251703628037,13.912826404494584,29.996224633279137,13.801029065432532,13.55894081325627,13.810989118070877,13.346387331491323,13.55894081325627,13.55894081325627,32.262155012511094,52.864904637919814
5,3,960200,1,5,3,960200,1,50039602001,1178,81.83,14.01,0.0,0.51,0.0,2.04,19.52,6.54,77.42,16.04,1,-91.8602940360384,33.34793729039208,24.73695334108352,98.24827694901856,24.41083128639769,14.695559978850987,24.24026613354556,14.191952401325894,14.165681014212424,1.373715426936479,14.89174032388954,14.165681014212424,14.165681014212424,25.633962283802703,34.872968323882446
