State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
54,49,20300,54049020300,3521,90.32,1.16,0.0,1.16,0.0,4.17,11.09,6.11,70.46,23.43,white_alone
54,49,20400,54049020400,1664,87.08,0.06,0.0,1.74,0.0,0.42,29.01,7.99,68.33,16.83,white_alone
54,49,20500,54049020500,1841,70.99,24.77,0.0,0.0,0.0,2.17,29.39,7.44,67.73,24.82,white_alone
54,49,20600,54049020600,1802,88.57,1.66,0.0,0.33,0.0,3.77,14.23,9.93,71.75,18.31,white_alone
54,49,20700,54049020700,3371,96.89,1.31,0.0,0.0,0.0,0.83,11.51,4.54,72.74,22.72,white_alone
54,49,20800,54049020800,2937,89.75,3.51,0.0,0.0,0.0,1.23,31.43,6.64,69.25,24.11,white_alone
54,49,20900,54049020900,3372,92.11,0.44,0.0,0.0,0.0,0.89,8.67,4.06,70.2,24.35,white_alone
54,49,21001,54049021001,3163,100.0,0.0,0.0,0.0,0.0,0.0,8.88,4.14,63.29,32.56,white_alone
54,49,21002,54049021002,2265,98.19,1.32,0.0,0.4,0.0,0.09,9.91,0.66,75.58,23.22,white_alone
54,49,21100,54049021100,2925,91.18,5.44,0.0,0.0,0.0,1.91,5.12,4.96,65.16,25.71,white_alone
54,49,21201,54049021201,3455,88.97,3.76,0.0,6.4,0.0,0.17,4.08,3.01,77.34,19.54,white_alone
54,49,21202,54049021202,2662,98.95,0.38,0.0,0.0,0.0,0.04,4.86,8.34,66.27,24.19,white_alone
54,49,21300,54049021300,3875,92.49,5.34,0.9,0.0,0.0,0.93,16.41,2.84,76.93,18.43,white_alone
54,49,21400,54049021400,2034,97.44,0.79,0.0,0.0,0.0,1.77,20.7,1.13,81.22,17.65,white_alone
54,49,21500,54049021500,3633,92.18,1.57,1.46,0.0,0.0,1.6,7.42,3.39,65.98,30.58,white_alone
54,49,21601,54049021601,2376,95.24,3.24,1.22,0.0,0.0,0.0,7.58,4.71,77.65,17.63,white_alone
54,49,21602,54049021602,1968,98.78,0.0,0.0,0.1,0.0,0.66,17.02,2.85,77.44,19.72,white_alone
54,49,21700,54049021700,1673,98.51,0.18,0.6,0.24,0.0,0.3,15.72,9.56,68.68,21.76,white_alone
54,49,21800,54049021800,2775,99.28,0.0,0.0,0.0,0.0,0.29,19.14,19.71,63.03,17.26,white_alone
54,51,20200,54051020200,2337,99.1,0.0,0.0,0.34,0.0,0.0,24.38,15.19,62.9,20.88,white_alone
54,51,20500,54051020500,1068,91.76,6.27,0.0,0.0,0.0,1.69,24.41,4.87,74.53,20.6,white_alone
54,51,20601,54051020601,2230,89.51,0.49,0.0,0.36,0.0,3.54,22.57,11.03,75.29,13.68,white_alone
54,51,20702,54051020702,1520,95.33,0.0,0.0,0.07,0.0,0.0,6.94,4.08,68.49,27.43,white_alone
54,51,20800,54051020800,3220,99.44,0.0,0.0,0.0,0.0,0.16,14.01,7.83,63.26,28.91,white_alone
54,51,20900,54051020900,4469,96.62,2.66,0.0,0.29,0.0,0.25,15.8,8.95,71.85,13.34,white_alone
54,51,21001,54051021001,1424,100.0,0.0,0.0,0.0,0.0,0.0,24.93,4.99,66.92,28.09,white_alone
54,51,21002,54051021002,4999,97.88,0.0,0.0,0.0,0.0,2.08,20.23,8.68,68.61,22.38,white_alone
54,51,21100,54051021100,5225,98.05,0.4,0.0,0.0,0.0,1.51,12.83,1.97,73.95,21.8,white_alone
54,51,21300,54051021300,4408,93.85,0.18,1.29,1.79,0.0,0.16,3.52,3.61,69.94,26.45,white_alone
54,53,954801,54053954801,2775,96.97,1.41,0.5,0.72,0.0,0.4,23.27,4.72,54.88,19.53,white_alone
54,53,954802,54053954802,4515,98.78,0.0,0.0,0.0,0.0,0.27,11.63,3.83,73.82,22.35,white_alone
54,53,954901,54053954901,2036,95.92,0.0,0.0,0.0,0.0,4.08,7.17,8.4,77.31,14.29,white_alone
54,53,954902,54053954902,5490,94.24,0.0,0.0,4.15,0.0,1.18,19.36,4.63,73.81,19.91,white_alone
54,53,955000,54053955000,4058,97.59,0.49,0.0,0.1,0.0,0.32,15.13,4.53,66.76,28.71,white_alone
54,53,955101,54053955101,2287,94.01,0.0,0.22,2.14,0.0,0.0,17.3,7.0,75.51,17.49,white_alone
54,53,955102,54053955102,5539,96.19,0.27,0.0,0.0,0.0,0.18,8.02,9.71,67.67,22.4,white_alone
54,55,900,54055000900,3273,98.93,0.0,0.0,0.03,0.0,0.0,12.58,3.88,71.07,25.05,white_alone
54,55,1000,54055001000,4332,97.65,0.3,0.0,0.0,0.0,1.85,29.22,8.89,75.05,16.07,white_alone
54,55,1100,54055001100,5600,90.8,5.32,0.0,0.36,0.0,1.86,17.88,2.89,72.54,23.14,white_alone
54,55,1200,54055001200,3915,98.29,0.33,0.0,0.0,0.0,0.87,20.03,4.29,65.29,30.42,white_alone
54,55,1300,54055001300,4082,88.14,0.69,0.0,1.67,0.0,2.3,22.93,4.14,79.57,16.29,white_alone
54,55,1400,54055001400,2499,82.55,9.64,0.6,0.12,0.0,1.8,15.82,4.28,71.99,23.29,white_alone
54,55,1500,54055001500,5472,90.73,4.9,0.0,1.64,0.0,0.02,17.53,0.8,78.09,21.11,white_alone
54,55,1600,54055001600,1320,96.29,2.65,0.0,0.0,0.0,0.3,24.79,5.15,77.05,17.8,white_alone
54,55,1700,54055001700,4965,97.34,0.93,0.73,0.0,0.0,0.0,12.41,9.93,51.24,38.83,white_alone
54,55,1800,54055001800,5467,97.04,2.58,0.0,0.0,0.0,0.0,21.11,4.68,63.05,30.86,white_alone
54,55,1900,54055001900,1524,60.56,26.25,0.0,0.0,0.0,7.15,27.95,4.86,68.04,27.1,white_alone
54,55,2000,54055002000,2639,67.26,22.89,0.0,0.0,0.0,5.19,32.37,11.71,66.73,18.76,white_alone
54,55,2100,54055002100,2647,76.62,19.8,0.68,0.3,0.0,0.0,12.51,7.93,67.06,24.03,white_alone
54,55,2200,54055002200,4166,70.07,18.22,0.0,1.87,0.0,2.66,10.4,8.31,65.0,24.87,white_alone
54,55,2300,54055002300,4677,96.22,2.52,0.0,0.24,0.0,0.0,14.99,4.17,70.47,22.36,white_alone
54,55,2400,54055002400,2792,97.49,1.04,0.04,0.0,0.0,0.0,8.99,14.15,65.47,20.38,white_alone
54,57,10100,54057010100,2250,98.8,0.93,0.13,0.0,0.0,0.0,15.84,11.02,71.42,17.56,white_alone
54,57,10200,54057010200,3588,97.21,1.81,0.03,0.0,0.0,0.75,21.04,1.59,84.09,14.33,white_alone
54,57,10300,54057010300,5010,99.06,0.0,0.0,0.82,0.0,0.12,8.05,4.67,69.58,24.43,white_alone
54,57,10400,54057010400,4737,95.29,0.21,0.0,0.0,0.0,4.1,9.8,4.56,75.49,19.27,white_alone
54,57,10500,54057010500,4307,88.65,4.57,0.0,0.65,0.0,0.33,11.13,7.27,60.83,31.86,white_alone
54,57,10600,54057010600,5217,92.74,4.89,0.0,0.0,0.0,0.12,13.97,4.77,67.59,25.11,white_alone
