,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,56,001,962700,56001962700,3411,91.64,0.0,0.0,0.0,0.0,6.36,5.72,6.04,77.69,15.98,1
2,56,001,962800,56001962800,2992,75.97,0.07,0.6,0.0,0.07,21.79,9.48,12.63,74.73,12.63,1
3,56,001,962900,56001962900,1916,56.16,0.0,0.0,0.37,0.0,38.88,9.17,16.91,66.49,16.6,1
4,56,001,963000,56001963000,2531,85.42,0.08,0.32,1.03,0.0,9.44,46.83,11.54,74.12,12.29,1
5,56,001,963101,56001963101,4053,88.92,0.0,0.0,2.34,0.0,5.4,2.1,2.34,84.83,12.83,1
6,56,001,963102,56001963102,4448,83.07,0.09,0.25,4.41,0.0,9.53,33.84,9.49,71.18,18.5,1
7,56,001,963400,56001963400,3251,79.85,0.22,3.84,7.84,0.71,5.6,33.43,11.53,74.93,11.78,1
8,56,001,963500,56001963500,2326,74.81,0.73,0.26,9.42,0.0,11.01,54.2,4.0,92.0,4.0,1
9,56,001,963600,56001963600,4370,89.57,0.05,0.05,2.54,0.0,1.42,20.64,9.29,77.28,12.2,1
10,56,001,963700,56001963700,6862,78.56,5.09,1.54,4.3,0.0,9.47,27.14,8.96,79.83,11.21,1
11,56,001,963900,56001963900,2504,85.14,0.0,0.28,1.12,0.32,3.75,6.68,3.19,74.12,22.68,1
12,56,003,962600,56003962600,2716,92.64,0.0,1.51,0.18,0.52,3.87,7.76,17.71,52.95,22.05,1
13,56,003,962700,56003962700,4036,79.53,0.12,0.15,0.25,0.0,16.65,9.27,14.64,63.4,21.9,1
14,56,003,962800,56003962800,5057,91.1,0.71,0.22,1.09,0.0,6.03,11.18,9.89,71.9,16.73,1
15,56,005,000101,56005000101,2180,98.3,0.0,0.0,0.0,0.0,0.0,14.23,8.81,85.92,5.28,1
16,56,005,000102,56005000102,5975,92.47,0.55,0.0,0.0,0.0,4.07,5.72,5.32,89.74,4.94,1
