State,County,Tract,Block_group,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
40,1,376600,1,400013766001,817,46.27,0.0,49.2,0.0,0.0,0.49,24.36,26.56,53.12,20.32,other,-94.70757704616108,36.11725410012208,15.807937064348089,18.97327035387614,19.678236861102928,14.925730858195289,16.958373580988,14.457921338429763,15.69242457066808,11.752312140602893,12.127947182931305,15.69242457066808,15.69242457066808,16.35868029648975,7.412711418820704,False
40,1,376600,2,400013766002,1651,64.39,1.15,23.08,0.24,0.0,7.81,27.44,26.17,52.82,21.02,white_alone,-94.59909248068972,36.114853384191285,8.024886434930524,14.169360050839725,11.696994637282767,7.665402386073706,9.7982037308205,7.866654714547392,8.333024095410691,7.435787515797362,2.444609559511836,8.333024095410691,8.333024095410691,8.684227401861468,9.655805008915,False
40,1,376700,1,400013767001,589,48.56,0.0,13.75,0.0,0.0,11.38,12.73,14.26,83.87,1.87,other,-94.6051975565657,36.030160401275296,16.718699854044008,5.634186373723312,19.79450544804582,5.275790624659501,18.548405966395137,17.085797695000245,17.222360770063307,16.62567246141587,4.392683193226506,17.222360770063307,17.222360770063307,17.360110831010434,18.629217007893324,False
40,1,376700,2,400013767002,1364,49.78,0.0,23.39,7.92,0.0,10.85,30.94,17.01,70.16,11.58,other,-94.59829345364368,35.94762734063337,16.72336824497036,5.510827987166528,15.837327049267138,5.75722517782934,11.972733381856584,15.777469223249886,15.050267638270006,15.048914754723912,5.389280688689055,15.04430101993472,15.04430101993472,15.04430101993472,18.38402928922721,False
40,1,376700,3,400013767003,734,43.73,0.0,43.46,9.13,2.59,0.0,18.12,37.19,55.31,7.49,other,-94.73174602095304,36.02481070857238,23.455960112346,15.330158886998834,23.201438259427075,15.119424718430334,21.98540280251075,22.73922083198152,23.62929943740244,20.5228709068576,13.8086448048571,23.62929943740244,23.62929943740244,24.03629187433065,13.761103820350284,False
40,1,376700,4,400013767004,803,61.89,0.0,28.89,0.12,0.37,1.25,23.96,19.05,61.64,19.3,white_alone,-94.5657650340403,36.00363477422367,18.87012922989281,1.5046324916311422,21.34722859562029,1.1672671708719136,18.790277063739502,19.68781771841533,19.459279447962054,14.1371067784149,1.6426062910379458,19.459279447962054,19.459279447962054,19.459279447962054,20.32810285112492,False
40,1,376700,5,400013767005,1846,56.01,0.0,34.07,0.0,0.0,5.63,26.6,27.52,57.04,15.44,white_alone,-94.56422167434629,35.97719042714935,20.557569439923967,1.4572607446771384,19.91208566032284,1.830138297207298,16.091212851634506,19.75376071621372,18.967785551888408,13.011750133029436,1.3227248406074454,18.967785551888408,18.967785551888408,18.9891148505342,18.03383922015263,False
40,1,376800,1,400013768001,1618,30.9,0.0,54.51,0.31,0.0,3.52,12.81,24.91,59.95,15.14,aian_alone,-94.7297268371594,35.71595221331547,13.299292481722215,29.6524248780034,12.992702903640929,12.810096535983105,16.656759457557946,13.477658006970913,14.36606368935775,13.49646982895398,8.602313003980766,14.265098330650629,14.265098330650629,14.265098330650629,31.49218014810355,False
40,1,376800,2,400013768002,831,39.71,0.0,48.13,0.0,0.0,9.39,31.93,23.47,56.08,20.46,other,-94.71027091324594,35.921665777958424,15.776481632452008,14.99079212992216,13.824428101322736,13.5617731893303,11.08167455524226,14.34928123429428,14.143115350221665,14.139447860901283,10.932951658719627,13.996959171387791,13.996959171387791,13.996959171387791,24.88739534456852,False
40,1,376800,3,400013768003,1473,32.52,1.29,52.41,0.0,0.0,5.97,19.26,28.72,54.11,17.18,aian_alone,-94.73320946477462,35.87132521539658,12.798523792442388,19.97538571065438,10.614161342317791,11.438420739727912,9.49285123409901,11.37798593258115,11.540341316654418,11.420122936484564,9.207905404201604,11.344021899631306,11.344021899631306,11.344021899631306,23.15107008880773,False
40,1,376800,4,400013768004,1038,33.43,0.0,51.73,0.0,0.0,1.06,22.35,28.03,57.03,14.93,aian_alone,-94.75093593882254,35.8131799636239,11.63491026042161,21.41001816369911,9.728598126799966,10.147270464219451,11.121323817354424,9.638563228487136,11.2371013578535,10.650003073600493,9.37681753167556,11.030304319967463,11.030304319967463,11.030304319967463,23.68492009997065,False
40,1,376900,1,400013769001,2282,26.77,0.0,52.5,0.0,0.0,11.26,38.93,19.81,57.84,18.93,aian_alone,-94.65669947088134,35.821095640616946,3.924429042457938,20.465625306756845,1.7489116349360356,2.6589275949286444,3.278369597913621,2.5129292512469195,2.84444254790186,2.5562561942105853,1.5025969919451647,2.633321130786954,2.633321130786954,2.633321130786954,21.4118508431528,False
40,1,376900,2,400013769002,904,28.21,2.21,51.88,0.0,0.0,4.65,20.58,20.8,68.58,10.62,aian_alone,-94.64680808983836,35.79539226237842,2.160684751601207,22.821773393263936,1.5836373090173808,2.160684751601207,5.514822818690226,1.901517914106045,2.790139011390546,1.9200937048852105,1.6351602117870938,2.6912175230499167,2.6912175230499167,2.6912175230499167,21.34609780204809,False
40,1,376900,3,400013769003,1411,26.86,1.91,36.64,1.56,0.0,15.73,33.87,36.57,50.67,9.43,other,-94.61363641176617,35.81333625815859,1.8518845155277288,20.10609271527989,2.682175250340748,1.3737951298161857,3.831643538706288,1.8623274652265072,1.1478559717083368,1.1517079263234666,1.1100865419843229,1.1478559717083368,1.1478559717083368,1.3582377655521858,17.871523446321035,False
40,1,377000,1,400013770001,1597,22.35,0.63,61.62,0.0,0.0,10.39,35.51,35.82,55.42,8.77,aian_alone,-94.58749992559773,35.68853577243746,12.653843750227566,32.19371900004619,14.339207337441891,12.653843750227566,17.756473787719006,13.982771859990052,14.405299179786338,13.937669727995106,7.921104036182978,14.405299179786338,14.405299179786338,14.498532883700188,24.185433201621507,False
40,1,377000,2,400013770002,1187,35.47,0.0,49.62,0.0,0.0,4.38,21.57,20.81,60.91,18.28,other,-94.59861102015,35.87301109159403,8.566614034002875,13.334240791891167,8.081732367640415,5.618803214723056,4.520652304831688,7.817869987503031,7.000701866439523,7.000151778217856,4.544477958217827,7.000701866439523,7.000701866439523,7.0377422038375546,15.75844880908854,False
40,1,377000,3,400013770003,853,45.72,3.05,42.56,0.0,0.0,6.33,27.55,15.36,59.55,25.09,other,-94.54429038703088,35.84326463992429,8.675737116785736,16.45590072733949,9.64813299781955,6.976517331533238,8.04129453803206,8.913907755497602,8.070960108808803,8.073545381210241,7.503067256780858,8.070960108808803,8.070960108808803,8.244620624402712,10.99100125678457,False
40,1,377000,4,400013770004,1173,31.12,0.0,52.34,0.0,0.0,5.29,29.16,34.1,46.8,19.1,aian_alone,-94.54245538295888,35.75522503349484,8.733794252483932,26.21209870457216,10.894784581981758,8.733794252483932,12.822859442592634,10.131437194083576,10.011408235463902,9.857008726260773,8.99522646372335,10.011408235463902,10.011408235463902,10.19666313358652,15.877558538416594,False
40,3,955600,1,400039556001,564,87.23,0.0,1.42,2.84,0.0,1.42,5.02,15.6,69.33,15.07,white_alone,-98.35298526823595,36.921769408340005,29.32275733318956,56.46045565624301,15.375702746533443,15.962952593358969,71.60853562528143,15.539449446687136,38.42994694773335,6.681435601522305,6.6578755156829486,38.42994694773335,38.42994694773335,44.72399532274314,51.1517740739157,False
40,3,955600,2,400039556002,973,84.07,1.03,0.41,0.0,0.0,8.84,10.11,4.01,68.76,25.69,white_alone,-98.22370629568992,36.77241442322804,37.63906154772703,43.96448707820351,35.20406925376105,12.032438007681408,51.40746507764286,28.8242937997843,45.59193635195584,12.033137064560531,11.648006814707289,45.59193635195584,45.59193635195584,48.33014519225841,31.055498203414068,False
40,3,955700,1,400039557001,1519,90.26,0.07,0.33,0.07,0.0,7.37,16.18,11.85,63.2,22.19,white_alone,-98.44846247599672,36.74115077639921,18.67015632106684,60.53476645073889,20.4937502589296,8.305525748682731,62.94398470837324,19.62626421577028,51.67097767468332,8.273364079818718,8.63336142763411,51.67097767468332,51.67097767468332,60.11085353561504,45.32695637239176,False
40,3,956000,1,400039560001,2735,78.03,5.85,3.84,0.0,0.0,4.86,9.42,6.62,38.68,16.93,white_alone,-98.31982078828084,36.56322739240058,38.72852454614744,39.89604491775964,34.81022462606603,21.85246717227087,42.692133999543685,34.78695447630868,34.885838554462616,4.866638224610316,21.230629715970515,34.885838554462616,34.885838554462616,40.15826387900493,29.454635737556195,False
40,5,587600,1,400055876001,1146,63.61,11.95,8.99,0.0,0.0,3.58,12.59,6.37,34.82,8.29,white_alone,-95.91850826342012,34.57931031287127,31.36210078029704,30.69619747185683,28.30139585522417,27.86365209651636,42.32475951478057,28.374259446614538,30.696160382733133,16.50643730266553,15.839751104314388,29.501518277114887,29.501518277114887,29.501518277114887,40.541587085750834,False
40,5,587600,2,400055876002,788,70.05,1.4,12.44,0.0,0.0,0.63,11.89,18.02,58.5,23.48,white_alone,-95.91697638178948,34.44026268745989,22.279469223916216,21.81324407912821,22.15269807453786,20.73194451148469,56.97796300726025,21.793478960103464,21.83525132717449,20.11814497503145,20.149181672108863,20.74032462427912,20.74032462427912,20.74032462427912,55.06318305337224,False
40,5,587700,1,400055877001,546,54.03,8.06,12.09,0.0,0.0,15.38,13.55,8.79,56.04,30.77,white_alone,-96.13951625101778,34.42984973858914,7.083017842159564,6.403129529319751,4.291278925969549,4.001080054121666,53.877349142128764,6.352797022309073,6.372724715463731,5.118346711468141,4.222300312711579,5.600059650837806,5.600059650837806,5.600059650837806,53.39197747726125,False
40,5,587700,2,400055877002,1348,71.74,1.63,3.49,0.0,0.0,4.9,35.38,19.96,63.65,13.06,white_alone,-96.14269379923851,34.35615363506008,1.1173718543450808,1.8085957113553668,4.124011104986662,1.1173718543450808,46.58419089465358,1.8587847913244888,1.834707463087511,1.4567773094257144,2.1191649096511336,1.834707463087511,1.834707463087511,2.8617655970963023,46.15884003219735,False
40,5,587700,3,400055877003,746,65.01,0.0,10.32,7.1,0.0,0.0,19.3,25.74,57.77,16.49,white_alone,-96.08718139758714,34.384844245389225,5.493913778587268,5.045402662175095,5.958128342361611,4.029757168711969,52.03421966540523,5.0292890112902215,5.070486459978303,3.5520565069280825,3.5485369150484614,4.050866947441484,4.050866947441484,4.050866947441484,51.65022470757289,False
40,5,587700,4,400055877004,1153,54.21,5.2,21.25,0.0,0.0,8.33,27.44,18.73,55.68,20.73,white_alone,-96.1348468998042,34.38414230457694,2.118553211031498,1.4027969828796427,1.785729230387789,0.6527915904531755,49.625080330785,1.354674258187195,1.386277673609694,0.5879004931822994,0.5881157803907147,0.5853110489596145,0.5853110489596145,0.5853110489596145,49.18297374466233,False
