State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
44,1,30100,1,44,1,30100,1,440010301001,1259,90.79,0.0,0.0,3.18,0.0,6.04,6.12,2.3,90.31,7.39,1,-71.33546018865015,41.75489351171099,2.3523875516080355,3.866853794577069,4.939303733285112,0.7799859490603605,6.006471910108537,1.248368316381639,1.2550146583352777,0.6956279213241042,0.4551835194183608,1.2550146583352777,1.2550146583352777,2.343646345052739,0.3884737843296258,True
44,1,30100,2,44,1,30100,2,440010301002,781,85.79,0.0,0.0,4.87,0.0,4.99,0.0,2.18,86.17,11.65,1,-71.33584543251095,41.74093521196197,2.6508500001366166,5.27333054567553,6.293043934079126,2.1424634553641027,7.543478324164001,1.4203974943546758,0.5281189234512946,2.038558716885692,1.0246842207251026,0.5281189234512946,0.5281189234512946,2.256914493450428,1.130965282041617,True
44,1,30100,3,44,1,30100,3,440010301003,1155,87.27,0.61,0.0,0.0,0.0,0.0,6.75,0.69,77.58,21.73,1,-71.34976187634936,41.73719570026119,3.771260310282784,6.164752095225819,6.313074773747791,2.558425347000151,7.438468360826655,1.3546768492733388,1.728753947810603,2.526253981080907,1.2712279832135052,1.728753947810603,1.728753947810603,3.418161675998708,1.7285810297103603,False
44,1,30100,4,44,1,30100,4,440010301004,1287,83.06,2.64,3.03,2.72,0.0,0.7,21.18,1.55,89.67,7.85,1,-71.3465794152954,41.7518220509226,2.2384631598636835,4.672718744569552,4.832321236280968,0.924429403581022,6.291949654946206,0.3076384524524186,1.546445470836471,0.9057626920273192,0.4923015087072891,1.546445470836471,1.546445470836471,3.0406173797097167,0.5985137811496164,True
44,1,30200,1,44,1,30200,1,440010302001,945,89.63,0.0,0.0,0.0,0.0,9.95,4.23,0.85,89.63,9.52,1,-71.32482454528127,41.759768970359104,2.691507911795356,2.9891344768559964,5.05896223155924,1.4652133147494373,5.67025535918817,1.9054828536744424,1.8192622226438853,1.399248828917863,0.4040759870433595,1.712863305364516,1.712863305364516,1.712863305364516,0.4972844507637378,True
44,1,30200,2,44,1,30200,2,440010302002,1534,89.9,0.0,0.0,2.74,0.0,3.26,1.56,2.09,80.77,17.14,1,-71.32305940069028,41.74354961625463,1.7125483870120155,4.682235044127828,6.558051490059269,1.5308306323283554,7.445213161989535,2.2246964151793622,0.6686294342158845,0.9780312616833566,0.6518276757401245,0.6686294342158845,0.6686294342158845,1.2677286613048304,0.7350902764486033,True
44,1,30200,3,44,1,30200,3,440010302003,650,98.46,0.0,0.0,0.0,0.0,1.54,5.54,0.0,75.23,24.77,1,-71.3105154240575,41.74099447277905,0.6721486487664567,4.489129290102812,7.408818853956497,0.4868152451899564,8.034051031520221,3.303242582611076,1.7410323730976298,0.1780324670200043,0.5018759568386593,0.2117926089732204,0.2117926089732204,0.2117926089732204,1.533706896020901,True
44,1,30300,1,44,1,30300,1,440010303001,1452,75.34,3.51,0.0,12.88,0.0,0.62,5.65,1.31,89.46,8.47,1,-71.29087875281743,41.7493780337327,1.7616972183885071,4.192096872006869,7.941745687870012,1.7616972183885071,7.969389441271259,3.232782870241592,1.4819485000705437,1.7046163019218734,0.4792856703780045,1.4819485000705437,1.4819485000705437,1.734995308832563,0.5131857187890422,True
44,1,30300,2,44,1,30300,2,440010303002,1474,95.52,0.61,0.0,1.63,0.0,1.49,1.9,1.15,85.75,13.09,1,-71.30136133632152,41.75142508925924,1.6107246552752874,3.8062884730863367,7.119190112232666,1.5338107081831391,7.312384446968439,3.4955830385233893,2.069352646673916,1.2963982240768144,0.6363787890657753,1.4431908214056386,1.4431908214056386,1.4431908214056386,0.6539517533350284,True
44,1,30300,3,44,1,30300,3,440010303003,1570,90.76,1.15,0.0,0.19,0.0,7.39,10.13,1.85,66.31,31.85,1,-71.31041921264628,41.7625182239482,2.870600524942619,2.478224016837994,5.77061246878788,2.6801530332547903,5.868607685213703,2.0591218051441107,2.6717966411804777,2.23107693470603,1.3828648341776857,1.9745168900494576,1.9745168900494576,1.9745168900494576,1.6083053712308095,True
44,1,30400,1,44,1,30400,1,440010304001,1168,95.46,0.0,0.0,3.94,0.0,0.6,3.94,0.0,94.52,5.48,1,-71.29413908167396,41.727576634987344,1.3548725109917936,2.5127047009958443,9.42484941733378,1.0338805986852695,9.94196427939742,2.4460287335650803,1.1529220671858744,0.998920271200444,1.1258883149671906,1.1529220671858744,1.1529220671858744,1.366976562675041,2.2438865204576683,True
44,1,30400,2,44,1,30400,2,440010304002,1222,86.58,0.0,0.0,6.14,0.0,4.75,1.8,0.0,88.38,11.62,1,-71.3019805702409,41.7174497334519,2.194409361697566,2.788587240307273,9.943755193889396,2.122972789951177,10.735284149143563,2.897005127917612,2.2638241861901864,2.0609843038241333,1.844331732006813,2.218021876464535,2.218021876464535,2.218021876464535,3.4812883252329967,True
44,1,30400,3,44,1,30400,3,440010304003,1602,91.07,0.06,0.0,2.43,0.0,5.12,0.75,0.06,79.78,20.16,1,-71.3239477819007,41.71515909420765,2.934631471665816,4.604517164735109,9.315283389270276,2.934631471665816,10.519500695573091,4.322452773687112,3.270947670285683,2.939717561300704,2.522426282600684,2.9618348233719787,2.9618348233719787,2.9618348233719787,3.88342472257713,False
44,1,30500,1,44,1,30500,1,440010305001,701,96.72,3.28,0.0,0.0,0.0,0.0,32.81,5.28,62.2,32.52,1,-71.2821222988639,41.735299117014726,1.8520910981544945,2.4671479644506435,9.50033804308621,0.6711459600326889,9.675180456040474,1.667609248714624,0.3896816785026322,0.740146938863989,1.0280156337164774,0.3896816785026322,0.3896816785026322,1.8430592203092828,0.9330590796583464,True
44,1,30500,2,44,1,30500,2,440010305002,1115,93.63,0.63,0.0,0.0,0.0,0.99,17.48,1.08,73.9,24.57,1,-71.27539196565498,41.72848083213097,1.2312465324069604,1.5443352192475626,10.093442765109952,0.5460889782217465,10.615187184763707,0.89265198390275,0.4784024164127723,0.5641783043552385,0.2471912894638098,0.4784024164127723,0.4784024164127723,2.582554002907913,1.2845187206110702,True
44,1,30500,3,44,1,30500,3,440010305003,1274,93.49,0.0,0.0,0.71,0.0,5.81,5.53,0.0,78.96,21.04,1,-71.28565839285514,41.73028984276127,1.723482033130625,2.1693860627093167,9.674349174365211,0.3329626249149647,9.999240408305749,1.7626864295440023,0.4124852634095509,0.3413480242667725,0.7951626652066335,0.4124852634095509,0.4124852634095509,1.7238256859562195,1.513632863332123,True
44,1,30601,1,44,1,30601,1,440010306011,1100,94.55,0.0,0.0,0.0,0.0,4.55,0.0,10.0,80.45,9.55,1,-71.27256979437028,41.74547354885222,2.793022690512346,3.3405412283246108,9.432184723307744,1.9610569262860948,9.24298503341789,2.0536206761656493,1.5346075071285603,0.4879705657668729,0.6043535567261229,1.5346075071285603,1.5346075071285603,2.773571864614942,0.6249491850231474,False
