State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes
49,1,100100,1,49,1,100100,1,490011001001,403,68.98,0.0,1.74,0.0,0.0,29.28,0.0,33.0,57.07,2.98,1,-112.58184888100683,38.34319082376774,62.43283592413753,83.35730164965356,8.085640500872746,9.136671928927486,65.16927014978377,9.26374081679639
49,1,100100,2,49,1,100100,2,490011001002,1104,92.48,0.0,0.0,0.0,0.0,7.52,7.52,4.71,75.18,20.11,1,-112.62803075528775,38.29374411988829,69.1976889547729,76.57310730264531,1.4728208492785706,2.335499378125669,71.9607494852857,2.4942296550369174
49,1,100100,3,49,1,100100,3,490011001003,1825,93.26,0.0,2.19,0.0,0.0,4.55,0.77,12.71,67.51,19.78,1,-112.6444690688539,38.27946492026621,71.33745371954024,74.47886248352415,1.0781886859828194,0.5594879125723892,74.09631361315077,0.45549355783539264
49,1,100200,1,49,1,100200,1,490011002001,833,80.79,0.0,0.6,2.4,0.0,2.16,2.72,1.08,81.51,14.65,1,-113.40221795279972,38.3609218921579,83.14273644226554,79.19317044272324,34.67220260773547,67.10096994262625,79.09098492557217,66.27950033557981
49,1,100200,2,49,1,100200,2,490011002002,729,90.26,0.0,0.0,0.0,0.0,9.74,5.5,3.84,81.07,15.09,1,-112.921388898846,38.21459966353002,63.78997872432033,58.76582736404275,22.730534920128967,25.4119464650856,58.492761375856205,24.788688261683124
49,1,100200,3,49,1,100200,3,490011002003,1700,72.29,0.0,1.35,0.0,0.0,24.53,6.59,12.88,79.24,7.88,1,-113.01469102629702,38.3968048965852,82.62795278963442,77.73583979079136,1.2600530582664065,35.29387758670304,77.53148109351321,34.42246259536768
49,3,960100,1,49,3,960100,1,490039601001,874,97.37,0.0,0.0,0.0,0.0,2.52,10.64,4.46,84.32,11.21,1,-112.50434329216256,41.78837952073982,51.94586052931072,56.33985322209388,27.629510979796983,29.393262286807097,56.82016927582571,27.855009759800446
49,3,960100,2,49,3,960100,2,490039601002,1803,94.51,0.11,0.94,0.0,0.0,2.33,9.82,12.48,73.71,13.81,1,-112.26512826709424,41.88776872373568,38.7095422675534,39.60104616151596,19.437832606533867,21.27374327025628,39.625765672542975,20.014721162290396
49,3,960100,3,49,3,960100,3,490039601003,740,97.03,1.22,0.0,0.0,0.0,1.76,3.24,4.19,79.59,16.22,1,-113.26445631148846,41.48147109445584,102.81334975126104,106.9210860144544,93.91534048878644,94.90882279581044,105.54043880285538,93.81734845288393
49,3,960200,1,49,3,960200,1,490039602001,1922,96.83,0.16,0.0,1.04,0.0,1.98,7.39,11.45,69.98,18.57,1,-112.09094264326016,41.81174261612394,22.30082595829518,23.22116499242298,12.354054512816134,12.740316827448222,23.246615440847048,12.534076631973004
49,3,960200,2,49,3,960200,2,490039602002,945,94.39,0.0,0.0,0.0,0.0,5.61,3.6,4.97,79.68,15.34,1,-112.12564790750956,41.75515076967978,24.105123346439424,24.73569752413343,5.847642271488638,5.865523167437119,25.312615209940702,5.762875429722582
49,3,960200,3,49,3,960200,3,490039602003,1959,84.07,0.0,0.51,0.0,0.1,13.88,7.61,5.46,85.55,8.98,1,-112.16548077635026,41.73336631812163,27.463076423433865,27.99124682670433,1.750235377088463,2.4310537827286893,28.737462135421207,1.9333351524626348
49,3,960200,4,49,3,960200,4,490039602004,1607,75.61,0.68,0.31,0.0,0.37,22.28,3.24,3.11,86.25,10.64,1,-112.0572978864061,41.67139748869727,18.93471693397771,20.46504714762852,11.941271238081615,10.018618336682588,21.81943514557777,10.795018717674669
49,3,960200,5,49,3,960200,5,490039602005,752,91.76,0.93,0.0,0.0,0.27,6.52,11.17,7.58,83.11,9.31,1,-112.0980010456666,41.65643521282871,19.99178124813985,24.223922097835803,10.296170395611218,8.292674697128168,25.58770019286001,9.109551907913879
49,3,960200,6,49,3,960200,6,490039602006,776,78.74,0.0,1.03,1.03,0.0,18.56,27.45,15.72,74.87,9.41,1,-112.16162363004776,41.74762007183244,27.08468493845269,27.675030632902462,3.135983342269576,4.0278140283385415,28.31556598621917,3.5461877730590876
49,3,960301,1,49,3,960301,1,490039603011,1480,93.24,0.0,0.0,0.88,0.0,5.88,4.26,6.62,82.16,11.22,1,-112.1328649550708,41.69631139078585,24.72103835945225,25.734581739541344,5.158467979424649,3.1817040454268035,26.775427117333503,3.9816947204550233
49,3,960301,2,49,3,960301,2,490039603012,469,48.61,0.0,0.0,2.77,0.0,48.61,0.0,5.97,51.6,42.43,7,-112.16598967019452,41.699926759905104,26.537707237514088,28.37462080165959,3.024885877882962,1.2884082790270903,29.355172441855636,1.9399919070781253
49,3,960301,3,49,3,960301,3,490039603013,913,87.84,0.0,0.0,0.0,0.0,6.13,23.66,14.02,74.15,11.83,1,-112.16598006042727,41.713311307937616,27.4057386965777,28.17894226509318,1.8302248679795352,0.2078581448384121,29.068306547601225,0.6456262930726426
49,3,960301,4,49,3,960301,4,490039603014,834,86.81,0.0,0.0,0.0,0.0,8.99,1.8,0.0,79.38,20.62,1,-112.16082081141296,41.72168956935728,26.99705567285674,27.66934975442672,1.826191413161296,1.1931905972150838,28.502636316952422,1.098119526909862
