State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers
53,1,950100,1,53,1,950100,1,530019501001,731,90.01,2.05,1.92,0.0,0.0,1.37,8.07,0.0,75.38,24.62,1,-118.39272453502876,47.15459419865487,66.66688771666385,65.81769512095417,4.032012717549594,3.2573455047822297,66.29015104910512
53,1,950100,2,53,1,950100,2,530019501002,1270,84.25,3.78,0.16,1.81,0.0,7.32,10.72,5.75,68.11,22.05,1,-118.350891191053,47.13521014636648,69.65757053856107,68.8729036918696,2.2233499756118538,2.471722057126873,69.4325571428988
53,1,950100,3,53,1,950100,3,530019501003,605,68.6,1.49,0.0,0.99,1.16,26.45,17.52,12.07,65.62,15.7,1,-118.38214416362456,47.138225920755566,67.4619002879929,66.52197481901246,2.0441250595847125,1.315538226212233,67.0673180614006
53,1,950200,1,53,1,950200,1,530019502001,622,84.73,0.0,0.64,0.0,0.0,4.34,28.3,10.77,74.76,14.47,1,-118.53045165098804,46.969619917045726,49.62392283595415,57.55014108152989,20.700455510825645,20.79414591760864,51.67339933777871
53,1,950200,2,53,1,950200,2,530019502002,781,41.74,0.0,0.0,0.0,0.0,58.26,7.3,17.67,70.68,11.65,6,-118.76789797801143,46.94372458336803,31.793314933833155,41.77383410678799,32.02090733766532,31.793314933833155,33.80640257378031
53,1,950200,3,53,1,950200,3,530019502003,360,94.17,0.0,1.94,0.56,0.0,2.5,16.67,4.17,71.11,24.72,1,-118.21350707903828,46.88163426838541,71.33965605993966,83.25695026863754,29.22277726508337,30.03381642481031,73.40115222979082
53,1,950301,1,53,1,950301,1,530019503011,1581,29.48,0.0,1.45,0.0,0.0,69.01,23.67,29.35,59.71,9.55,6,-119.01094712804576,46.827813934691264,10.426130004127817,36.85348653388108,10.982801750206743,10.426130004127817,12.477177490753007
53,1,950302,1,53,1,950302,1,530019503021,2434,6.04,0.0,0.0,0.0,0.0,93.96,21.24,15.9,79.99,4.11,6,-119.2651145820848,46.86336596681182,9.926721669597752,27.662774104882363,9.122945553635274,9.926721669597752,8.36713421225238
53,1,950303,1,53,1,950303,1,530019503031,1884,28.29,0.0,0.0,0.0,0.0,71.71,39.49,15.98,79.78,4.25,6,-119.20392631279203,46.79478809914677,5.369969561872936,35.547083053135935,5.422511201576325,5.369969561872936,3.63584838225522
53,1,950303,2,53,1,950303,2,530019503032,630,25.87,0.0,0.0,0.0,13.49,60.63,8.28,0.0,93.17,2.7,6,-119.28210253682283,46.772229647415855,11.734188678746245,37.82987415034021,11.621702558806067,11.734188678746245,9.792732721836439
53,1,950400,1,53,1,950400,1,530019504001,1043,23.97,0.0,1.05,1.44,0.0,72.58,11.96,25.5,60.12,11.41,6,-119.15961451397152,46.82882242514236,1.0342150320398258,32.41964128989214,0.3752159908097097,1.0342150320398258,1.4614593240781586
53,1,950400,2,53,1,950400,2,530019504002,2101,18.13,0.38,0.19,3.19,0.0,78.11,30.96,14.95,73.01,10.14,6,-119.1692020010875,46.83352533793055,1.9295965074849764,31.74491688740383,1.1156831446791455,1.9295965074849764,1.4947572675344882
53,1,950500,1,53,1,950500,1,530019505001,2652,34.2,0.26,0.0,0.0,0.0,65.54,16.57,11.84,72.29,15.87,6,-119.15286781683042,46.81022173373236,1.5921185550771828,34.5506739254622,2.2520825567083103,1.5921185550771828,2.01658316845976
53,1,950500,2,53,1,950500,2,530019505002,2191,10.59,0.0,0.0,0.78,0.0,88.64,32.69,23.55,70.42,6.02,6,-119.1694831083072,46.81795870612301,1.7811091304075697,33.432002198701035,1.7570869370527078,1.7811091304075697,0.4877006857962747
53,1,950500,3,53,1,950500,3,530019505003,817,20.2,0.0,0.0,0.0,0.0,79.8,49.08,21.66,78.34,0.0,6,-119.18139054071244,46.80908532261388,3.049569940535968,34.22793367245621,3.0943157337307885,3.049569940535968,1.380718379419878
53,3,960100,1,53,3,960100,1,530039601001,1087,95.86,2.12,0.0,0.0,0.0,2.02,6.16,6.53,63.02,30.45,1,-117.05770441245896,46.11190695843143,32.273218091775405,31.75385819999,32.319278743194104,30.51172484619033,32.42464758353021
53,3,960100,2,53,3,960100,2,530039601002,882,93.99,0.0,0.0,0.34,0.0,0.0,4.65,10.43,75.06,14.51,1,-117.27156298030116,46.16868396998434,33.0167533368771,31.83571970593669,30.88383511434296,28.391199622251843,30.983216503766158
53,3,960100,3,53,3,960100,3,530039601003,2351,89.45,0.0,0.0,0.38,2.68,2.08,5.74,3.45,67.33,29.22,1,-117.09959835792056,46.35766314173387,8.20807322593038,7.44950957249314,6.061852259314367,3.643493413941286,6.1600066524605905
53,3,960200,1,53,3,960200,1,530039602001,1356,94.47,0.0,0.0,0.0,0.0,5.53,3.39,0.74,83.41,15.86,1,-117.06848363243084,46.37856127020466,5.138374157748805,4.191322710762015,2.867926271764164,1.6133137230074257,2.973227761092892
53,3,960200,2,53,3,960200,2,530039602002,795,100.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,66.79,33.21,1,-117.08099676654224,46.384561904274754,4.899078176483182,4.83710682607832,2.837370984228396,0.4907183156777024,2.926386730284025
53,3,960200,3,53,3,960200,3,530039602003,803,97.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.51,35.49,1,-117.09401280531311,46.39248706264498,4.806257900462546,5.671412167671806,3.2114273446864585,0.9014223249741948,3.2681454702901123
53,3,960200,4,53,3,960200,4,530039602004,1801,85.34,3.72,0.0,0.0,0.0,3.11,6.82,8.33,65.52,25.1,1,-117.27143810918152,46.35997396721472,18.407958420077083,19.686888030257137,17.28218063315513,14.746322436364544,17.330410323256658
53,3,960300,1,53,3,960300,1,530039603001,860,75.7,0.0,0.0,0.7,0.0,20.12,37.44,7.09,75.12,17.79,1,-117.05555965156977,46.42383744144782,0.4834916145513505,4.0862140443926025,2.367439753316212,0.4834916145513505,2.2628820692653275
53,3,960300,2,53,3,960300,2,530039603002,838,81.74,0.0,0.0,0.0,0.0,18.26,30.67,2.51,71.96,25.54,1,-117.0547201246709,46.415395822233904,0.9244006660239176,3.389209796991387,1.4279854119647597,0.6850888582097309,1.3228645665498833
53,3,960300,3,53,3,960300,3,530039603003,834,90.89,0.0,0.0,0.0,0.0,9.11,23.31,8.99,80.1,10.91,1,-117.0463308988703,46.41873743713075,0.5157861478459457,3.1965425351564547,1.7030412435623763,0.3761300363486165,1.8063766075442491
53,3,960300,4,53,3,960300,4,530039603004,1101,96.09,0.0,0.45,0.82,0.45,1.73,7.34,3.91,74.39,14.53,1,-117.04041930779152,46.41066638325644,1.5211705146343106,2.222487318546379,1.388064369602071,0.5831332934536346,1.3418389626980822
53,3,960400,1,53,3,960400,1,530039604001,1534,76.79,0.59,0.0,0.85,0.0,9.58,34.94,8.15,67.41,24.45,1,-117.06439847222164,46.41412353604424,1.5044847204750036,3.9214157879250977,1.483598283777093,1.4158437788124043,1.404060585466535
53,3,960400,2,53,3,960400,2,530039604002,983,93.9,0.61,0.0,0.41,0.0,3.15,15.55,5.09,57.68,34.08,1,-117.07033740687052,46.41124289737424,2.0595626658323454,4.183335692942812,1.5361631639083697,1.9013150489258483,1.4885430076098018
53,3,960500,1,53,3,960500,1,530039605001,605,75.37,0.0,0.0,1.16,0.0,12.73,31.24,7.27,73.22,19.5,1,-117.05471577726814,46.40996562412351,1.4903892045433358,3.0473057368792085,0.8241779972173234,0.8268756674044933,0.719135924794852
53,3,960500,2,53,3,960500,2,530039605002,895,84.13,0.0,7.93,0.0,0.0,7.93,13.74,17.65,50.28,32.07,1,-117.0453458138119,46.409992329387165,1.4644850693160398,2.452701025270228,1.097873136499692,0.4788983274511494,1.0068729198510769
53,3,960500,3,53,3,960500,3,530039605003,1305,86.21,0.0,4.67,2.68,0.0,0.31,18.86,9.5,54.79,29.96,1,-117.0503416420054,46.40545062759349,1.9372340850404663,2.520604693104955,0.4675542298441451,1.038400546061322,0.38562761465233963
53,3,960500,4,53,3,960500,4,530039605004,712,74.44,0.0,0.0,20.65,0.0,1.12,4.63,0.0,67.28,32.72,1,-117.05006714693174,46.401396295384046,2.387274134306981,2.3543644197076223,0.3822603425842577,1.4673010658032386,0.41262026865267315
53,3,960600,1,53,3,960600,1,530039606001,872,99.2,0.0,0.0,0.0,0.0,0.0,8.72,2.98,65.83,31.19,1,-117.06393905977866,46.40428997394057,2.346124075446573,3.4646608910037764,0.7297315785897316,1.7720579989512073,0.7290682311927161
53,3,960600,2,53,3,960600,2,530039606002,1225,97.06,0.0,0.0,0.08,0.0,0.08,8.02,4.16,60.0,34.61,1,-117.07091890891692,46.394387756501,3.5696913174512312,3.890214529597557,1.5361316860768173,1.1782850572517012,1.6161345346741613
53,3,960600,3,53,3,960600,3,530039606003,1011,97.33,0.0,0.0,0.0,0.0,0.0,9.4,13.06,65.88,21.07,1,-117.05473820420924,46.38677454016011,4.033335462628435,2.8479963124554533,1.7545647256976578,2.23312952182181,1.85987856329175
53,3,960600,4,53,3,960600,4,530039606004,786,100.0,0.0,0.0,0.0,0.0,0.0,13.36,9.41,73.28,17.3,1,-117.05018275319374,46.39119327985299,3.5217670060833126,2.3634670428195834,1.311109965659901,2.5661993860105308,1.4079259473277852
53,5,10100,1,53,5,10100,1,530050101001,2257,88.26,1.2,0.97,5.72,0.0,2.48,1.25,7.0,70.85,21.75,1,-119.26713091348222,46.29696695981816,0.6683787608152802,0.980539289908382,1.885395308827832,0.6491320261790064,4.341968452805505
53,5,10100,2,53,5,10100,2,530050101002,2637,82.25,0.0,0.0,10.31,0.0,5.54,3.97,4.29,72.62,23.09,1,-119.26266006354348,46.32857183095427,3.879752626475511,4.154332326444323,5.252288984023516,3.204616986044798,7.831752179621274
53,5,10201,1,53,5,10201,1,530050102011,1924,88.15,0.0,0.0,2.86,0.68,1.46,11.59,3.27,74.32,21.88,1,-119.29292010963944,46.30034883910863,1.4933039444294811,1.3941782160470286,2.1126036525539664,1.314066490577049,4.571639747163563
53,5,10201,2,53,5,10201,2,530050102012,780,77.44,0.38,0.0,0.0,0.0,1.79,12.56,8.08,56.03,35.9,1,-119.28976182752386,46.29605002380164,1.1251167983534966,0.943571583516077,1.576947185834593,1.1251167983534966,4.066128090822562
53,5,10201,3,53,5,10201,3,530050102013,740,76.22,0.0,0.0,10.95,0.0,0.0,0.0,0.0,78.11,21.89,1,-119.31734490135617,46.32975725216178,5.058568444264017,5.080293686466437,5.877674874943572,4.631498116820785,8.200471352108263
53,5,10201,4,53,5,10201,4,530050102014,1996,83.72,0.0,0.0,6.71,0.0,3.96,2.71,5.76,75.05,19.19,1,-119.36317194380584,46.33719813681415,8.23778109609583,8.16882031480535,8.69979287872119,5.617314057664713,10.547751488476422
53,5,10203,1,53,5,10203,1,530050102031,1367,64.45,0.0,0.0,5.41,0.0,26.48,37.53,2.34,94.07,3.58,1,-119.2780208585162,46.33465450400927,4.439169133872252,4.650981651746987,5.735118118737359,3.7851771703513646,8.347221164728134
53,5,10203,2,53,5,10203,2,530050102032,1701,53.09,5.41,0.0,4.59,0.0,36.39,4.17,17.81,61.61,20.58,1,-119.27867546639204,46.31479671799941,2.2415640644564534,2.4428936909684635,3.5272717210970987,1.610203410049369,6.140130436748342
