,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
1,16,001,000101,16001000101,1273,97.25,0.0,0.0,0.0,0.0,2.75,36.86,23.64,58.37,17.99,1
2,16,001,000102,16001000102,2737,79.32,0.0,0.0,1.9,0.0,14.47,18.34,12.24,73.44,14.32,1
3,16,001,000201,16001000201,3300,91.61,0.45,0.24,0.94,0.0,3.06,6.1,2.64,72.48,20.3,1
4,16,001,000202,16001000202,5782,94.19,0.29,0.0,1.35,0.0,1.56,4.38,4.1,80.63,15.27,1
5,16,001,000302,16001000302,3306,89.44,0.0,0.54,3.69,0.0,3.96,15.32,6.41,74.47,16.12,1
6,16,001,000303,16001000303,2230,87.09,0.0,0.0,3.23,0.0,6.28,10.41,12.56,64.13,23.32,1
7,16,001,000305,16001000305,2584,94.89,0.0,0.0,0.46,0.0,2.09,9.98,10.29,71.44,18.27,1
8,16,001,000306,16001000306,4173,89.48,0.0,0.0,0.43,0.0,9.51,4.62,1.77,82.87,15.36,1
9,16,001,000401,16001000401,2402,96.67,0.0,0.0,0.0,0.0,1.5,7.7,14.32,75.1,10.57,1
10,16,001,000402,16001000402,3721,73.18,0.0,2.55,7.26,0.0,12.01,13.37,8.71,81.27,10.02,1
11,16,001,000501,16001000501,2879,91.11,0.0,0.0,0.97,0.0,5.9,11.84,11.11,80.13,8.75,1
12,16,001,000502,16001000502,3414,77.24,1.23,0.0,3.63,0.0,12.45,9.94,6.06,77.86,16.08,1
13,16,001,000601,16001000601,2009,92.48,1.49,0.0,1.05,0.0,0.9,3.63,2.19,83.67,14.14,1
14,16,001,000602,16001000602,3270,86.39,2.91,0.43,0.0,0.0,10.09,9.8,4.31,84.65,10.43,1
15,16,001,000701,16001000701,5738,86.53,1.39,0.21,3.75,0.03,6.13,9.54,3.96,77.12,17.39,1
16,16,001,000703,16001000703,1900,79.74,0.0,0.0,10.47,0.0,5.63,1.05,5.16,77.68,17.16,1
17,16,001,000704,16001000704,3233,91.99,1.05,0.0,0.99,0.0,4.73,4.38,2.2,76.62,16.86,1
18,16,001,000803,16001000803,4357,76.31,0.21,1.19,6.77,0.0,10.53,6.89,5.83,78.7,15.13,1
19,16,001,000805,16001000805,3403,85.01,1.2,0.0,7.26,0.0,4.64,3.79,0.85,74.67,23.51,1
20,16,001,000806,16001000806,2967,77.01,0.0,3.24,0.07,0.0,16.41,30.39,32.05,58.85,8.26,1
21,16,001,000807,16001000807,2120,73.11,2.41,0.0,13.16,0.0,5.47,16.7,9.29,71.98,16.51,1
22,16,001,000808,16001000808,2254,89.75,0.0,0.0,2.75,5.63,1.86,8.07,3.68,67.39,28.93,1
23,16,001,000809,16001000809,2685,94.0,0.0,1.42,0.41,0.0,4.17,7.3,4.36,81.01,14.64,1
24,16,001,000810,16001000810,3030,87.36,2.54,0.73,1.42,0.0,3.76,12.18,4.36,83.7,11.29,1
25,16,001,000901,16001000901,2056,80.89,0.0,0.0,1.46,0.0,17.02,25.34,10.6,71.01,18.39,1
26,16,001,000902,16001000902,4731,74.04,1.25,2.92,4.9,0.95,13.42,58.11,12.85,79.26,7.88,1
27,16,001,001001,16001001001,2090,95.84,0.0,0.38,1.53,0.0,1.67,6.03,7.61,70.72,21.67,1
28,16,001,001002,16001001002,2172,77.07,0.0,0.0,2.62,0.0,15.19,63.63,12.52,80.34,7.14,1
29,16,001,001003,16001001003,3107,91.18,0.0,1.09,1.74,0.0,5.66,18.57,14.52,70.07,15.42,1
30,16,001,001100,16001001100,4326,71.38,0.0,0.0,1.02,0.0,24.71,21.35,17.75,67.48,14.77,1
31,16,001,001201,16001001201,3446,87.09,1.07,0.09,0.0,0.0,9.55,12.97,8.97,68.14,22.9,1
32,16,001,001203,16001001203,3992,78.98,2.43,1.55,2.66,0.03,9.04,15.71,8.17,64.58,27.25,1
33,16,001,001204,16001001204,3305,83.3,4.45,1.75,1.18,0.18,4.36,15.82,8.68,71.77,15.92,1
34,16,001,001401,16001001401,2557,86.0,0.0,0.0,1.06,2.54,8.21,9.43,13.22,74.58,11.38,1
35,16,001,001402,16001001402,3497,86.65,0.0,0.0,3.17,0.0,7.41,21.75,2.06,77.24,19.07,1
36,16,001,001500,16001001500,3983,84.74,0.95,0.78,1.63,0.0,6.75,7.86,10.65,75.3,13.78,1
37,16,001,001600,16001001600,4847,76.93,3.57,0.19,1.46,0.0,13.47,19.17,11.95,69.3,18.4,1
38,16,001,001701,16001001701,2183,73.66,0.0,0.0,1.65,1.65,22.03,14.29,10.12,78.2,11.68,1
39,16,001,001702,16001001702,4251,80.1,1.95,0.0,0.45,0.0,13.6,20.28,19.24,73.21,7.03,1
40,16,001,001800,16001001800,4635,87.42,2.09,1.62,0.39,0.0,5.85,9.99,13.74,63.78,22.48,1
41,16,001,001900,16001001900,5178,84.7,0.91,0.0,0.0,0.0,11.66,7.18,14.79,69.41,15.8,1
42,16,001,002000,16001002000,4741,66.55,1.01,0.0,9.18,0.0,22.32,29.05,12.34,71.95,11.6,1
43,16,001,002100,16001002100,2051,94.83,0.1,0.0,2.05,0.0,2.15,6.69,8.19,66.85,24.28,1
44,16,001,002223,16001002223,5074,87.31,1.04,0.0,3.59,0.47,4.63,4.31,2.46,81.91,14.86,1
45,16,001,002225,16001002225,4079,83.62,0.69,0.83,2.72,0.0,7.7,7.18,1.64,80.46,15.67,1
46,16,001,002226,16001002226,3244,79.59,12.64,0.0,0.43,0.34,2.22,13.56,0.83,79.1,18.87,1
47,16,001,002227,16001002227,3006,77.88,4.62,0.0,1.8,0.0,10.68,4.89,7.25,72.16,20.59,1
48,16,001,002228,16001002228,3323,78.24,0.0,0.0,18.33,0.0,3.16,2.86,7.19,63.02,29.79,1
49,16,001,002229,16001002229,3217,91.7,0.4,1.9,0.65,0.0,3.61,1.83,2.64,73.83,22.79,1
50,16,001,002230,16001002230,3649,81.56,0.0,0.03,3.59,0.0,6.47,5.7,6.82,74.95,18.22,1
51,16,001,002231,16001002231,2474,80.76,1.74,2.91,1.5,0.0,11.6,9.76,20.49,54.37,25.14,1
52,16,001,002313,16001002313,4161,78.97,1.27,0.0,4.95,0.0,11.87,7.2,11.7,64.7,20.98,1
53,16,001,002314,16001002314,4700,84.66,0.0,0.72,1.09,0.0,12.91,21.09,4.43,76.43,18.7,1
54,16,001,002315,16001002315,5322,75.07,1.32,0.0,4.92,0.0,13.72,10.56,4.43,81.3,14.26,1
55,16,001,002316,16001002316,2162,76.27,0.0,0.0,6.29,0.0,12.86,10.78,10.82,68.22,20.95,1
56,16,001,002317,16001002317,3213,76.75,0.0,0.0,1.37,0.0,20.39,8.9,17.83,74.26,7.91,1
57,16,001,002318,16001002318,4238,76.0,1.13,0.0,4.88,0.0,13.97,10.14,15.31,65.74,16.64,1
58,16,001,002319,16001002319,3814,72.23,2.54,0.0,2.05,0.0,23.18,17.67,13.16,72.18,14.66,1
59,16,001,002412,16001002412,4281,90.07,0.0,0.02,2.94,0.0,3.15,7.14,8.76,70.61,20.46,1
60,16,001,002414,16001002414,2874,81.35,0.59,0.0,0.94,0.0,15.14,5.12,8.04,78.32,11.8,1
61,16,001,002415,16001002415,2469,82.38,0.04,1.34,0.0,1.09,10.53,1.86,5.18,69.62,25.19,1
62,16,001,002416,16001002416,5819,77.8,11.53,0.33,1.07,0.0,8.33,16.26,6.03,80.0,13.56,1
63,16,001,002417,16001002417,2520,76.98,1.51,0.0,8.06,0.67,2.22,7.91,3.17,70.83,25.99,1
64,16,001,002418,16001002418,3783,88.5,0.08,0.0,0.0,0.66,6.37,4.14,5.74,72.88,20.41,1
65,16,001,002419,16001002419,3637,94.25,0.38,0.0,2.2,0.0,1.95,13.23,12.68,64.75,22.57,1
66,16,001,010101,16001010101,3766,81.7,0.98,0.0,11.82,0.0,1.38,2.63,1.38,85.4,13.22,1
67,16,001,010102,16001010102,5871,92.52,0.0,0.0,0.0,0.0,4.72,5.6,1.75,81.21,17.03,1
68,16,001,010224,16001010224,4660,93.43,0.0,0.0,0.3,0.0,4.46,9.01,2.15,82.94,14.91,1
69,16,001,010226,16001010226,2791,90.04,1.76,0.0,0.0,0.0,3.83,1.18,8.71,66.07,25.22,1
70,16,001,010227,16001010227,2959,94.83,0.0,0.0,0.0,0.0,1.39,10.41,7.91,76.14,15.95,1
71,16,001,010228,16001010228,2588,86.13,0.0,3.32,0.5,0.0,5.8,10.24,4.44,62.87,32.69,1
72,16,001,010229,16001010229,3551,73.75,0.0,0.0,1.35,1.8,20.14,8.0,3.13,78.48,18.39,1
73,16,001,010230,16001010230,4145,94.98,0.0,0.0,1.23,0.0,2.97,8.28,4.37,82.48,13.15,1
74,16,001,010231,16001010231,2228,92.95,0.0,0.0,0.0,0.0,0.45,5.16,0.0,79.94,20.06,1
75,16,001,010232,16001010232,3130,94.41,0.0,0.0,0.89,0.0,3.29,3.67,5.81,66.23,27.96,1
76,16,001,010233,16001010233,2853,88.92,0.0,1.16,1.37,0.0,7.33,14.76,16.02,64.6,19.38,1
77,16,001,010234,16001010234,4179,86.89,2.94,0.0,5.79,0.0,2.9,13.97,3.92,71.21,24.86,1
78,16,001,010235,16001010235,4788,80.64,0.0,2.97,0.63,0.0,11.61,5.87,7.16,72.16,20.68,1
79,16,001,010236,16001010236,2897,93.44,2.97,0.0,0.0,0.0,1.79,6.35,4.31,61.37,34.17,1
80,16,001,010237,16001010237,4479,86.45,0.0,0.31,1.16,0.0,10.63,5.78,8.04,78.16,13.8,1
81,16,001,010336,16001010336,2086,94.58,0.0,0.0,0.0,0.0,5.42,8.01,2.01,91.28,6.71,1
82,16,001,010337,16001010337,3997,88.92,0.0,0.0,5.03,0.0,5.63,4.95,10.01,81.59,8.41,1
83,16,001,010338,16001010338,3537,92.76,0.0,0.0,0.0,0.0,2.71,8.37,3.14,82.41,14.45,1
84,16,001,010339,16001010339,2860,91.57,0.03,0.0,0.0,0.0,8.32,0.0,0.0,81.08,17.13,1
85,16,001,010340,16001010340,3750,92.72,0.0,0.0,2.19,0.0,5.09,1.66,6.32,73.44,18.99,1
86,16,001,010341,16001010341,4693,86.28,0.0,0.0,6.14,0.0,4.54,4.3,5.28,86.09,8.63,1
87,16,001,010342,16001010342,4133,83.6,1.67,0.0,2.78,0.0,8.42,0.0,5.47,84.78,9.02,1
88,16,001,010343,16001010343,2422,89.1,8.46,0.0,0.0,0.0,2.44,0.0,2.97,74.81,22.21,1
89,16,001,010344,16001010344,3494,80.71,0.0,1.55,1.66,0.0,15.05,8.24,4.98,80.62,14.4,1
90,16,001,010345,16001010345,4212,83.81,0.0,0.0,4.94,0.0,7.74,4.84,3.16,85.4,11.44,1
91,16,001,010346,16001010346,876,90.07,0.0,0.0,0.0,0.0,8.79,1.26,12.44,57.31,30.25,1
92,16,001,010347,16001010347,3938,85.07,0.03,1.45,1.4,0.0,10.67,9.36,7.01,71.89,17.39,1
93,16,001,010348,16001010348,3087,80.98,4.99,0.1,0.06,0.0,6.22,9.39,20.76,68.25,10.72,1
94,16,001,010349,16001010349,3332,89.14,0.0,0.0,0.0,0.0,0.42,0.0,3.9,86.52,9.0,1
95,16,001,010350,16001010350,2925,77.88,0.0,0.0,0.0,0.0,22.12,22.87,21.44,45.61,32.96,1
96,16,001,010351,16001010351,1969,92.94,0.0,0.0,0.0,0.0,4.57,3.1,4.88,78.26,16.86,1
97,16,001,010352,16001010352,4791,86.04,3.55,0.0,0.0,0.0,7.47,5.46,18.66,64.7,16.64,1
98,16,001,010353,16001010353,5830,84.84,0.0,0.0,0.82,0.0,3.6,3.64,4.67,89.95,5.39,1
99,16,001,010354,16001010354,5500,90.44,0.0,0.0,6.65,0.0,2.91,3.42,8.89,75.64,15.18,1
100,16,001,010355,16001010355,1551,90.14,0.06,0.0,4.58,0.0,0.13,2.42,7.54,70.02,16.63,1
101,16,001,010356,16001010356,4208,76.64,0.0,0.0,1.76,0.0,16.56,2.76,2.57,78.42,19.01,1
102,16,001,010357,16001010357,3477,72.19,0.0,0.0,3.25,0.0,20.88,0.37,0.0,83.95,16.05,1
103,16,001,010358,16001010358,5050,88.77,0.0,0.0,1.13,0.0,10.1,2.5,0.0,89.29,10.44,1
104,16,001,010359,16001010359,4201,83.48,0.0,0.0,5.97,0.0,10.55,11.74,5.67,77.34,17.0,1
105,16,001,010360,16001010360,4267,84.77,0.0,0.0,0.0,0.0,0.0,3.33,4.15,90.56,5.3,1
106,16,001,010361,16001010361,4061,83.08,0.0,0.0,0.96,0.0,13.64,0.0,11.28,83.82,4.9,1
