State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
51,1,90101,1,51,1,90101,1,510010901011,717,100.0,0.0,0.0,0.0,0.0,0.0,4.32,4.32,51.74,43.93,1,-75.35046981092208,37.96299381676053,21.605134754366656,49.06370314786343,43.60028510805076,3.5102992765841283,41.4404266140086,21.582880632682432,3.495654177473403,3.526772793388512,9.856295232201578,3.495654177473403,3.495654177473403,17.513247983849574,30.52624488843487,False
51,1,90101,2,51,1,90101,2,510010901012,1059,88.01,0.0,0.0,0.0,0.0,6.42,3.21,2.64,74.69,20.59,1,-75.36691309475516,37.91996672777605,23.605888818862205,52.828514009945,43.442572285500816,1.556500467098365,43.87250626598741,23.442964215328644,1.546890574505503,1.4528441614588097,10.059690218352024,1.546890574505503,1.546890574505503,15.86953490977378,31.717772097905613,False
51,1,90102,1,51,1,90102,1,510010901021,652,99.39,0.0,0.0,0.0,0.0,0.0,11.2,5.98,46.32,47.7,1,-75.37525919674036,37.92891183368501,22.38229456959576,51.63009935172797,42.53347444001904,0.9748511771030745,42.642076165825394,22.224841344150665,1.0279173534289994,0.6187122148978079,8.910054684240736,1.0279173534289994,1.0279173534289994,15.066913810795718,30.55022257438896,False
51,1,90102,2,51,1,90102,2,510010901022,457,82.49,2.63,0.0,0.0,0.0,2.84,15.46,15.1,35.67,32.6,1,-75.39750798649932,37.90407320959575,23.23121246171701,53.52508352209076,41.23110405784435,4.312497236263776,43.54938354490192,22.97780770913909,4.348578433087658,3.882202104797233,9.282007711284322,4.348578433087658,4.348578433087658,13.534656691668957,30.67763712071393,False
51,1,90201,1,51,1,90201,1,510010902011,1169,64.24,23.27,0.0,8.21,0.0,4.28,11.29,3.08,73.74,21.98,1,-75.49395527716695,37.97175189609985,12.395823066217496,43.98358016982242,31.558823656072303,5.063655437751156,32.52148114475778,12.028640825931651,5.30865894647333,4.899599723489748,2.75956771619974,5.30865894647333,5.30865894647333,6.221933330429271,19.3597387599773,False
51,1,90201,2,51,1,90201,2,510010902012,1483,97.91,0.0,0.0,0.0,0.0,2.09,7.48,9.64,46.33,43.02,1,-75.41157923312225,37.983118933505565,15.965117210349034,44.85092461246368,38.67796483045253,6.76330751486213,36.049394515134765,15.895454774786286,6.818334348201423,6.257181415169726,4.703363445661456,6.818334348201423,6.818334348201423,13.038002881426262,24.733387124032262,False
51,1,90202,1,51,1,90202,1,510010902021,866,3.35,85.91,0.0,9.01,0.0,1.73,32.91,6.0,91.92,2.08,2,-75.57052090842491,37.97688260517701,10.749811999022263,42.5156611294038,24.82362356405314,4.462014452742389,28.85800106639535,10.11869462261183,4.539827945581878,4.327439787336532,8.978269699150196,4.539827945581878,4.539827945581878,5.147629911565541,14.367499369766024,False
51,1,90202,2,51,1,90202,2,510010902022,1630,31.04,64.66,0.0,0.0,0.0,4.29,29.49,22.52,54.79,19.02,2,-75.55859112601013,37.912723168982126,17.79112705058382,49.70280178219364,27.44573980629728,3.889096893352957,35.888856600914444,17.19512346794045,3.6416262669385904,4.1009085003678045,4.44879896708685,2.629394041163564,2.629394041163564,2.629394041163564,21.0759147673288,False
51,1,90202,3,51,1,90202,3,510010902023,407,67.32,32.68,0.0,0.0,0.0,0.0,22.6,8.6,70.52,20.88,1,-75.50652480672552,37.91014286136503,18.54703649231596,50.5161519412369,31.858255639524227,4.842701546739873,37.93878561191186,18.058809561499054,3.7078020578822,4.979391497811365,7.58726787359378,3.7078020578822,3.7078020578822,4.458742148384145,23.66624849688528,False
51,1,90300,1,51,1,90300,1,510010903001,545,79.27,13.58,0.0,0.0,0.0,2.94,30.51,13.21,51.74,35.05,1,-75.6944151130731,37.924564447829326,20.556166749724216,48.97488073018021,16.065142114193556,13.697248689570346,32.44091136132488,16.031150141148377,13.513373102706897,13.783202843128208,11.142207261825174,12.984750666169118,12.984750666169118,12.984750666169118,17.83899899812013,False
51,1,90300,2,51,1,90300,2,510010903002,884,67.42,25.57,1.02,0.0,0.0,6.0,32.2,24.77,65.95,9.28,1,-75.58922092462903,37.888107709407066,20.754105682995714,52.320765056169066,26.10286289382781,7.605996833103496,37.71144118079167,14.66042605483197,7.351926263371435,4.464479003683103,1.3344228294429907,6.355415299231894,6.355415299231894,6.355415299231894,22.653278906391456,False
51,1,90300,3,51,1,90300,3,510010903003,883,82.9,10.08,0.0,2.38,0.0,4.64,7.13,23.9,61.04,15.06,1,-75.65965348187338,37.8624059745823,18.94880175077179,55.42559936672543,22.629404383148696,8.809395884437933,39.49282319007629,11.943566081985288,13.648575008746496,8.612756531426163,6.9847579675360425,12.733193336196967,12.733193336196967,12.733193336196967,24.55053389805501,False
51,1,90401,1,51,1,90401,1,510010904011,1915,43.97,35.14,0.0,0.0,0.0,18.85,20.84,30.44,66.74,2.82,7,-75.55102155506508,37.837895262934616,21.26131578575168,58.04951337809448,31.856540495560264,10.779538339675996,43.997020533375554,10.813586292580109,11.68786510056644,2.0517340086417626,5.18320262305252,10.747933470157246,10.747933470157246,10.747933470157246,29.010122024840754,False
