,GEOID,Longitude,Latitude
4928,120690313171,-81.6762202869978,28.365927848299023
12455,121150027363,-82.19784130299134,27.05911808424683
5369,120710403051,-81.62990678542839,26.60624133925766
6140,120830010113,-82.1613769601506,28.9887711622542
8217,120879713002,-81.10335479411272,24.70001237579501
8193,120879704002,-80.41942900360911,25.111260750064105
11587,121050141272,-81.49688902408872,28.07428761767453
3371,120390207013,-84.60096848497405,30.57837953281414
5100,120710101113,-81.9978879844907,26.694362208624867
8441,120910233052,-86.47689638187336,30.39506617967891
259,120050026041,-85.78446974185051,30.17473056967168
5412,120710502121,-81.82436498677946,26.46102559372711
12777,121199114022,-82.02904104621126,28.874405910878927
5290,120710401222,-81.71945427681307,26.595810005181903
7723,120860103022,-80.48240622832598,25.58140317812689
2029,120174516051,-82.53505708116077,28.766621815092886
10190,120990078414,-80.22985647781354,26.72403351319487
6095,120830008051,-81.98074584986946,28.967967117723223
240,120050017001,-85.62712162860328,30.16215455118072
6384,120860001234,-80.12309648025429,25.94307327596078
11213,121030274045,-82.75238030512568,28.1429579266751
1811,120130103011,-85.11496433955669,30.315177993378818
179,120050003011,-85.4388053885008,30.493801116241723
28,120010008061,-82.33673954277648,29.63974767560923
3359,120390204003,-84.84822947971642,30.693866615521323
5379,120710403121,-81.61062234760664,26.54113810857745
6147,120830011031,-82.00748914903056,29.078733867265903
12165,121130108262,-86.87522418464849,30.42560432648739
2057,120190302071,-81.81482914440261,30.18447178449784
1290,120110602152,-80.27212110493208,26.162815928805163
4372,120570129002,-82.11329720157453,28.003916099889555
4502,120570139133,-82.31059441276679,27.723748409612963
1950,120174502024,-82.45758361909019,28.918814489442813
9634,120990048181,-80.13449224925897,26.609734537351468
11694,121050160021,-81.79736583950468,27.7463801624014
6842,120860036052,-80.20103423022113,25.76904636901208
12732,121199104013,-82.12489695377353,28.78901134074224
11710,121079503001,-81.90151895282055,29.64444991043805
9800,120990059512,-80.13508847633132,26.524315822568088
7754,120860106132,-80.31187483619713,25.571486695827787
9162,120970409032,-81.48220622316131,28.32629069620287
4045,120570108171,-82.43779240050111,28.07790127435859
4950,120710003062,-81.81603569870086,26.66915161908637
3293,120350602081,-81.18060825629986,29.45223467186199
13278,121339702002,-85.79343638154477,30.637618694987484
5347,120710402113,-81.61144915729827,26.621463051604
362,120090621091,-80.79815752509343,28.464975173622307
5741,120759703041,-82.8752219275544,29.57606681851503
5367,120710403043,-81.65090232562932,26.60343438675396
4345,120570124014,-82.21914435438616,27.998722488336263
13185,121270910362,-81.19106772951162,28.91761424532597
8965,120950169112,-81.43795549579805,28.48359904589917
10502,121010325002,-82.19825450377617,28.37961674239848
2183,120210101103,-81.80550593287806,26.268768628012648
3207,120330033112,-87.28085340867986,30.458925095712885
4487,120570138031,-82.36463905690313,27.845782598641087
2698,120310127022,-81.81323677832647,30.27584204519945
655,120090713463,-80.65537492660351,27.92388910756356
7314,120860080002,-80.25718598659545,25.69187457240619
8980,120950170131,-81.41464337879692,28.38758796716261
6037,120810020241,-82.49189109048923,27.51592166243488
1433,120110703211,-80.37033460336792,26.11691739056945
7066,120860057061,-80.2856739895316,25.779201115025792
9241,120970429031,-81.33010166063187,28.2939750259622
11931,121113811071,-80.38609128528691,27.538886208047625
2333,120210108061,-81.71303223122082,26.07566355361673
162,120030401013,-82.12824169891368,30.28520857303104
13223,121319501033,-86.25743043486942,30.821843627368228
6060,120830004012,-81.93037795987495,29.33459528031297
4525,120570139241,-82.31663967836307,27.82743154270331
6956,120860044033,-80.13443476649792,25.77582663043947
1713,120111103341,-80.33385920037232,26.000430891994817
4274,120570118061,-82.50695031699989,28.03046348434631
6836,120860034003,-80.19792867754728,25.783162908742803
61,120010015161,-82.36127717044516,29.61673813005568
11454,121050124052,-81.6612317462479,28.296001703637128
7744,120860106084,-80.34368634090883,25.58244605611307
5570,120730014021,-84.30983093088439,30.45239100777408
5063,120710019122,-81.95715945224491,26.49901681992593
7879,120860117011,-80.30006043588666,25.951071009268183
1739,120111103511,-80.27009614572134,26.000173570621435
1485,120110801023,-80.14574334979145,26.04534001951352
10574,121030202022,-82.64229892345801,27.715816070288152
11983,121113818043,-80.26357619285531,27.279977103465846
10323,121010310092,-82.69506697346644,28.316660659561062
11643,121050149042,-82.01820450212841,27.916325414082287
8284,120890503043,-81.5743692116428,30.59038713863718
4829,120690305053,-81.90961837762606,28.83547146957926
4702,120610509092,-80.60289544669195,27.76213975887153
5471,120710505012,-81.7613797725981,26.334556164399547
2402,120210113032,-81.4465426475984,26.429093696427543
6244,120830026022,-82.30961023177004,29.20240686357055
107,120010019022,-82.26975115498831,29.68785073861472
5228,120710203011,-81.8714280978321,26.70132454926497
4461,120570135041,-82.38080350711247,27.930059373204887
8943,120950168123,-81.35924563030598,28.35166457640761
10228,120990079191,-80.24498165380196,26.803529500113573
4597,120610501011,-80.40095759126923,27.63471322339909
9722,120990058182,-80.08825421954505,26.543100327408844
8571,120950134021,-81.29019700090072,28.52895543981344
