STATE,geometry
AL,POINT (-88.0900229489999 33.2529717130001)
AL,POINT (-85.9419853059999 31.782379086)
AL,POINT (-88.12323164 30.649229183)
AL,POINT (-85.965104814 31.7645215310001)
AL,POINT (-85.122048497 32.333937416)
AL,POINT (-86.350072579 33.593804698)
AL,POINT (-86.3284487829999 33.7560390140001)
AL,POINT (-86.823434041 33.2637058820001)
AL,POINT (-86.73141921 33.3603040240001)
AL,POINT (-86.628799965 33.4113385740001)
AL,POINT (-86.318705795 33.5995270230001)
AL,POINT (-86.7061033259999 33.377187185)
AL,POINT (-86.781516655 33.2087957300001)
AL,POINT (-86.7712927489999 33.340422533)
AL,POINT (-86.430247557 33.3351430390001)
AL,POINT (-86.574028691 33.223378258)
AL,POINT (-86.24920495 33.165519981)
AL,POINT (-86.086760746 33.433528784)
AL,POINT (-87.529106349 33.173702771)
AL,POINT (-87.508039767 33.199531662)
AL,POINT (-87.5740600939999 33.20757654)
AL,POINT (-87.5408314909999 33.2443824470001)
AL,POINT (-87.44988313 33.1940641250001)
AL,POINT (-87.079391405 33.740109938)
AL,POINT (-87.306198071 32.002960826)
AK,POINT (-149.778944406 61.1236719870001)
AK,POINT (-149.539130248 61.313049617)
AK,POINT (-149.764603227 61.1910558980001)
AK,POINT (-149.955802866 61.147199685)
AK,POINT (-149.926736402 61.1755236180001)
AK,POINT (-149.893768595 61.1470488890001)
AK,POINT (-149.827310405 61.1091796060001)
AK,POINT (-149.839480481 61.1736557230001)
AK,POINT (-149.810708407 61.2181911640001)
AK,POINT (-158.491440394 59.043252362)
AK,POINT (-147.716670788 64.8505096330001)
AK,POINT (-147.821811099 64.8740961820001)
AK,POINT (-147.760627768 64.8208385170001)
AK,POINT (-147.290821709 64.7388524190001)
AK,POINT (-147.673473331 64.8634595550001)
AK,POINT (-134.490584266 58.3462476110001)
AK,POINT (-134.39224876 58.2753216930001)
AK,POINT (-151.161802663 60.5089330930001)
AK,POINT (-131.686672308 55.3543181650001)
AK,POINT (-131.802874488 55.4654489660001)
AK,POINT (-131.687693176 55.3605222460001)
AK,POINT (-152.362884464 57.810356293)
AK,POINT (-152.368784343 57.806788984)
AK,POINT (-149.143186122 61.5730287270001)
AK,POINT (-149.613872753 61.544183758)
AK,POINT (-162.583824404 66.902337059)
AK,POINT (-145.547102483 63.981995408)
AZ,POINT (-109.071829062 35.661753515)
AZ,POINT (-109.627070863 36.717160719)
